dataset,gate,stage,seed_count,count_mean,count_std,rate_mean,rate_std,count_total
banking77_oos,best_controlled_baseline,correct_known_prediction,3,794.0,22.516660498395403,0.1946078431372549,0.005518789337842,2382
banking77_oos,best_controlled_baseline,correct_oos_rejection,3,2330.0,251.00398403212648,0.571078431372549,0.0615205843215995,6990
banking77_oos,best_controlled_baseline,known_rejected_by_gate,3,116.0,17.320508075688775,0.0284313725490196,0.0042452225675707,348
banking77_oos,best_controlled_baseline,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,best_controlled_baseline,known_wrong_expert,3,90.0,12.12435565298214,0.0220588235294117,0.0029716557972995,270
banking77_oos,best_controlled_baseline,oos_accepted_by_gate,3,750.0,251.00398403212648,0.1838235294117647,0.0615205843215996,2250
banking77_oos,ce_recon_selected_k,correct_known_prediction,3,713.0,35.79106033634656,0.1747549019607843,0.0087723187098888,2139
banking77_oos,ce_recon_selected_k,correct_oos_rejection,3,2661.333333333333,72.59017380701972,0.6522875816993464,0.0177917092664264,7984
banking77_oos,ce_recon_selected_k,known_rejected_by_gate,3,206.33333333333331,52.2525916422653,0.0505718954248366,0.0128070077554571,619
banking77_oos,ce_recon_selected_k,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,ce_recon_selected_k,known_wrong_expert,3,80.66666666666667,17.21433511156714,0.0197712418300653,0.0042191997822468,242
banking77_oos,ce_recon_selected_k,oos_accepted_by_gate,3,418.6666666666667,72.59017380701972,0.1026143790849673,0.0177917092664264,1256
banking77_oos,frozen_k1,correct_known_prediction,3,779.6666666666666,24.00694344004112,0.19109477124183,0.0058840547647159,2339
banking77_oos,frozen_k1,correct_oos_rejection,3,2351.333333333333,81.63536815212713,0.5763071895424837,0.020008668664737,7054
banking77_oos,frozen_k1,known_rejected_by_gate,3,111.66666666666669,17.925772879665004,0.0273692810457516,0.0043935717842316,335
banking77_oos,frozen_k1,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
banking77_oos,frozen_k1,known_wrong_expert,3,108.66666666666669,9.814954576223638,0.0266339869281045,0.0024056261216234,326
banking77_oos,frozen_k1,oos_accepted_by_gate,3,728.6666666666666,81.63536815212713,0.17859477124183,0.020008668664737,2186
banking77_oos,frozen_selected_k,correct_known_prediction,3,712.0,49.68903299521938,0.1745098039215686,0.0121786845576518,2136
