dataset,kir,method,scope,protocol,n,source,oos_f1,oos_f1_std,known_recall,known_recall_std,auroc,auroc_std,aupr_oos,aupr_oos_std,distance,k_gate,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std
banking77,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8006462564236198,0.0139936385537793,0.9016666666666668,0.0159478316185409,0.9005653679653678,0.0037885462182551,0.9632321664381376,0.0016743259051634,euclidean,1.0,,,,,,,,,,
banking77,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8226468254218305,0.0182958060463629,0.8506666666666667,0.0173877351409933,0.8853194805194805,0.0087809740850378,0.9550342267379496,0.0028981472912684,euclidean,2.0,,,,,,,,,,
banking77,0.5,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.835806286761259,0.0089824435812479,0.8253333333333334,0.0198578280114752,0.8757107142857142,0.0040380275025667,0.9526319431622068,0.0025962704879958,euclidean,3.0,,,,,,,,,,
banking77,0.5,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8453748750661075,0.0054524636688247,0.8106666666666666,0.0234378611083292,0.8763515151515152,0.0035006998844441,0.9554885692437912,0.0030400425541379,euclidean,4.0,,,,,,,,,,
banking77,0.5,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8560198827767068,0.0059327070785119,0.7996666666666666,0.0155026879389779,0.8777674242424243,0.0086388759731516,0.9564361780380268,0.0032998761899135,euclidean,5.0,,,,,,,,,,
banking77,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8482265965039684,0.0144313586085912,0.8883333333333333,0.017925772879665,0.9113760822510822,0.0022606288914913,0.9679501153977048,0.000835039208522,mahalanobis_diag,1.0,,,,,,,,,,
banking77,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8557166723785059,0.0137124178016304,0.8610000000000001,0.0206639783197718,0.9084559523809524,0.0057036607272942,0.9669932115736998,0.0029948603469365,mahalanobis_diag,2.0,,,,,,,,,,
banking77,0.5,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8772131507773971,0.0048453666707909,0.8056666666666666,0.0168027775481713,0.8992866883116882,0.0036772268464588,0.9642652277094536,0.0022283628007945,mahalanobis_diag,3.0,,,,,,,,,,
banking77,0.5,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8925431116537538,0.0057161821594859,0.774,0.0242693221990232,0.9005798701298701,0.0042878359688188,0.9649650277104505,0.0020205704739321,mahalanobis_diag,4.0,,,,,,,,,,
banking77,0.5,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8978443613706544,0.0063649406080153,0.7486666666666667,0.0197568553503166,0.9046638528138528,0.0059812164372199,0.96671560269311,0.0019129347796586,mahalanobis_diag,5.0,,,,,,,,,,
