dataset,kir,recipe,k,distance,boundary,rule,fusion_weight,threshold,f1_u_mean,f1_u_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,baseline,delta_pp
clinc150,0.75,last4,1,euclidean,mean_std_2.0,nearest_sphere,1.0,2.05,0.8048031660431874,0.01711264897818732,0.8945101099789663,0.004215877418102934,0.8556363636363636,0.008762554943964994,0.966765873015873,0.004140602530696256,0.2911214953271028,0.02617656742833816,86.0,-5.51968339568127
stackoverflow,0.5,no_projection,5,euclidean,intent_quantile_0.95,nearest_sphere,1.0,1.9,0.8186941496760732,0.03076334868772781,0.8233606278592019,0.00686830158980623,0.8145242070116862,0.019651337521952805,0.902258631205676,0.011444523289648128,0.23845954680364934,0.04110075427456526,88.86,-6.990585032392673
clinc150,0.25,last4,4,euclidean,mean_std_3.0,nearest_sphere,1.0,2.2,0.5616136894437674,0.11816833417888607,0.5518668241395882,0.04279495144543221,0.5204242424242423,0.0898986675740448,0.9941520467836257,0.0028945891627519577,0.5994648318042813,0.11498496364406811,93.56,-37.398631055623255
clinc150,0.5,all6,1,euclidean,mean_std_3.0,nearest_sphere,1.0,2.0,0.732571227255472,0.046943410089061034,0.7897237507404999,0.021729799343795323,0.7437575757575757,0.035001561030385736,0.981925925925926,0.008597699631731516,0.4123076923076923,0.06170490311987801,90.1,-16.842877274452803
stackoverflow,0.25,existing,1,euclidean,center_quantile_0.99,normalized_union,1.0,1.7,0.9269825059697999,0.029926375930292723,0.7864649414225763,0.026576554763784573,0.8861435726210352,0.03524580924192496,0.8824208973107339,0.020890893024552767,0.10042940216770636,0.05872110265871844,92.65,0.04825059697998313
stackoverflow,0.75,no_projection,1,euclidean,intent_quantile_0.99,nearest_sphere,1.0,1.75,0.6523025460963007,0.11607141722035934,0.8686442977662638,0.01031341793603325,0.8114079020589872,0.03372461615605359,0.8857125185901144,0.008489190039061737,0.3329217177220054,0.1752535506197755,74.55,-9.319745390369931
banking77_oos,0.25,all6,3,euclidean,intent_quantile_0.95,nearest_sphere,1.0,1.95,0.8439211736991061,0.013794539617717523,0.5279749694946636,0.012333216448491651,0.7560457516339869,0.019346018809071438,0.9423611111111111,0.00856168611523466,0.26416666666666666,0.020446406910642156,86.57,-2.1778826300893854
banking77_oos,0.5,compact_margin,1,euclidean,mean_std_2.0,nearest_sphere,2.0,2.35,0.9021688680775979,0.007280659570143173,0.7287453708806236,0.014421520577854853,0.8495098039215686,0.010083830984062282,0.8476666666666667,0.015965240019770743,0.13755411255411254,0.009065104585009495,79.93,10.286886807759785
banking77_oos,0.75,all6,1,euclidean,intent_quantile_0.99,nearest_sphere,1.0,1.75,0.861217524916155,0.019578947411188187,0.7597368951911413,0.014141630568959167,0.8146241830065359,0.01948216805331882,0.8699561403508772,0.0035766461469956506,0.18476562500000002,0.03322073675071667,69.37,16.75175249161549
