dataset,kir,seed,recipe,k,distance,boundary,rule,fusion_weight,threshold,f1_u,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,0.75,13,last4,1,euclidean,mean_std_2.0,nearest_sphere,1.0,2.05,0.7924324324324324,0.8897414592115628,0.8487272727272728,0.9720238095238095,0.3149532710280374,0.027976190476190477,0.9650685636404095,0.9386490112215348
clinc150,0.75,42,last4,1,euclidean,mean_std_2.0,nearest_sphere,1.0,2.05,0.829002079002079,0.8999936951130942,0.868,0.9663690476190476,0.2546728971962617,0.03363095238095238,0.9675745438362261,0.9435138773536514
clinc150,0.75,87,last4,1,euclidean,mean_std_2.0,nearest_sphere,1.0,2.05,0.7929749866950505,0.8937951756122419,0.8501818181818181,0.9619047619047619,0.3037383177570093,0.0380952380952381,0.9562825433911883,0.92927810971506
stackoverflow,0.5,13,no_projection,5,euclidean,intent_quantile_0.95,nearest_sphere,1.0,1.9,0.8267050566852618,0.820871386590818,0.8158597662771285,0.9112149532710281,0.23279893119572478,0.08878504672897196,0.9440984773284886,0.9173358594480019
stackoverflow,0.5,42,no_projection,5,euclidean,intent_quantile_0.95,nearest_sphere,1.0,1.9,0.8517217146872804,0.8327362452664613,0.8378964941569282,0.9094553959238223,0.19119119119119118,0.09054460407617775,0.953490186923754,0.9375774895799821
stackoverflow,0.5,87,no_projection,5,euclidean,intent_quantile_0.95,nearest_sphere,1.0,1.9,0.7776556776556777,0.8164742517203264,0.7898163606010017,0.8861055444221777,0.29138851802403204,0.11389445557782231,0.9018280218648245,0.8710877909205782
clinc150,0.25,13,last4,4,euclidean,mean_std_3.0,nearest_sphere,1.0,2.2,0.570633491569815,0.5390378776635295,0.5185454545454545,0.9947368421052631,0.6002293577981651,0.005263157894736842,0.9696563656848542,0.9904682116137618
clinc150,0.25,42,last4,4,euclidean,mean_std_3.0,nearest_sphere,1.0,2.2,0.7016188920243577,0.6095031228337761,0.6314545454545455,0.9903508771929824,0.45825688073394494,0.009649122807017544,0.9706265089328827,0.9909839974382098
clinc150,0.25,87,last4,4,euclidean,mean_std_3.0,nearest_sphere,1.0,2.2,0.41258868473712934,0.5070594719214591,0.4112727272727273,0.9973684210526316,0.7399082568807339,0.002631578947368421,0.9678156687590536,0.9899231057566809
clinc150,0.5,13,all6,1,euclidean,mean_std_3.0,nearest_sphere,1.0,2.0,0.6712634354086392,0.7624526949306529,0.6981818181818182,0.9884444444444445,0.4907692307692308,0.011555555555555555,0.9563489914529916,0.9678491841955023
clinc150,0.5,42,all6,1,euclidean,mean_std_3.0,nearest_sphere,1.0,2.0,0.785282811641955,0.8156268540189261,0.7832727272727272,0.9697777777777777,0.34,0.030222222222222223,0.9565764102564103,0.9670072499351471
clinc150,0.5,87,all6,1,euclidean,mean_std_3.0,nearest_sphere,1.0,2.0,0.7411674347158218,0.7910917032719209,0.7498181818181818,0.9875555555555555,0.40615384615384614,0.012444444444444444,0.970145641025641,0.9770064738159729
stackoverflow,0.25,13,existing,1,euclidean,center_quantile_0.99,normalized_union,1.0,1.7,0.9509628302731751,0.814230478888106,0.9153589315525876,0.8711615487316422,0.054541406945681215,0.1288384512683578,0.9585668989344058,0.9808410303993704
stackoverflow,0.25,42,existing,1,euclidean,center_quantile_0.99,normalized_union,1.0,1.7,0.945193171608266,0.7945201783331319,0.9065108514190318,0.8643954575818303,0.06343200534164256,0.13560454241816966,0.9514915282006999,0.9770730188753634
stackoverflow,0.25,87,existing,1,euclidean,center_quantile_0.99,normalized_union,1.0,1.7,0.8847915160279586,0.750644167046491,0.8365609348914859,0.9117056856187291,0.18331479421579533,0.0882943143812709,0.9493979561087942,0.9772200572751566
stackoverflow,0.75,13,no_projection,1,euclidean,intent_quantile_0.99,nearest_sphere,1.0,1.75,0.705919796308084,0.8725294520230586,0.823372287145242,0.8810955243820975,0.2601734489659773,0.11890447561790247,0.915103648851331,0.6952846546663287
stackoverflow,0.75,42,no_projection,1,euclidean,intent_quantile_0.99,nearest_sphere,1.0,1.75,0.7598544572468162,0.8788766566371077,0.8454090150250417,0.8784235136940548,0.16410940627084722,0.12157648630594522,0.9405932166757354,0.80000184093477
stackoverflow,0.75,87,no_projection,1,euclidean,intent_quantile_0.99,nearest_sphere,1.0,1.75,0.49113338473400153,0.8545267846386252,0.7654424040066778,0.897618517694191,0.5744822979291917,0.10238148230580904,0.8901267183078971,0.6024077366134606
