accuracy,accuracy_mean,accuracy_std,aupr_oos,aupr_oos_mean,aupr_oos_std,auroc,auroc_mean,auroc_std,backbone,comparison_scope,contract_layer,dataset,f1_all,f1_all_mean,f1_all_std,f1_k,f1_k_mean,f1_k_std,false_accept_rate,false_accept_rate_mean,false_accept_rate_std,false_reject_rate,false_reject_rate_mean,false_reject_rate_std,kir,known_macro_f1_mean,known_macro_f1_std,known_recall,known_recall_mean,known_recall_std,method,method_id,method_label,n_seeds,oos_f1,oos_f1_mean,oos_f1_std,seed_scope,source,split_scope,status,supervision_type,test_used_for_selection
,0.824388888888889,0.002262823539379566,,,,,,,BERT,external backbone reference; not fair-pooled,external_backbone,stackoverflow,,0.8584613770230102,0.004606747025356841,,0.8791087642986329,0.00808883156971587,,0.08244444444444445,0.02071320924041074,,0.1977777777777778,0.005047918529600244,0.75,,,,0.8022222222222223,0.005047918529600274,ADB,ADB-external-BERT,ADB external BERT,3,,0.73080740845574,0.007416004864817222,,results/analysis/adb_kir_sensitivity_v1/adb_summary.csv,protocol_v2 split / 3 seeds / TextOIR BERT compatibility,complete_external_final_metrics,Known-only-external-runtime,not_declared_external
0.7904545454545454,0.7904545454545454,0.030026412165949087,0.9525432082011687,0.9525432082011687,0.005210891496906994,0.8915661297640654,0.8915661297640654,0.010464869829698532,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.6928544335841691,0.6928544335841691,0.030262672116638623,0.6844928927544645,0.6844928927544645,0.030807384693457833,0.21836206896551724,0.21836206896551724,0.04175209237389305,0.16105263157894736,0.16105263157894736,0.008757663838049351,0.25,,,0.8389473684210526,0.8389473684210526,0.008757663838049344,single_centroid,single_centroid,Frozen K=1,5,0.8517237093485583,0.8517237093485583,0.025265382256290114,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.7975974025974025,0.7975974025974025,0.03756887754457831,0.9518511325826771,0.9518511325826771,0.00896709126384111,0.8880257486388384,0.8880257486388384,0.02195384948734977,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.7109974813224451,0.7109974813224451,0.022029938729008988,0.7032721689387648,0.7032721689387648,0.021679098223804347,0.20327586206896547,0.20327586206896547,0.05330347459857209,0.18105263157894735,0.18105263157894735,0.01977189869080194,0.25,,,0.8189473684210526,0.8189473684210526,0.019771898690801946,fixed_k2,fixed_k2,Frozen K=2,5,0.8577784166123713,0.8577784166123713,0.03175919520536074,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.8742857142857142,0.8742857142857142,0.007874297040858383,0.9504326276363961,0.9504326276363961,0.006799150330955473,0.8916474591651543,0.8916474591651543,0.012543410063866606,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.7114966831111289,0.7114966831111289,0.03032860301737084,0.7004933560814293,0.7004933560814293,0.03172498444892061,0.0401724137931034,0.0401724137931034,0.0047354979196455845,0.38315789473684203,0.38315789473684203,0.03248961052773284,0.25,,,0.616842105263158,0.616842105263158,0.03248961052773283,mogb_partition_ours_boundary,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9205598966754222,0.9205598966754222,0.004509605546132505,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.8401948051948052,0.8401948051948052,0.0074900845233082216,0.9361930928934459,0.9361930928934459,0.01572097021701168,0.8690423094373866,0.8690423094373866,0.025547650029819256,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.5587572321670984,0.5587572321670984,0.029774536226248104,0.5406396142540106,0.5406396142540106,0.031148861337724744,0.01499999999999994,0.01499999999999994,0.0064106870491649265,0.6002631578947368,0.6002631578947368,0.022626223356528186,0.25,,,0.3997368421052631,0.3997368421052631,0.022626223356528193,mogb_minilm,mogb_minilm,MOGB-MiniLM,5,0.9029919725157672,0.9029919725157672,0.004345545482740943,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.7888961038961039,0.7888961038961039,0.02862800626051965,0.9538458219553927,0.9538458219553927,0.0048790775601228265,0.8943634301270418,0.8943634301270418,0.00936768794405229,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.693146655424499,0.693146655424499,0.027109730408082476,0.6848886702622957,0.6848886702622957,0.02754162419067095,0.2231034482758621,0.2231034482758621,0.04080578657002089,0.15263157894736837,0.15263157894736837,0.008217102629471607,0.25,,,0.8473684210526315,0.8473684210526315,0.008217102629471576,random_partition,random_partition,Random K=2,5,0.8500483735063608,0.8500483735063608,0.02443395835719756,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.8752597402597402,0.8752597402597402,0.023364670465048185,0.9670141428061454,0.9670141428061454,0.0059798894974264,0.922975612522686,0.922975612522686,0.014044005787949693,MiniLM-trainable,same-protocol fair comparison,same_protocol_fair,banking77,0.7851015718978599,0.7851015718978599,0.02562200500192768,0.7781838495508309,0.7781838495508309,0.026107672824781616,0.10327586206896547,0.10327586206896547,0.033607700850852316,0.18157894736842103,0.18157894736842103,0.007784315504078434,0.25,,,0.8184210526315789,0.8184210526315789,0.007784315504078432,trainable_k1,trainable_k1,Trainable K=1,5,0.9165382964914104,0.9165382964914104,0.017976090268549384,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.8508441558441557,0.8508441558441557,0.013474221560151413,0.9467843141034917,0.9467843141034917,0.009309641814558334,0.8775311932849366,0.8775311932849366,0.023857419438173138,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.6549065911705718,0.6549065911705718,0.019568953029171277,0.6416504515979425,0.6416504515979425,0.02022418185291007,0.0450862068965517,0.0450862068965517,0.01866085626332246,0.46131578947368423,0.46131578947368423,0.019216833859954888,0.25,,,0.5386842105263158,0.5386842105263158,0.01921683385995492,ours_partition_mogb_boundary,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9067732430505278,0.9067732430505278,0.009602934276313787,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.7238961038961038,0.7238961038961038,0.021163253189092266,0.827576850284049,0.827576850284049,0.007646104711898743,0.85260754048583,0.85260754048583,0.010261543173566479,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.7451394438761987,0.7451394438761987,0.01657860767276433,0.7456883726374406,0.7456883726374406,0.016410050747424545,0.34846153846153843,0.34846153846153843,0.04361471758183914,0.14986842105263154,0.14986842105263154,0.010509855551429402,0.5,,,0.8501315789473685,0.8501315789473685,0.01050985555142944,single_centroid,single_centroid,Frozen K=1,5,0.7242801509490058,0.7242801509490058,0.027673309741623107,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
0.7479220779220779,0.7479220779220779,0.01520541587564855,0.8357888390365009,0.8357888390365009,0.014816779192299057,0.859762230094467,0.859762230094467,0.013002373982499552,MiniLM-frozen,same-protocol fair comparison,same_protocol_fair,banking77,0.7616393362174011,0.7616393362174011,0.010872629981106366,0.7618241686542658,0.7618241686542658,0.010759487242767126,0.2905128205128205,0.2905128205128205,0.03548121800378637,0.17447368421052628,0.17447368421052628,0.007030552635469739,0.5,,,0.8255263157894737,0.8255263157894737,0.007030552635469753,fixed_k2,fixed_k2,Frozen K=2,5,0.7546157036165422,0.7546157036165422,0.02152853677583116,,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,protocol_v2_textoir_v1 / 3 datasets / 3 KIR / 5 seeds,complete_final_metrics,Known-only,False
