mode,ball_id,center_l2,majority_label,purity,radius,sample_count
official_fixed,0,18.183563496415733,29,1.0,4.212723255157471,94
official_fixed,1,16.06340333049317,31,1.0,4.255228519439697,99
official_fixed,2,19.14474237268691,45,1.0,5.381811141967773,149
official_fixed,3,20.184193611821815,57,1.0,4.773560047149658,112
official_fixed,4,17.410979923385785,15,1.0,4.615389823913574,109
official_fixed,5,18.77036470937899,3,1.0,5.722698211669922,90
official_fixed,6,18.35713859324268,6,1.0,5.065847873687744,23
official_fixed,7,16.909428965684018,7,1.0,3.594658374786377,94
official_fixed,8,17.982913439698834,8,1.0,4.674502372741699,66
official_fixed,9,20.09452062488548,10,1.0,4.936152458190918,65
official_fixed,10,18.685029189124027,11,1.0,4.463579177856445,77
official_fixed,11,16.77316460650904,12,1.0,4.935894966125488,110
official_fixed,12,16.883752245656833,14,1.0,4.025663375854492,103
official_fixed,13,17.728758916538148,16,1.0,3.895160675048828,105
official_fixed,14,17.92461305714689,17,1.0,3.849097967147827,67
official_fixed,15,19.21217100365148,22,1.0,6.295116424560547,38
official_fixed,16,18.99936527574086,23,1.0,5.256150245666504,79
official_fixed,17,18.24754789136768,24,1.0,3.2933385372161865,14
official_fixed,18,18.841472510835086,26,1.0,4.72728967666626,90
official_fixed,19,17.669589415862774,27,1.0,4.856122970581055,90
official_fixed,20,18.725843243732,28,1.0,4.383519649505615,48
official_fixed,21,18.701010478548735,32,1.0,4.593498229980469,101
official_fixed,22,18.7001317554933,33,1.0,5.6328887939453125,33
official_fixed,23,18.647748750409036,34,1.0,5.242497444152832,55
official_fixed,24,18.63940588312372,35,1.0,4.552889347076416,112
official_fixed,25,18.301997934142282,36,1.0,4.697704315185547,106
official_fixed,26,19.35158844346108,40,1.0,4.219283580780029,94
official_fixed,27,18.243560116265552,42,1.0,5.025505065917969,104
official_fixed,28,19.03496303702978,43,1.0,5.089629173278809,64
official_fixed,29,18.72916630359679,28,1.0,4.261145114898682,27
official_fixed,30,19.150227805411596,47,1.0,4.4452338218688965,135
official_fixed,31,19.62016670147536,43,1.0,3.727008104324341,54
official_fixed,32,18.300248710483533,26,1.0,4.601541042327881,48
official_fixed,33,18.923615322810253,50,1.0,4.901084899902344,53
official_fixed,34,17.56522047566045,52,1.0,5.267519950866699,110
official_fixed,35,16.904655188392983,53,1.0,4.362537384033203,97
official_fixed,36,17.08415113852998,55,1.0,6.326056003570557,61
official_fixed,37,17.987616298727982,15,1.0,4.433358192443848,10
official_fixed,38,18.298829688028405,15,1.0,4.9678754806518555,15
official_fixed,39,19.554984321421266,20,1.0,4.114109992980957,10
official_fixed,40,19.868402955561958,20,1.0,4.284578323364258,25
official_fixed,41,18.91787127759271,4,1.0,4.346139907836914,22
official_fixed,42,18.18537921256711,8,1.0,4.315484046936035,20
official_fixed,43,18.96907532011479,9,1.0,4.203719139099121,60
official_fixed,44,20.505446931495392,10,1.0,3.9139370918273926,21
official_fixed,45,17.519997562062596,18,1.0,3.8748672008514404,63
official_fixed,46,18.26587065668496,19,1.0,3.1024420261383057,45
official_fixed,47,18.403156970267915,19,1.0,2.492475986480713,16
official_fixed,48,20.393034797416835,2,1.0,4.236072540283203,32
official_fixed,49,20.294400713127065,21,1.0,5.428274154663086,90
official_fixed,50,20.20064068571391,21,1.0,5.3537445068359375,12
official_fixed,51,20.279711351059895,22,1.0,5.16267728805542,19
official_fixed,52,19.26732255578211,25,1.0,5.21932315826416,65
official_fixed,53,19.761276537144393,30,1.0,4.147111892700195,79
official_fixed,54,19.970100564734192,25,1.0,4.9850568771362305,19
official_fixed,55,19.207363535839,37,1.0,5.932057857513428,102
official_fixed,56,19.357630687792813,38,1.0,4.769464492797852,77
official_fixed,57,20.327500123135003,23,1.0,4.618531227111816,12
official_fixed,58,18.347511413364796,39,1.0,4.291330337524414,130
official_fixed,59,19.50677872596123,41,1.0,5.7860918045043945,88
official_fixed,60,20.080484019732797,41,1.0,5.11006498336792,14
official_fixed,61,18.960072738763206,44,1.0,4.722038745880127,48
official_fixed,62,19.02681428391102,50,1.0,3.7715394496917725,27
official_fixed,63,20.352380768050317,51,1.0,4.575519561767578,65
official_fixed,64,20.03017358245465,54,1.0,4.526866436004639,78
official_fixed,65,20.438312513711157,54,1.0,4.74163818359375,12
official_fixed,66,19.901338906290306,56,1.0,4.498481273651123,113
official_fixed,67,19.561548668712774,0,1.0,4.695131778717041,79
official_fixed,68,19.644946227149656,1,1.0,5.178097248077393,59
official_fixed,69,20.992257234993605,20,1.0,4.182041645050049,14
official_fixed,70,20.54822702145174,20,1.0,4.481565952301025,19
official_fixed,71,18.83224653743244,4,1.0,3.775933265686035,39
official_fixed,72,20.194578592026016,5,1.0,3.964822292327881,42
official_fixed,73,18.975576808588123,6,1.0,3.6983156204223633,18
official_fixed,74,19.416306208410944,9,1.0,2.391939401626587,13
official_fixed,75,21.025136132807752,10,1.0,3.7501471042633057,11
official_fixed,76,19.012588376801716,13,1.0,4.052123546600342,35
official_fixed,77,18.648781775752624,17,1.0,2.7817087173461914,12
official_fixed,78,17.89753001155305,18,1.0,3.5180439949035645,14
official_fixed,79,20.617207601155616,2,1.0,3.912438154220581,19
official_fixed,80,20.463345291845435,25,1.0,4.438685894012451,12
official_fixed,81,19.31681159269466,21,1.0,5.307112216949463,19
official_fixed,82,18.1484421312719,46,1.0,4.601374626159668,141
official_fixed,83,19.129819795741152,48,1.0,3.6062538623809814,25
official_fixed,84,18.824993999669317,49,1.0,4.154693603515625,137
official_fixed,85,19.71315424810859,50,1.0,4.024079322814941,68
official_fixed,86,20.31925660580966,54,1.0,4.576497554779053,17
official_fixed,87,20.23489104536295,56,1.0,3.4277384281158447,25
official_fixed,88,19.897066471539464,1,1.0,3.395111322402954,11
official_fixed,89,20.727412593593915,2,1.0,4.738998889923096,11
official_fixed,90,19.503360921215542,4,1.0,3.9723894596099854,12
official_fixed,91,20.504672479901853,10,1.0,3.672415256500244,13
official_fixed,92,21.126895088948135,10,1.0,3.936678171157837,14
official_fixed,93,19.344771902820927,48,1.0,3.6943106651306152,53
official_fixed,94,19.305344726033443,48,1.0,4.0969157218933105,33
official_fixed,95,20.183912776297404,54,1.0,4.156615734100342,11
official_fixed,96,18.562508451128565,6,1.0,3.318265438079834,19
official_fixed,97,20.820389895838126,54,1.0,3.489555597305298,14
official_fixed,98,20.82219313917417,5,1.0,2.870356321334839,12
