dataset,kir,seed,variant,selection,checkpoint,gate_config,threshold,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
stackoverflow,0.25,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir25_seed42/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,80.43563426229952,96.1408111949273,92.42070116861436,83.05316375107083,82.83233132932531,2.1366570220342758
stackoverflow,0.25,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9838975270652995,66.0840965946496,88.98605530607422,82.10350584307179,69.90108971322036,86.37274549098196,16.202982417093256
stackoverflow,0.25,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.41216009855270386,51.84924795329435,47.214854111405835,44.40734557595994,51.07684897964627,92.31796927187709,68.30625417315824
stackoverflow,0.25,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9838975270652995}",0.9838975270652995,68.14278382151227,88.98605530607422,82.5542570951586,71.6166624022726,86.37274549098196,16.202982417093256
stackoverflow,0.25,42,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2818005084991455,43.048008186985285,22.767343809888846,29.76627712854758,39.667897457469216,91.24916499665999,86.77943467616292
stackoverflow,0.25,87,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir25_seed87/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,80.6143073482316,94.14655942806077,90.53422370617696,82.8696826948698,83.74581939799332,6.25139043381535
stackoverflow,0.25,87,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9894330001624613,76.31453028318191,91.41125742920406,86.62771285475793,78.83065147418561,89.03010033444816,12.74749721913237
stackoverflow,0.25,87,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.312002956867218,54.464943181432425,66.52286453839517,60.10016694490818,56.474596740926216,90.23411371237458,48.54282536151279
stackoverflow,0.25,87,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9894330001624613}",0.9894330001624613,78.9143442385274,91.41125742920406,87.228714524207,80.99716310364018,89.03010033444816,12.74749721913237
stackoverflow,0.25,87,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2701585292816162,39.43322936920847,22.91746641074856,31.15191986644407,36.68060220946515,92.10702341137123,86.71857619577308
stackoverflow,0.5,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,81.26344578340992,89.5056915640106,85.70951585976627,82.01274085437362,81.67556742323097,4.141616566466266
stackoverflow,0.5,13,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9803455939333959,73.39753950790583,77.62289068231841,75.14190317195325,73.78166234194335,88.58477970627503,29.325317301269205
stackoverflow,0.5,13,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4835338592529297,68.66036722707834,58.528212829864835,64.14023372287146,67.73926228187712,89.88651535380508,54.44221776887107
