dataset,kir,variant,seed_count,known_f1_mean,known_f1_std,oos_f1_mean,oos_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std
clinc150,0.25,Ours,3,78.40829383118562,1.6257509762279527,95.18476566327229,0.47976035218486895,91.18181818181819,0.6465845848335392,87.953216374269,1.018786631004928,6.322629969418959,1.0170207430162623
clinc150,0.25,Frozen MiniLM,3,68.95876050545282,3.487108876978099,90.52012611795611,0.9666923358986982,84.38787878787879,1.6916800675282448,89.06432748538013,0.14909413782435466,14.938837920489297,1.6735611962499437
clinc150,0.25,Without Gate,3,48.638990362688986,2.2494051226519325,61.96317728014056,5.781349390466294,54.15151515151515,4.997240744619755,88.59649122807018,0.813475306622436,53.52446483180429,6.0427643184125595
clinc150,0.25,Cascade-MiniLM,3,75.36652227957639,2.3235696381610036,90.52012611795611,0.9666923358986982,85.57575757575756,1.397781266921299,89.06432748538013,0.14909413782435466,14.938837920489297,1.6735611962499437
clinc150,0.25,Cascade-SmolLM,3,54.8039127070434,2.3230422549238776,77.2454711231205,2.3636456609255005,68.33939393939394,2.803002456864143,88.6842105263158,1.5510862233771818,35.13761467889908,3.4364401646947127
clinc150,0.5,Ours,3,82.98495511408886,0.7876702025648749,92.1295805236636,0.8101040260798094,88.23030303030303,0.8657974025904761,89.27407407407406,1.07731312371543,8.246153846153847,1.1564756363347637
clinc150,0.5,Frozen MiniLM,3,75.87618687069435,0.21004924245355944,84.39596730110544,0.5041664630007171,80.17575757575757,0.3637373597120943,89.80740740740741,0.9268439893106402,21.835897435897436,1.2724564036324775
clinc150,0.5,Without Gate,3,68.17585391160132,1.2299320290142217,66.33366858045663,2.38151132603349,66.12727272727274,1.6469020922257067,88.56296296296296,1.2477909149182562,46.36923076923077,3.354551795915408
clinc150,0.5,Cascade-MiniLM,3,81.11815244642942,0.34577769527942226,84.39596730110544,0.5041664630007171,82.25454545454545,0.4461034235049208,89.80740740740741,0.9268439893106402,21.835897435897436,1.2724564036324775
clinc150,0.5,Cascade-SmolLM,3,66.09846153433148,0.43113956073335086,64.35586426690061,2.2001101040620283,64.07878787878788,1.5010984652538646,89.55555555555556,0.5345664756346287,49.08717948717949,2.4736029135849584
