dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d,bootstrap_seed,bootstrap_samples
banking77,0.25,single_centroid,oos_f1,5,0.06481458714285204,0.06403827701834142,0.01286162873951112,0.05466229299903787,0.07496688128666622,5,0,0,5.0393763072744155,20260806,10000
banking77,0.25,single_centroid,f1_all,5,0.09224713831369077,0.09213769657510873,0.01899351483060787,0.07720034284073637,0.10729393378664517,5,0,0,4.8567702785076605,20260806,10000
banking77,0.25,single_centroid,known_recall,5,-0.02052631578947368,-0.021052631578947323,0.009872806043317932,-0.028157894736842114,-0.013157894736842101,0,0,5,-2.0790761713956902,20260806,10000
banking77,0.25,single_centroid,false_accept_rate,5,-0.11508620689655169,-0.10905172413793102,0.01896796614283461,-0.1306896551724138,-0.10077586206896547,0,0,5,-6.067398372072009,20260806,10000
banking77,0.25,single_centroid,auroc,5,0.031409482758620745,0.033262250453720554,0.007509566789147269,0.025339269509981933,0.03689360254083496,5,0,0,4.182595832826646,20260806,10000
banking77,0.25,single_centroid,aupr_oos,5,0.014470934604976749,0.013546095461906993,0.0038094683542486767,0.011770809071019194,0.01762587777296769,5,0,0,3.7986756311644916,20260806,10000
banking77,0.25,fixed_k2,oos_f1,5,0.05875987987903899,0.07033663952776192,0.020598087176718963,0.041288197135038576,0.0738465845760391,5,0,0,2.8526862409560283,20260806,10000
banking77,0.25,fixed_k2,f1_all,5,0.07410409057541474,0.06829979367188965,0.014620944040283714,0.06508033761141067,0.08646744615634117,5,0,0,5.068351973117652,20260806,10000
banking77,0.25,fixed_k2,known_recall,5,-0.0005263157894736858,0.001315789473684159,0.016659162668964604,-0.013947368421052597,0.011315789473684168,3,0,2,-0.03159317187376965,20260806,10000
banking77,0.25,fixed_k2,false_accept_rate,5,-0.09999999999999996,-0.10991379310344823,0.033586133877283826,-0.12474137931034482,-0.07146551724137926,0,0,5,-2.9774192041685255,20260806,10000
banking77,0.25,fixed_k2,auroc,5,0.034949863883847646,0.03907270871143387,0.013023319955978852,0.024797527223230566,0.04510220054446472,5,0,0,2.6836370450840823,20260806,10000
banking77,0.25,fixed_k2,aupr_oos,5,0.015163010223468332,0.017597676522579597,0.005484769116710498,0.010930131185538228,0.019395889261398437,5,0,0,2.764566730306121,20260806,10000
banking77,0.25,random_partition,oos_f1,5,0.0664899229850496,0.06287167499389901,0.01358100665710223,0.05664986156442338,0.07784434231414225,5,0,0,4.895802252646603,20260806,10000
banking77,0.25,random_partition,f1_all,5,0.09195491647336082,0.08731213842624552,0.019044693781122276,0.07772951189154458,0.10627184111248286,5,0,0,4.828374639686229,20260806,10000
banking77,0.25,random_partition,known_recall,5,-0.02894736842105261,-0.02894736842105261,0.00483451922917731,-0.032631578947368386,-0.02526315789473683,0,0,5,-5.987641593470006,20260806,10000
