dataset,seed,metric,trainable_minus_adb,delta_pp
stackoverflow,100,oos_f1,0.01044894067938662,1.044894067938662
stackoverflow,100,f1_all,0.009766780956895094,0.9766780956895094
stackoverflow,100,f1_k,-0.014898427143406612,-1.4898427143406612
stackoverflow,100,accuracy,0.009666666666666712,0.9666666666666712
stackoverflow,100,known_recall,0.013666666666666716,1.3666666666666716
stackoverflow,100,false_accept_rate,-0.009000000000000001,-0.9000000000000001
stackoverflow,100,false_reject_rate,-0.013666666666666744,-1.3666666666666742
stackoverflow,42,oos_f1,0.015955066427507325,1.5955066427507325
stackoverflow,42,f1_all,0.015193250658615987,1.5193250658615987
stackoverflow,42,f1_k,-0.021777775659407306,-2.1777775659407306
stackoverflow,42,accuracy,0.01633333333333331,1.633333333333331
stackoverflow,42,known_recall,0.041999999999999926,4.199999999999992
stackoverflow,42,false_accept_rate,0.0026666666666666644,0.26666666666666644
stackoverflow,42,false_reject_rate,-0.04199999999999998,-4.199999999999998
stackoverflow,87,oos_f1,-0.0010266369666087627,-0.10266369666087627
stackoverflow,87,f1_all,0.0060565237779312,0.60565237779312
stackoverflow,87,f1_k,-0.02826244519529486,-2.826244519529486
stackoverflow,87,accuracy,0.0,0.0
stackoverflow,87,known_recall,0.031333333333333324,3.1333333333333324
stackoverflow,87,false_accept_rate,0.025999999999999968,2.599999999999997
stackoverflow,87,false_reject_rate,-0.031333333333333324,-3.1333333333333324
banking77,100,oos_f1,0.08029516070481135,8.029516070481135
banking77,100,f1_all,0.0398342449900162,3.98342449900162
banking77,100,f1_k,-0.08197753869574331,-8.197753869574331
banking77,100,accuracy,0.06233766233766236,6.233766233766236
banking77,100,known_recall,-0.06381578947368416,-6.381578947368416
banking77,100,false_accept_rate,-0.1647435897435898,-16.474358974358978
banking77,100,false_reject_rate,0.0638157894736842,6.38157894736842
banking77,42,oos_f1,0.11457296765874314,11.457296765874315
banking77,42,f1_all,0.037586283162848066,3.7586283162848066
banking77,42,f1_k,-0.09053445978770513,-9.053445978770513
banking77,42,accuracy,0.08116883116883111,8.11688311688311
banking77,42,known_recall,-0.07960526315789485,-7.960526315789485
banking77,42,false_accept_rate,-0.22692307692307698,-22.692307692307697
banking77,42,false_reject_rate,0.07960526315789469,7.960526315789469
banking77,87,oos_f1,0.09896386762770137,9.896386762770138
banking77,87,f1_all,0.032872631042483946,3.2872631042483946
banking77,87,f1_k,-0.0779706466411072,-7.79706466411072
banking77,87,accuracy,0.07370129870129871,7.370129870129871
banking77,87,known_recall,-0.07039473684210529,-7.039473684210529
banking77,87,false_accept_rate,-0.20512820512820523,-20.51282051282052
banking77,87,false_reject_rate,0.07039473684210523,7.039473684210523
clinc150,100,oos_f1,0.004131471334514747,0.4131471334514747
clinc150,100,f1_all,-0.03727342573042858,-3.7273425730428578
clinc150,100,f1_k,-0.11591922690923817,-11.591922690923816
clinc150,100,accuracy,-0.0052631578947368585,-0.5263157894736858
clinc150,100,known_recall,-0.15688888888888886,-15.688888888888886
clinc150,100,false_accept_rate,-0.09188405797101457,-9.188405797101456
clinc150,100,false_reject_rate,0.1568888888888889,15.688888888888892
clinc150,42,oos_f1,0.0019215444597929787,0.19215444597929787
clinc150,42,f1_all,-0.05545916178632726,-5.5459161786327265
clinc150,42,f1_k,-0.13754362385162533,-13.754362385162533
clinc150,42,accuracy,-0.010877192982456152,-1.0877192982456152
clinc150,42,known_recall,-0.17511111111111122,-17.51111111111112
clinc150,42,false_accept_rate,-0.096231884057971,-9.623188405797102
clinc150,42,false_reject_rate,0.1751111111111111,17.51111111111111
clinc150,87,oos_f1,0.004542073302051031,0.45420733020510307
clinc150,87,f1_all,-0.03153411486837043,-3.1534114868370433
clinc150,87,f1_k,-0.10636262299148647,-10.636262299148648
clinc150,87,accuracy,-0.0017543859649122862,-0.17543859649122862
clinc150,87,known_recall,-0.1564444444444445,-15.64444444444445
clinc150,87,false_accept_rate,-0.09304347826086957,-9.304347826086957
clinc150,87,false_reject_rate,0.1564444444444444,15.644444444444442
