dataset,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std
banking77,3,0.7430012197773129,0.014985312495494948,0.7818126636536253,0.016650918706745323,0.9014826290833567,0.011886655775891116,0.7524891774891774,0.01221889750016908,0.8925438596491228,0.006112877133669491,0.34679487179487184,0.02373526741227387,0.1074561403508772,0.006112877133669459
clinc150,3,0.9001244879143854,0.0045201759636656035,0.8600340038250106,0.0044323587777213794,0.9374196687529759,0.007884650264057486,0.8790643274853801,0.0034438437109557117,0.9063703703703704,0.007225924976745026,0.13159420289855073,0.011766830800106915,0.09362962962962962,0.007225924976745012
stackoverflow,3,0.87364018250007,0.016085425329068034,0.8565977087597924,0.01590368014292444,0.88706650202472,0.009515988335788724,0.8636666666666667,0.017186073173098913,0.8077777777777778,0.014353990282741463,0.07522222222222223,0.01965630612221865,0.1922222222222222,0.014353990282741477
