dataset,kir,distance,intent,seed,best_k,best_k_intent_oos_f1,delta_oos_f1_vs_k1,delta_intent_class_f1_vs_k1,delta_known_recall_vs_k1,best_k_intent_known_recall,best_k_false_reject_rate,best_k_false_accept_count,best_k_false_accept_rate,selection_metric_definition,kir_pct,multi_center_oracle,safe_gain_oracle
clinc150,0.75,euclidean,repeat,13,2,0.9285714285714286,0.0824175824175825,0.0824175824175825,0.1333333333333334,0.8666666666666667,0.1333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,repeat,42,2,0.9285714285714286,0.0824175824175825,0.0824175824175825,0.1333333333333334,0.8666666666666667,0.1333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,repeat,100,5,0.9285714285714286,0.0824175824175825,0.0824175824175825,0.1333333333333334,0.8666666666666667,0.1333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,replacement_card_duration,13,1,0.8518518518518519,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,replacement_card_duration,42,1,0.8518518518518519,0.0,0.0,0.0,0.7666666666666667,0.2,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,replacement_card_duration,87,1,0.8518518518518519,0.0,0.0,0.0,0.7666666666666667,0.2,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,replacement_card_duration,100,1,0.8518518518518519,0.0,0.0,0.0,0.7666666666666667,0.2,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,replacement_card_duration,123,1,0.8518518518518519,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,report_fraud,42,2,0.7346938775510204,0.1389491966999566,0.1389491966999566,0.1333333333333333,0.6,0.4,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,report_fraud,87,2,0.7346938775510204,0.1124716553287981,0.1124716553287981,0.1333333333333333,0.6,0.3666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,report_lost_card,13,1,0.9285714285714286,0.0,0.0,0.0,0.8666666666666667,0.1333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,report_lost_card,87,1,0.9285714285714286,0.0,0.0,0.0,0.8666666666666667,0.1,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,report_lost_card,100,1,0.9285714285714286,0.0,0.0,0.0,0.8666666666666667,0.1333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,reset_settings,13,1,0.8679245283018869,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
