dataset,kir,distance,intent,seed_count,mode_best_k,mode_agreement,all_seeds_multi_center,all_seeds_k1,mean_delta_oos_f1,mean_delta_known_recall
banking77,0.1,euclidean,Refund_not_showing_up,2,5,1.0,True,False,0.09907086700753204,-5.0306980803327406e-17
banking77,0.1,euclidean,atm_support,2,3,1.0,True,False,0.3590535972959923,0.0749999999999999
banking77,0.1,euclidean,automatic_top_up,1,2,1.0,True,False,0.1815126050420167,-0.0999999999999999
banking77,0.1,euclidean,card_about_to_expire,1,4,1.0,True,False,0.1122035858877964,-0.0499999999999999
banking77,0.1,euclidean,card_acceptance,1,5,1.0,True,False,0.2237762237762238,-0.3
banking77,0.1,euclidean,card_linking,1,5,1.0,True,False,0.3087557603686636,-0.0999999999999999
banking77,0.1,euclidean,compromised_card,3,3,1.0,True,False,0.08174018604198226,-0.09166666666666656
banking77,0.1,euclidean,direct_debit_payment_not_recognised,2,1,1.0,False,True,0.0,0.0
banking77,0.1,euclidean,extra_charge_on_statement,1,5,1.0,True,False,0.1320679320679318,0.025
banking77,0.1,euclidean,getting_spare_card,1,4,1.0,True,False,0.147705845380264,0.0249999999999999
banking77,0.1,euclidean,passcode_forgotten,1,3,1.0,True,False,0.0410256410256409,0.0749999999999999
banking77,0.1,euclidean,pending_card_payment,1,3,1.0,True,False,0.0883136657784545,0.05
banking77,0.1,euclidean,pending_cash_withdrawal,3,5,1.0,True,False,0.2605788753478523,0.11666666666666657
banking77,0.1,euclidean,pending_transfer,2,3,0.5,False,False,0.01131541725601125,0.025
banking77,0.1,euclidean,receiving_money,1,4,1.0,True,False,0.3716599190283401,0.0
banking77,0.1,euclidean,reverted_card_payment?,2,3,0.5,True,False,0.16552360800164106,0.02499999999999995
banking77,0.1,euclidean,terminate_account,2,1,1.0,False,True,0.0,0.0
banking77,0.1,euclidean,top_up_limits,1,1,1.0,False,True,0.0,0.0
banking77,0.1,euclidean,top_up_reverted,1,4,1.0,True,False,0.0902013422818792,-0.175
banking77,0.1,euclidean,transaction_charged_twice,1,2,1.0,True,False,0.0626235992089649,-0.025
banking77,0.1,euclidean,transfer_fee_charged,3,2,1.0,True,False,0.12123913992884676,0.025000000000000005
banking77,0.1,euclidean,transfer_not_received_by_recipient,1,5,1.0,True,False,0.1400104329681795,-0.0749999999999999
