dataset,kir,seed,method,contract,run_manifest,manifest_status,valid_semantic_metrics,invalid_reason,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,n_test,n_known,n_oos
clinc150,0.25,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/clinc150/ADB/kir_0.25/seed_42/run_manifest.json,complete,True,,0.910921222053143,0.7663535261418625,0.9527834973148901,0.8656140350877193,0.9192982456140351,0.14671052631578949,0.08070175438596491,5700,1140,4560
clinc150,0.25,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/clinc150/ADB/kir_0.25/seed_87/run_manifest.json,complete,True,,0.9073250643575942,0.75641118130895,0.9407869921254151,0.8598245614035088,0.9043859649122807,0.14978070175438596,0.0956140350877193,5700,1140,4560
clinc150,0.75,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/clinc150/ADB/kir_0.75/seed_100/run_manifest.json,complete,True,,0.8541438880384867,0.8906162576832659,0.9385100145402908,0.873859649122807,0.9166666666666666,0.16538461538461538,0.08333333333333333,5700,3360,2340
clinc150,0.75,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/clinc150/ADB/kir_0.75/seed_42/run_manifest.json,complete,True,,0.8380656610470275,0.8821087030764226,0.936608534067709,0.8614035087719298,0.9169642857142857,0.19273504273504274,0.08303571428571428,5700,3360,2340
clinc150,0.75,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/clinc150/ADB/kir_0.75/seed_87/run_manifest.json,complete,True,,0.8605560382276282,0.8833395042756239,0.9282442007534341,0.8728070175438597,0.9157738095238095,0.15341880341880343,0.08422619047619048,5700,3360,2340
stackoverflow,0.25,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.25/seed_100/run_manifest.json,complete,True,,0.9372394366197183,0.8464983881333218,0.9168711546697645,0.9061666666666667,0.856,0.07577777777777778,0.144,6000,1500,4500
stackoverflow,0.25,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.25/seed_42/run_manifest.json,complete,True,,0.9313560274126502,0.8260556537302852,0.9013173640332031,0.897,0.8293333333333334,0.07888888888888888,0.17066666666666666,6000,1500,4500
stackoverflow,0.25,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.25/seed_87/run_manifest.json,complete,True,,0.9320780094149294,0.8236109072046314,0.8966569756645659,0.8975,0.824,0.076,0.176,6000,1500,4500
stackoverflow,0.75,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.75/seed_100/run_manifest.json,complete,True,,0.7273216689098251,0.8628631879328779,0.886469148014211,0.827,0.808,0.09933333333333333,0.192,6000,4500,1500
stackoverflow,0.75,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.75/seed_42/run_manifest.json,complete,True,,0.7257764799575259,0.8588470066424492,0.880408307356763,0.8231666666666667,0.8,0.08866666666666667,0.2,6000,4500,1500
stackoverflow,0.75,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/stackoverflow/ADB/kir_0.75/seed_87/run_manifest.json,complete,True,,0.739324076499869,0.8536739364937034,0.870448837524925,0.823,0.7986666666666666,0.059333333333333335,0.20133333333333334,6000,4500,1500
