dataset,kir,single_centroid_fr_minus_trainable,fixed_k2_fr_minus_trainable,random_partition_fr_minus_trainable,mogb_minilm_fr_minus_trainable,mogb_partition_ours_boundary_fr_minus_trainable,ours_partition_mogb_boundary_fr_minus_trainable
banking77,0.25,-0.02052631578947367,-0.0005263157894736803,-0.02894736842105264,0.41868421052631577,0.20157894736842102,0.2797368421052632
banking77,0.5,-0.028026315789473677,-0.0034210526315789636,-0.037500000000000006,0.4880263157894736,0.3002631578947369,0.2896052631578947
banking77,0.75,-0.03999999999999998,-0.007241379310344798,-0.04862068965517241,0.5364655172413793,0.3655172413793103,0.2885344827586207
clinc150,0.25,-0.04315789473684212,-0.007192982456140362,-0.052105263157894766,0.3652631578947369,0.13456140350877194,0.3173684210526316
clinc150,0.5,-0.0431111111111111,-0.006933333333333319,-0.05031111111111111,0.42871111111111104,0.21102222222222222,0.32204444444444447
clinc150,0.75,-0.03952380952380952,-0.006845238095238099,-0.049285714285714294,0.4592261904761904,0.27029761904761895,0.32273809523809516
stackoverflow,0.25,-0.01319999999999999,-0.009200000000000014,-0.017999999999999988,0.5168,0.2518666666666667,0.30146666666666666
stackoverflow,0.5,-0.03253333333333333,-0.02993333333333334,-0.03746666666666666,0.568,0.3350666666666666,0.29399999999999993
stackoverflow,0.75,-0.03506666666666669,-0.039066666666666666,-0.04080000000000002,0.6294222222222222,0.45048888888888894,0.30617777777777777
