dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate
clinc150,0.25,13,random_partition,Random K=2,car_rental,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,random_partition,Random K=2,change_ai_name,30,12,0.4,28,0.0061403508771929825
clinc150,0.25,13,random_partition,Random K=2,change_speed,30,3,0.1,1,0.0002192982456140351
clinc150,0.25,13,random_partition,Random K=2,credit_score,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,random_partition,Random K=2,current_location,30,4,0.13333333333333333,6,0.0013157894736842105
clinc150,0.25,13,random_partition,Random K=2,damaged_card,30,8,0.26666666666666666,29,0.006359649122807017
clinc150,0.25,13,random_partition,Random K=2,date,30,2,0.06666666666666667,2,0.0004385964912280702
clinc150,0.25,13,random_partition,Random K=2,food_last,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,random_partition,Random K=2,fun_fact,30,3,0.1,2,0.0004385964912280702
clinc150,0.25,13,random_partition,Random K=2,ingredient_substitution,30,11,0.36666666666666664,4,0.0008771929824561404
clinc150,0.25,13,random_partition,Random K=2,last_maintenance,30,3,0.1,4,0.0008771929824561404
clinc150,0.25,13,random_partition,Random K=2,lost_luggage,30,1,0.03333333333333333,0,0.0
clinc150,0.25,13,random_partition,Random K=2,maybe,30,4,0.13333333333333333,6,0.0013157894736842105
clinc150,0.25,13,random_partition,Random K=2,oil_change_how,30,2,0.06666666666666667,0,0.0
clinc150,0.25,13,random_partition,Random K=2,payday,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,random_partition,Random K=2,plug_type,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,random_partition,Random K=2,pto_request_status,30,11,0.36666666666666664,15,0.003289473684210526
clinc150,0.25,13,random_partition,Random K=2,pto_used,30,6,0.2,30,0.006578947368421052
clinc150,0.25,13,random_partition,Random K=2,replacement_card_duration,30,8,0.26666666666666666,1,0.0002192982456140351
clinc150,0.25,13,random_partition,Random K=2,restaurant_reservation,30,7,0.23333333333333334,19,0.004166666666666667
clinc150,0.25,13,random_partition,Random K=2,rewards_balance,30,6,0.2,13,0.0028508771929824563
