dataset,kir,method,method_label,oos_f1_mean,oos_f1_std,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,n_seeds
banking77,0.25,fixed_k2,Frozen K=2,0.8577784166123713,0.03175919520536074,0.8189473684210526,0.2032758620689655,0.18105263157894738,5
banking77,0.25,mogb_minilm,MOGB-MiniLM,0.9029919725157672,0.004345545482740991,0.39973684210526317,0.015000000000000003,0.6002631578947368,5
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.9205598966754222,0.004509605546132444,0.616842105263158,0.04017241379310345,0.3831578947368421,5
banking77,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.9067732430505278,0.009602934276313755,0.5386842105263158,0.045086206896551725,0.46131578947368423,5
banking77,0.25,random_partition,Random K=2,0.8500483735063608,0.02443395835719756,0.8473684210526315,0.2231034482758621,0.15263157894736842,5
banking77,0.25,single_centroid,Frozen K=1,0.8517237093485583,0.025265382256290114,0.8389473684210527,0.21836206896551724,0.1610526315789474,5
banking77,0.25,trainable_k1,Trainable K=1,0.9165382964914104,0.017976090268549322,0.8184210526315789,0.10327586206896551,0.18157894736842106,5
banking77,0.5,fixed_k2,Frozen K=2,0.7546157036165422,0.02152853677583116,0.8255263157894737,0.29051282051282057,0.1744736842105263,5
banking77,0.5,mogb_minilm,MOGB-MiniLM,0.7499368546965275,0.006406834213942418,0.33407894736842103,0.010897435897435897,0.6659210526315789,5
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.7939747596576892,0.007797331809627128,0.5218421052631579,0.034999999999999996,0.47815789473684217,5
banking77,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.7885946611939285,0.008579758994922679,0.5325,0.05243589743589744,0.46749999999999997,5
banking77,0.5,random_partition,Random K=2,0.7162208519261768,0.026683360105673216,0.8596052631578948,0.36500000000000005,0.14039473684210527,5
banking77,0.5,single_centroid,Frozen K=1,0.7242801509490058,0.027673309741623107,0.8501315789473685,0.3484615384615385,0.1498684210526316,5
banking77,0.5,trainable_k1,Trainable K=1,0.8356406184886493,0.01825114454581141,0.8221052631578948,0.15743589743589742,0.17789473684210527,5
banking77,0.75,fixed_k2,Frozen K=2,0.5931096142882415,0.025728699487870366,0.8313793103448276,0.36078947368421055,0.16862068965517243,5
banking77,0.75,mogb_minilm,MOGB-MiniLM,0.4763444315858617,0.004103773735430719,0.28767241379310343,0.0076315789473684215,0.7123275862068965,5
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.5313316683894659,0.005918725520325323,0.45862068965517244,0.04052631578947368,0.5413793103448276,5
banking77,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.5507101160126237,0.004786773839330919,0.535603448275862,0.0813157894736842,0.4643965517241379,5
banking77,0.75,random_partition,Random K=2,0.5337882516266328,0.04240542158941037,0.8727586206896552,0.49315789473684213,0.12724137931034482,5
banking77,0.75,single_centroid,Frozen K=1,0.5366071713978288,0.04167218970527395,0.8641379310344828,0.48,0.13586206896551725,5
banking77,0.75,trainable_k1,Trainable K=1,0.6865343253584566,0.02708454008995989,0.8241379310344827,0.19605263157894737,0.17586206896551723,5
clinc150,0.25,fixed_k2,Frozen K=2,0.9447183904938934,0.00798118696952841,0.7435087719298246,0.047280701754385965,0.25649122807017544,5
clinc150,0.25,mogb_minilm,MOGB-MiniLM,0.9238361040438378,0.002953427786593953,0.3710526315789474,0.006578947368421052,0.6289473684210527,5
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.9413139384002536,0.004982739043636001,0.6017543859649123,0.02236842105263158,0.39824561403508774,5
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.9263775447547195,0.0034878261475231745,0.4189473684210526,0.011798245614035089,0.5810526315789474,5
clinc150,0.25,random_partition,Random K=2,0.9423997495237098,0.009448493371717792,0.7884210526315789,0.06171052631578947,0.21157894736842103,5
clinc150,0.25,single_centroid,Frozen K=1,0.9420722511346671,0.007409448841719753,0.7794736842105263,0.060350877192982454,0.22052631578947368,5
