dataset,kir,single_centroid_fa_minus_trainable,fixed_k2_fa_minus_trainable,random_partition_fa_minus_trainable,mogb_minilm_fa_minus_trainable,mogb_partition_ours_boundary_fa_minus_trainable,ours_partition_mogb_boundary_fa_minus_trainable
banking77,0.25,0.11508620689655173,0.09999999999999999,0.11982758620689658,-0.08827586206896551,-0.06310344827586206,-0.058189655172413784
banking77,0.5,0.19102564102564107,0.13307692307692315,0.20756410256410263,-0.14653846153846153,-0.12243589743589742,-0.10499999999999998
banking77,0.75,0.2839473684210526,0.16473684210526318,0.29710526315789476,-0.18842105263157893,-0.15552631578947368,-0.11473684210526316
clinc150,0.25,0.027982456140350873,0.014912280701754384,0.02934210526315789,-0.02578947368421053,-0.010000000000000002,-0.020570175438596492
clinc150,0.5,0.05124637681159419,0.027478260869565216,0.052695652173913046,-0.027884057971014498,-0.011942028985507253,-0.02005797101449276
clinc150,0.75,0.06085470085470084,0.03307692307692308,0.06205128205128204,-0.03188034188034188,-0.021282051282051285,-0.02136752136752137
stackoverflow,0.25,0.11106666666666666,0.1562222222222222,0.11835555555555553,-0.029111111111111115,-0.018177777777777782,0.005866666666666666
stackoverflow,0.5,0.2036666666666667,0.37826666666666664,0.21639999999999995,-0.08546666666666668,-0.0748,0.0635333333333333
stackoverflow,0.75,0.24026666666666666,0.5286666666666667,0.25760000000000005,-0.08133333333333333,-0.06999999999999999,0.14573333333333335
