dataset,kir,comparison_method,gold_type,transition,rate_mean,rate_std,n_seeds
banking77,0.25,fixed_k2,known,both_correct,0.7628947368421053,0.014335464421015619,5
banking77,0.25,fixed_k2,known,both_incorrect,0.12552631578947368,0.01314473025657071,5
banking77,0.25,fixed_k2,known,comparison_only_correct,0.05605263157894737,0.008455931059505066,5
banking77,0.25,fixed_k2,known,trainable_only_correct,0.05552631578947369,0.01152349160305859,5
banking77,0.25,fixed_k2,oos,both_correct,0.7787068965517241,0.056023374230462615,5
banking77,0.25,fixed_k2,oos,both_incorrect,0.08525862068965517,0.02795317608980648,5
banking77,0.25,fixed_k2,oos,comparison_only_correct,0.018017241379310343,0.007336455079071192,5
banking77,0.25,fixed_k2,oos,trainable_only_correct,0.11801724137931036,0.031991645293870066,5
banking77,0.25,mogb_minilm,known,both_correct,0.39710526315789474,0.02270261190386731,5
banking77,0.25,mogb_minilm,known,both_incorrect,0.17894736842105263,0.009442565851583777,5
banking77,0.25,mogb_minilm,known,comparison_only_correct,0.002631578947368421,0.0027912109783679506,5
banking77,0.25,mogb_minilm,known,trainable_only_correct,0.4213157894736842,0.025571717626750656,5
banking77,0.25,mogb_minilm,oos,both_correct,0.8966379310344827,0.033523012398729554,5
banking77,0.25,mogb_minilm,oos,both_incorrect,0.014913793103448276,0.006331953768432363,5
banking77,0.25,mogb_minilm,oos,comparison_only_correct,0.08836206896551724,0.031155475352991617,5
banking77,0.25,mogb_minilm,oos,trainable_only_correct,8.620689655172413e-05,0.00019276448081894737,5
banking77,0.25,mogb_partition_ours_boundary,known,both_correct,0.608157894736842,0.033149017190864404,5
banking77,0.25,mogb_partition_ours_boundary,known,both_incorrect,0.17289473684210527,0.00904934150739443,5
banking77,0.25,mogb_partition_ours_boundary,known,comparison_only_correct,0.00868421052631579,0.004119072590131192,5
banking77,0.25,mogb_partition_ours_boundary,known,trainable_only_correct,0.21026315789473685,0.038128391498031315,5
banking77,0.25,mogb_partition_ours_boundary,oos,both_correct,0.8938793103448276,0.03214373005250742,5
banking77,0.25,mogb_partition_ours_boundary,oos,both_incorrect,0.03732758620689655,0.00577167887630017,5
banking77,0.25,mogb_partition_ours_boundary,oos,comparison_only_correct,0.06594827586206896,0.028787489128457282,5
banking77,0.25,mogb_partition_ours_boundary,oos,trainable_only_correct,0.0028448275862068967,0.0020125202637808195,5
banking77,0.25,ours_partition_mogb_boundary,known,both_correct,0.5257894736842106,0.019216833859954884,5
banking77,0.25,ours_partition_mogb_boundary,known,both_incorrect,0.1686842105263158,0.0064056112866516125,5
banking77,0.25,ours_partition_mogb_boundary,known,comparison_only_correct,0.012894736842105264,0.003651167611976739,5
banking77,0.25,ours_partition_mogb_boundary,known,trainable_only_correct,0.29263157894736846,0.01623814291471041,5
banking77,0.25,ours_partition_mogb_boundary,oos,both_correct,0.8838793103448275,0.03817466818873293,5
banking77,0.25,ours_partition_mogb_boundary,oos,both_incorrect,0.032241379310344834,0.011931171516055791,5
banking77,0.25,ours_partition_mogb_boundary,oos,comparison_only_correct,0.07103448275862069,0.025832238543280678,5
banking77,0.25,ours_partition_mogb_boundary,oos,trainable_only_correct,0.012844827586206897,0.008950584380977525,5
banking77,0.25,random_partition,known,both_correct,0.7952631578947369,0.010132433320093942,5
