dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path
clinc150,0.25,87,mogb_minilm,MOGB-MiniLM,5700,1140,4560,0.9232335573203013,0.36140350877192984,0.005701754385964913,0.6385964912280702,0.9232335573203012,0.3614035087719298,1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/mogb_minilm/predictions.tsv
clinc150,0.25,87,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9399114484503479,0.5894736842105263,0.02236842105263158,0.4105263157894737,0.939911448450348,0.5894736842105264,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.25,87,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9244270080528598,0.4307017543859649,0.018201754385964913,0.5692982456140351,0.9244270080528598,0.4307017543859649,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_87/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.25,100,trainable_k1,Trainable K=1,5700,1140,4560,0.9625347891243845,0.7491228070175439,0.014035087719298246,0.25087719298245614,0.9625347891243844,0.7491228070175439,1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/clinc150/seed_100/predictions.jsonl
clinc150,0.25,100,single_centroid,Frozen K=1,5700,1140,4560,0.9540204837655263,0.7894736842105263,0.039912280701754385,0.21052631578947367,0.9540204837655264,0.7894736842105263,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/single_centroid/predictions.tsv
clinc150,0.25,100,fixed_k2,Frozen K=2,5700,1140,4560,0.9567555938037866,0.7464912280701754,0.024780701754385966,0.2535087719298246,0.9567555938037866,0.7464912280701754,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/fixed_k2/predictions.tsv
clinc150,0.25,100,random_partition,Random K=2,5700,1140,4560,0.9580106881884611,0.8096491228070175,0.03684210526315789,0.19035087719298247,0.9580106881884612,0.8096491228070175,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/random_partition/predictions.tsv
clinc150,0.25,100,mogb_minilm,MOGB-MiniLM,5700,1140,4560,0.9265110590153909,0.38070175438596493,0.003289473684210526,0.6192982456140351,0.9265110590153908,0.3807017543859649,1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/mogb_minilm/predictions.tsv
clinc150,0.25,100,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9469035853222585,0.6070175438596491,0.0125,0.3929824561403509,0.9469035853222584,0.6070175438596491,1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.25,100,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9313916521382423,0.4298245614035088,0.004166666666666667,0.5701754385964912,0.9313916521382424,0.4298245614035088,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_100/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.25,123,trainable_k1,Trainable K=1,5700,1140,4560,0.9475392103839914,0.7324561403508771,0.039473684210526314,0.2675438596491228,0.9475392103839914,0.7324561403508771,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/clinc150/seed_123/predictions.jsonl
clinc150,0.25,123,single_centroid,Frozen K=1,5700,1140,4560,0.9384157761374904,0.7736842105263158,0.06600877192982456,0.22631578947368422,0.9384157761374904,0.7736842105263158,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/single_centroid/predictions.tsv
clinc150,0.25,123,fixed_k2,Frozen K=2,5700,1140,4560,0.9401877319362585,0.7412280701754386,0.055482456140350876,0.25877192982456143,0.9401877319362584,0.7412280701754386,1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/fixed_k2/predictions.tsv
clinc150,0.25,123,random_partition,Random K=2,5700,1140,4560,0.9405798699151141,0.7850877192982456,0.06447368421052632,0.2149122807017544,0.940579869915114,0.7850877192982456,1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/random_partition/predictions.tsv
clinc150,0.25,123,mogb_minilm,MOGB-MiniLM,5700,1140,4560,0.9244281045751634,0.38070175438596493,0.007456140350877193,0.6192982456140351,0.9244281045751634,0.3807017543859649,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/mogb_minilm/predictions.tsv
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.941851812480068,0.6342105263157894,0.02850877192982456,0.36578947368421055,0.941851812480068,0.6342105263157894,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.25,123,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9224607168532403,0.39824561403508774,0.015131578947368421,0.6017543859649123,0.9224607168532404,0.3982456140350877,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.5,13,trainable_k1,Trainable K=1,5700,2250,3450,0.9070904645476773,0.7453333333333333,0.03217391304347826,0.25466666666666665,0.9070904645476772,0.7453333333333334,1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_13/predictions.jsonl
clinc150,0.5,13,single_centroid,Frozen K=1,5700,2250,3450,0.8932504942106749,0.7915555555555556,0.08318840579710145,0.20844444444444443,0.8932504942106749,0.7915555555555556,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/single_centroid/predictions.tsv
clinc150,0.5,13,fixed_k2,Frozen K=2,5700,2250,3450,0.8935519733185103,0.764,0.06811594202898551,0.236,0.8935519733185103,0.764,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/fixed_k2/predictions.tsv
clinc150,0.5,13,random_partition,Random K=2,5700,2250,3450,0.8901816118047673,0.7951111111111111,0.09072463768115942,0.2048888888888889,0.8901816118047673,0.7951111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/random_partition/predictions.tsv
clinc150,0.5,13,mogb_minilm,MOGB-MiniLM,5700,2250,3450,0.8126636515115448,0.3164444444444444,0.010434782608695653,0.6835555555555556,0.8126636515115448,0.3164444444444444,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/mogb_minilm/predictions.tsv
clinc150,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8596266939401688,0.5511111111111111,0.025507246376811593,0.4488888888888889,0.8596266939401688,0.5511111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.833394902105652,0.428,0.019130434782608695,0.572,0.833394902105652,0.428,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/ours_partition_mogb_boundary/predictions.tsv
