dataset,kir,comparison_method,comparison_only_correct,trainable_only_correct,trainable_win_minus_comparison_win
banking77,0.25,fixed_k2,0.018017241379310343,0.11801724137931036,0.1
banking77,0.25,mogb_minilm,0.08836206896551724,8.620689655172413e-05,-0.08827586206896551
banking77,0.25,mogb_partition_ours_boundary,0.06594827586206896,0.0028448275862068967,-0.06310344827586206
banking77,0.25,ours_partition_mogb_boundary,0.07103448275862069,0.012844827586206897,-0.05818965517241379
banking77,0.25,random_partition,0.005517241379310344,0.1253448275862069,0.11982758620689657
banking77,0.25,single_centroid,0.005172413793103448,0.12025862068965516,0.11508620689655172
banking77,0.5,fixed_k2,0.03307692307692307,0.16615384615384615,0.1330769230769231
banking77,0.5,mogb_minilm,0.14666666666666667,0.0001282051282051282,-0.14653846153846153
banking77,0.5,mogb_partition_ours_boundary,0.12474358974358975,0.002307692307692308,-0.12243589743589745
banking77,0.5,ours_partition_mogb_boundary,0.1162820512820513,0.011282051282051283,-0.10500000000000001
banking77,0.5,random_partition,0.008333333333333335,0.21589743589743587,0.20756410256410254
banking77,0.5,single_centroid,0.011153846153846155,0.20217948717948717,0.191025641025641
banking77,0.75,fixed_k2,0.03236842105263158,0.19710526315789473,0.16473684210526315
banking77,0.75,mogb_minilm,0.1886842105263158,0.0002631578947368421,-0.18842105263157893
banking77,0.75,mogb_partition_ours_boundary,0.1586842105263158,0.003157894736842105,-0.15552631578947368
banking77,0.75,ours_partition_mogb_boundary,0.1318421052631579,0.017105263157894738,-0.11473684210526316
banking77,0.75,random_partition,0.00736842105263158,0.30447368421052634,0.29710526315789476
banking77,0.75,single_centroid,0.008684210526315789,0.29263157894736846,0.28394736842105267
clinc150,0.25,fixed_k2,0.008333333333333333,0.02324561403508772,0.014912280701754385
clinc150,0.25,mogb_minilm,0.026052631578947372,0.0002631578947368421,-0.02578947368421053
clinc150,0.25,mogb_partition_ours_boundary,0.014824561403508773,0.004824561403508771,-0.010000000000000002
clinc150,0.25,ours_partition_mogb_boundary,0.021666666666666667,0.0010964912280701754,-0.020570175438596492
clinc150,0.25,random_partition,0.0017105263157894735,0.031052631578947366,0.02934210526315789
clinc150,0.25,single_centroid,0.0013596491228070177,0.02934210526315789,0.027982456140350873
clinc150,0.5,fixed_k2,0.008753623188405798,0.036231884057971016,0.027478260869565216
clinc150,0.5,mogb_minilm,0.028521739130434785,0.0006376811594202899,-0.027884057971014495
clinc150,0.5,mogb_partition_ours_boundary,0.020057971014492755,0.008115942028985506,-0.011942028985507249
clinc150,0.5,ours_partition_mogb_boundary,0.02336231884057971,0.0033043478260869562,-0.020057971014492755
clinc150,0.5,random_partition,0.0015072463768115941,0.054202898550724646,0.05269565217391305
clinc150,0.5,single_centroid,0.0013333333333333333,0.05257971014492754,0.051246376811594205
clinc150,0.75,fixed_k2,0.01,0.04307692307692308,0.03307692307692308
clinc150,0.75,mogb_minilm,0.03333333333333333,0.001452991452991453,-0.03188034188034188
clinc150,0.75,mogb_partition_ours_boundary,0.027435897435897433,0.006153846153846154,-0.02128205128205128
clinc150,0.75,ours_partition_mogb_boundary,0.024273504273504273,0.002905982905982906,-0.021367521367521368
clinc150,0.75,random_partition,0.0016239316239316241,0.06367521367521367,0.06205128205128205
clinc150,0.75,single_centroid,0.0013675213675213677,0.06222222222222222,0.06085470085470085
stackoverflow,0.25,fixed_k2,0.007555555555555556,0.16377777777777777,0.1562222222222222
stackoverflow,0.25,mogb_minilm,0.03297777777777778,0.0038666666666666667,-0.029111111111111112
stackoverflow,0.25,mogb_partition_ours_boundary,0.027644444444444444,0.009466666666666667,-0.01817777777777778
stackoverflow,0.25,ours_partition_mogb_boundary,0.02377777777777778,0.029644444444444445,0.005866666666666666
stackoverflow,0.25,random_partition,0.004755555555555556,0.12311111111111113,0.11835555555555557
stackoverflow,0.25,single_centroid,0.0048000000000000004,0.11586666666666667,0.11106666666666667
stackoverflow,0.5,fixed_k2,0.012133333333333333,0.39039999999999997,0.37826666666666664
stackoverflow,0.5,mogb_minilm,0.08566666666666667,0.0002,-0.08546666666666666
stackoverflow,0.5,mogb_partition_ours_boundary,0.07506666666666667,0.0002666666666666667,-0.0748
stackoverflow,0.5,ours_partition_mogb_boundary,0.04493333333333333,0.10846666666666667,0.06353333333333333
stackoverflow,0.5,random_partition,0.018,0.23440000000000003,0.21640000000000004
stackoverflow,0.5,single_centroid,0.019933333333333334,0.22360000000000002,0.2036666666666667
stackoverflow,0.75,fixed_k2,0.0076,0.5362666666666667,0.5286666666666666
stackoverflow,0.75,mogb_minilm,0.08159999999999999,0.0002666666666666667,-0.08133333333333333
stackoverflow,0.75,mogb_partition_ours_boundary,0.07093333333333333,0.0009333333333333332,-0.07
stackoverflow,0.75,ours_partition_mogb_boundary,0.037066666666666664,0.18280000000000002,0.14573333333333335
stackoverflow,0.75,random_partition,0.017733333333333334,0.2753333333333333,0.2576
stackoverflow,0.75,single_centroid,0.018,0.25826666666666664,0.24026666666666666
