dataset,dataset_label,method,method_label,oos_f1,oos_f1_std,false_accept_rate,false_accept_rate_std,auroc,aupr_oos,n_seeds
banking77_oos,BANKING77-OOS,frozen_k1,Frozen,0.8482265965039684,0.014431358608591193,0.23658008658008658,0.026504989659781545,0.9113760822510822,0.9679501153977047,3
banking77_oos,BANKING77-OOS,trainable_k1,Trainable,0.8847079648636532,0.00821463157436754,0.16926406926406926,0.013372262139461877,0.9154129870129871,0.9700221565102373,3
clinc150,CLINC150,frozen_k1,Frozen,0.8802432322955465,0.010028835864058769,0.07056410256410256,0.015410235078273557,0.9044940398860399,0.9046398779868293,3
clinc150,CLINC150,trainable_k1,Trainable,0.8949743271714657,0.008373197208995356,0.04112820512820513,0.011120994946478736,0.9406843076923077,0.9497844989239953,3
stackoverflow,StackOverflow,frozen_k1,Frozen,0.790219571500888,0.04629012460496893,0.23524784468946938,0.07721924532082375,0.8874806332767604,0.8432651842041944,3
stackoverflow,StackOverflow,trainable_k1,Trainable,0.8878386146524718,0.027055702773237895,0.0709969882676667,0.04873708505204509,0.9321274898560657,0.9057165384361504,3
