dataset,seed,sample_id,oos_source,transition,frozen_distance,trainable_distance,delta_distance,frozen_radius,trainable_radius,delta_radius,frozen_score,trainable_score,delta_score,score_distance_contribution,score_radius_contribution
clinc150,13,798a567ba4d96c57a7fbd03c092ed7ec7cf1525453604fc0f27acde7047b0a99,test,both_correct,23.488274570461787,26.789645381712003,3.301370811250216,20.37097126758731,20.796193626813576,0.4252223592262645,1.1530267389770699,1.2881994591149972,0.13517272013792736,0.16206251375471226,-0.026889793616784896
clinc150,13,9e04c4cac53f01ad8d847a857384eb21adf29f40ba2447020f3299be4d4e03fb,test,both_correct,23.831835664387945,27.572272397737787,3.740436733349842,20.37097126758731,22.2151306001001,1.8441593325127883,1.1698919679056878,1.2411483368733178,0.07125636896762999,0.18361602322326842,-0.11235965425563843
clinc150,13,835522b6520230e030f890aa8cc25c1e8c0e8282106566c33eca9f9734c1eeb6,test,both_correct,23.391811237704438,26.98048742092408,3.5886761832196434,20.37097126758731,20.796193626813576,0.4252223592262645,1.148291405963723,1.2973762364924697,0.14908483052874666,0.1761661796131273,-0.027081349084380646
clinc150,13,994d9614ef3312b3d2a0a73446f6095fccb3800989d56a0272c1ae992d5529a9,test,both_correct,23.739583586696885,27.364098280197545,3.624514693500661,20.37097126758731,20.796193626813576,0.4252223592262645,1.165363363133767,1.3158224418970421,0.15045907876327513,0.17792547276661774,-0.02746639400334261
clinc150,13,0a2baf1c0c9acaf0723649e8d233bfd947c06dc5d21175774886810f49315e65,test,both_correct,23.41077277466237,26.92617065878493,3.51539788412256,20.37097126758731,20.796193626813576,0.4252223592262645,1.1492222175931175,1.2947643757301657,0.14554215813704818,0.17256898740591642,-0.027026829268868235
clinc150,13,21bf1893e80d7b2a72d487b4c231a9c08f34abd22d957d4c7376fb21f67ba4f7,test,both_correct,23.29028141791473,26.704380018130138,3.4140986002154072,20.37097126758731,20.796193626813576,0.4252223592262645,1.1433073618326877,1.2840994124856984,0.1407920506530107,0.16759626015710172,-0.026804209504091014
clinc150,13,dd8115dc47b7e10192d66415571c1cce0dd7b87cafffce6778b2266007af48ea,test,both_correct,23.300645439428475,27.321049104569283,4.020403665140808,20.37097126758731,20.796193626813576,0.4252223592262645,1.1438161260628075,1.3137523911752238,0.16993626511241633,0.19735944900858793,-0.0274231838961716
clinc150,13,e1b863334a42ee8ad43f4f475f854ccc258d3ad63445b270f9f50e72298c2b0b,test,both_correct,23.265260510661207,26.600306520708497,3.3350460100472894,20.37097126758731,20.796193626813576,0.4252223592262645,1.1420790989813558,1.2790949631480344,0.13701586416667855,0.16371561111343547,-0.02669974694675692
clinc150,13,d9a772e8423b50c6c8fac44fac02007d125709c000e9b4fa482bf24267916077,test,both_correct,23.518243589663488,27.398992830368222,3.880749240704734,20.37097126758731,21.452411170214074,1.0814399026267623,1.1544979019770092,1.2771987546281403,0.12270085265113106,0.19050388858382417,-0.0678030359326931
clinc150,13,94dbff642a93e00e28769b6c0132a5e2009ae73b4d03033e97e047be7e991eb8,test,both_correct,23.33857915524149,27.33360100593655,3.9950218506950606,20.37097126758731,20.796193626813576,0.4252223592262645,1.1456782717265919,1.3143559584237554,0.16867768669716354,0.19611346941771135,-0.027435782720547808
clinc150,13,8b22208dd108fa894d7c4ec65541fc7f07d7ae021ed11ccfc41ccdb21d987ca5,test,both_correct,23.998377485417933,28.054929001986036,4.056551516568103,20.37097126758731,20.796193626813576,0.4252223592262645,1.1780674161375047,1.349041536419117,0.1709741202816124,0.1991339275522208,-0.028159807270608406
clinc150,13,0f5ab84bb33bc963b6ba07a2ec9826c70aa0d279b1929fad9a5b3d98dae69187,test,both_correct,23.13092902958809,27.51978663023812,4.388857600650031,22.99696486284927,23.044615304485244,0.047650441635973095,1.0058252977094047,1.194195965809065,0.1883706680996604,0.19084508007141698,-0.002474411971756574
clinc150,13,7510e6b08d958627693ef15e29b0f162bbc7668a9a8880831a5eb9831985857b,test,both_correct,23.49768813669014,27.622366121240738,4.124677984550598,22.99696486284927,23.044615304485244,0.047650441635973095,1.021773450402134,1.1986473089817433,0.17687385857960924,0.17935749387580535,-0.0024836352961961072
clinc150,13,49d17b295e557a36e2aed8c7419d3596f7ab04c79a4d417f5239f4e28b10b9e8,test,both_correct,23.51469928964836,26.110005993604332,2.5953067039559734,22.99696486284927,22.2151306001001,-0.7818342627491717,1.022513163362504,1.1753253430563528,0.15281217969384886,0.11285431444688565,0.03995786524696321
clinc150,13,7e9a7261c0db3d5022e35a172a6ff11e11b8e6a83809ec32815e7148c37a4611,test,both_correct,23.280371947718933,26.43672577035917,3.156353822640238,22.99696486284927,22.2151306001001,-0.7818342627491717,1.012323673430814,1.1900324263788056,0.1777087529479915,0.13725088686547537,0.040457866082516114
clinc150,13,88393fa2a1c4c119ab4283479f4904280db9e7b6aaad30c900f782bad4234fa2,test,both_correct,24.09500466294537,27.840520019691688,3.745515356746317,20.37097126758731,20.796193626813576,0.4252223592262645,1.1828107922023066,1.3387315255516523,0.15592073334934575,0.1838653301085298,-0.027944596759184037
clinc150,13,f8dfb0d8fdb55c9b4af484d6038b86e367e471eafe6a0693c646b12a0eaf65eb,test,both_correct,23.300443835525947,26.45826022613413,3.1578163906081826,20.37097126758731,20.796193626813576,0.4252223592262645,1.1438062294358926,1.2722645644162578,0.12845833498036519,0.15501550461821378,-0.0265571696378486
clinc150,13,63f732a0b86c01b42b1fb6dd4997c914fffa11a83e450e00a48c05b9ea55966c,test,both_correct,23.933479699554727,27.46902346410587,3.535543764551143,20.37097126758731,20.796193626813576,0.4252223592262645,1.174881618808024,1.320867845194934,0.14598622638691006,0.17355793781794904,-0.02757171143103898
clinc150,13,88bdba4662620b18197b0c0e9b30e4d10936ec3b174466a9c98da6dd4ca055a6,test,both_correct,24.183962348143545,28.522860396544115,4.338898048400569,20.37097126758731,20.796193626813576,0.4252223592262645,1.18717767702236,1.3715423557014856,0.18436467867912554,0.2129941666210231,-0.02862948794189757
clinc150,13,7f23bfed3dd9c268cc6361b44bfde9a76bcd1284daa31d6ac40c8d485807b2b4,test,both_correct,24.07142194181632,27.674431097518553,3.6030091557022352,20.37097126758731,20.796193626813576,0.4252223592262645,1.1816531291326728,1.3307450196961295,0.14909189056345662,0.17686977750712662,-0.027777886943670005
