run_id,dataset,kir,seed,representation,k_gate,distance,boundary,oos_precision,oos_recall,oos_f1,id_recall,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,scoring_seconds,samples_per_second,peak_rss_kib,effective_cluster_count,minimum_cluster_size,run_relative_path,manifest_sha256
protocol_v2__banking77__kir_0.30__seed_0__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,0,frozen_minilm,5,mahalanobis_diag,mean_std,0.8850674793208533,0.9412037037037037,0.912272829257348,0.7130434782608696,0.9047891505636072,0.9414665764687404,0.3184782608695652,0.0587962962962963,0.28695652173913044,1.2246365048922598,2515.032001492533,1702608,115,1,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_0__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,115f91c57ae7721da335d6700defbb5dd4762468ab9c211c81c45688b8ef29ac
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,banking77,0.30,1,frozen_minilm,1,euclidean,mean_std,0.928030303030303,0.7939814814814815,0.8557884231536926,0.8554347826086957,0.9004292471819646,0.9429739988998468,0.38913043478260867,0.20601851851851852,0.14456521739130435,0.11993221403099597,25681.173526939037,1702608,23,55,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,a5aa1f47975da62dfd923246fdebf8448f0f1855e8f963f062fe7e54e28e6a24
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,1,frozen_minilm,1,mahalanobis_diag,mean_std,0.9252525252525252,0.8481481481481481,0.885024154589372,0.8391304347826087,0.9162147745571658,0.9544741586774834,0.35434782608695653,0.15185185185185185,0.1608695652173913,0.21260971704032272,14486.637971564862,1702608,23,55,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,9067c6681c5c729f982e7e7a127735fa0f1c1ad9c4b196958adcf3add7ccfdf7
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,banking77,0.30,1,frozen_minilm,2,euclidean,mean_std,0.9142259414225942,0.8092592592592592,0.8585461689587426,0.8217391304347826,0.8968911030595814,0.9429180744602839,0.39891304347826084,0.19074074074074074,0.1782608695652174,0.34546496300026774,8915.520616768343,1702608,46,9,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,66e63704b8e352f5de1f7c18f65dd9c7b1d0bebb680759fd91e8638b3d693d5b
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,1,frozen_minilm,2,mahalanobis_diag,mean_std,0.9206185567010309,0.8268518518518518,0.871219512195122,0.8326086956521739,0.9031919283413848,0.9432374866518429,0.3467391304347826,0.17314814814814813,0.1673913043478261,0.47819036699365824,6440.949489141104,1702608,46,9,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,f7ae130aaf57075e1da7fac05c3c869aa086edeb61807f650a56ce5f78e39f46
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,banking77,0.30,1,frozen_minilm,3,euclidean,mean_std,0.9088632949424136,0.8402777777777778,0.8732258840509983,0.8021739130434783,0.9005002012882448,0.9443022033260973,0.36630434782608695,0.1597222222222222,0.19782608695652174,0.3661232709418982,8412.467178271165,1702608,69,8,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,3d09c31fd9acf599a9474e815b0b12c870f7a8670ed30c1f0418603447ee02ba
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,1,frozen_minilm,3,mahalanobis_diag,mean_std,0.9092673459485686,0.8675925925925926,0.8879412461502014,0.7967391304347826,0.904646235909823,0.9458192118867985,0.3391304347826087,0.13240740740740742,0.20326086956521738,0.652849442907609,4717.779931438005,1702608,69,8,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,615055a4eab1e7f9352e2028803a5048106b4b206d00429fd3fd0515603b7d03
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,banking77,0.30,1,frozen_minilm,4,euclidean,mean_std,0.9047169811320754,0.887962962962963,0.8962616822429906,0.7804347826086957,0.9069283413848631,0.9458163830466617,0.33043478260869563,0.11203703703703703,0.21956521739130436,0.434048646944575,7095.978807171111,1702608,92,6,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,8e4997fcf1d2bf73f2b3a394888b8969c0f819d07b1e16611a95eea3eabd7050
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,1,frozen_minilm,4,mahalanobis_diag,mean_std,0.8957219251336899,0.9305555555555556,0.9128065395095368,0.7456521739130435,0.9203824476650564,0.9542465322991149,0.28695652173913044,0.06944444444444445,0.2543478260869565,0.8367681109812111,3680.8286066116098,1702608,92,6,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,9ab61324dda57237302a405150b53d5b0e2f4f1857f9a1c1e9e387833541c6d1
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,banking77,0.30,1,frozen_minilm,5,euclidean,mean_std,0.9013308857273978,0.9092592592592592,0.9052777137589306,0.7663043478260869,0.9115786030595814,0.9490084039079115,0.33369565217391306,0.09074074074074075,0.23369565217391305,0.661421112017706,4656.6399893167445,1702608,115,3,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,2153f206897ec716f8bba6a8fd4c04c3d30dbb940af45bb11621640fe021566a
protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,banking77,0.30,1,frozen_minilm,5,mahalanobis_diag,mean_std,0.8833619210977701,0.9537037037037037,0.9171861086375779,0.7043478260869565,0.9250508252818036,0.9594988214987235,0.2891304347826087,0.046296296296296294,0.2956521739130435,1.0722588619682938,2872.4407036806324,1702608,115,3,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_1__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,1483289a99c88b329d11291f51e572c8aa04bc538354a62f8c2660df2f520569
protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,banking77,0.30,2,frozen_minilm,1,euclidean,mean_std,0.925249169435216,0.7736111111111111,0.8426626323751891,0.8532608695652174,0.8923138083735911,0.9440713242673626,0.4467391304347826,0.2263888888888889,0.14673913043478262,0.10169986297842115,30285.193212635102,1702608,23,32,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__banking77__kir_0.30__seed_2__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,7f4d0fdb9d1e83d0c89a2bf03cd2789ccf9f4d5d4bd776cad579a36c1c32dc6e
