dataset,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
banking77,frozen_minilm,1,euclidean,mean_std,110,0.7584911635631574,0.20574511094852968,0.69778719093272,0.12363766650230389,0.7214479296713823,0.1622656733192573,0.8561972082794242,0.014759266586749696,0.8712079437163429,0.040133888155088206,0.7725382950307047,0.2069187964270826,0.4370723600573879,0.1009157037547239,0.30221280906728,0.1236376665023039,0.14380279172057572,0.014759266586749696,0.18486043286022985,0.09206473822049335,23544.198407480315,16339.11794692333,1702608.0,0.0,38.45454545454545,19.90511269145148,45.736363636363635,19.90835759805104
banking77,frozen_minilm,1,mahalanobis_diag,mean_std,110,0.7687372227601936,0.19631153563295867,0.7806683077502203,0.09753688350664086,0.7679947065364042,0.15066540808915302,0.8457816015725438,0.014535629732604548,0.8900646784248486,0.03586656283459384,0.7956543366519557,0.19385799629590905,0.3969723695724894,0.10731065867106981,0.21933169224977964,0.09753688350664086,0.1542183984274562,0.01453562973260455,0.3966732356178744,0.21575667504212964,11967.19532600966,9740.807381453169,1702608.0,0.0,38.45454545454545,19.90511269145148,45.736363636363635,19.90835759805104
banking77,frozen_minilm,2,euclidean,mean_std,110,0.7398070893181364,0.21361233975401137,0.7447203449644213,0.09947064173344267,0.7332891693898154,0.16143698517947444,0.8233316402643759,0.014145724278387407,0.8725490329044947,0.03647445940255073,0.7756865333261042,0.20377398686752274,0.4316837312959339,0.10482524902603119,0.2552796550355787,0.09947064173344267,0.17666835973562411,0.014145724278387407,0.4472829758210785,0.2189414691251878,9517.640033142809,6547.068304498369,1702608.0,0.0,76.9090909090909,39.81022538290296,10.845454545454546,4.979197760879922
banking77,frozen_minilm,2,mahalanobis_diag,mean_std,110,0.7463266364232124,0.20635662547948427,0.7927622823839148,0.09485227386485594,0.7597705646392361,0.1581712242550895,0.8161428680322724,0.017903305026671708,0.8864565599248891,0.0343715584914748,0.790386229335055,0.195116280380286,0.38969900215373526,0.10585546388698842,0.2072377176160852,0.09485227386485594,0.18385713196772763,0.017903305026671708,0.8238974130574868,0.39667122063455523,5212.004049859588,3580.7433369524533,1702608.0,0.0,76.9090909090909,39.81022538290296,10.845454545454546,4.979197760879922
banking77,frozen_minilm,3,euclidean,mean_std,110,0.7393585020265415,0.21071603278911405,0.7870081541100465,0.08362765147764967,0.7519623238826952,0.1570005103943636,0.8096260815460117,0.01447469116583925,0.8817348951184867,0.033298497439562015,0.7935313532931463,0.1886960310519924,0.4123609052451874,0.09724515440115832,0.21299184588995348,0.08362765147764967,0.19037391845398835,0.014474691165839248,0.624005137605127,0.28498472045188394,6823.4532776016595,4909.7200197038665,1702608.0,0.0,115.36363636363636,59.71533807435444,8.481818181818182,2.4107245786613207
banking77,frozen_minilm,3,mahalanobis_diag,mean_std,110,0.7356681674480745,0.20894222091535905,0.8380558947326877,0.07720920456451012,0.7717908552991847,0.15837597081081203,0.7879718353087223,0.01994924199598184,0.8878366632521363,0.032252896451316244,0.7897478419106669,0.19345554252577832,0.38101566579804114,0.0975072948941287,0.16194410526731223,0.07720920456451012,0.2120281646912777,0.019949241995981845,1.207294273641045,0.5883324946855026,3657.310116245094,2696.388883847728,1702608.0,0.0,115.36363636363636,59.71533807435444,8.481818181818182,2.4107245786613207
banking77,frozen_minilm,4,euclidean,mean_std,110,0.7313997775163658,0.2145914996126683,0.8208014160870212,0.076408462454504,0.7616473329406089,0.16156180628961633,0.7900847095027455,0.015415966792115137,0.8826635924084707,0.033066487412467004,0.7903012126616258,0.19192394828724513,0.40228363318190846,0.09853043837862566,0.1791985839129788,0.076408462454504,0.2099152904972545,0.015415966792115142,0.7998382084569047,0.38183845180334974,5397.127413019998,3699.0416680524813,1702608.0,0.0,153.8181818181818,79.62045076580593,3.2363636363636363,2.2460047004095705
banking77,frozen_minilm,4,mahalanobis_diag,mean_std,110,0.7214463355664671,0.21505433368778676,0.8774925467478498,0.058328131569217595,0.7775937558522131,0.16380178518009847,0.7558759219330715,0.018805454671333464,0.8910438821748998,0.03136856854271032,0.7942078564027817,0.18922243008594486,0.37082431667070204,0.1022521501995288,0.12250745325215019,0.0583281315692176,0.24412407806692854,0.01880545467133346,1.566732244651807,0.7888475824982147,2892.9559197181998,2157.4191625512217,1702608.0,0.0,153.8181818181818,79.62045076580593,3.2363636363636363,2.2460047004095705
banking77,frozen_minilm,5,euclidean,mean_std,110,0.7261745601704801,0.2163336275546906,0.8485205114770326,0.06628125902282678,0.7694209389304931,0.16391084330917996,0.7738783857399257,0.015585919530338593,0.8869946932120595,0.03089746883933731,0.7879738798851401,0.19572778480669553,0.3870920457656519,0.09311727476834725,0.15147948852296741,0.06628125902282678,0.22612161426007427,0.015585919530338593,0.9915265334918248,0.4890803201078916,4464.52404449641,3203.6942106819706,1702608.0,0.0,192.27272727272728,99.5255634572574,2.018181818181818,1.5324132085923245
banking77,frozen_minilm,5,mahalanobis_diag,mean_std,110,0.7037819417297869,0.22177308077107558,0.9095539025374361,0.045935121838189756,0.7764778984773978,0.1721625668990129,0.7152418814205509,0.019941104146629963,0.8937295386868599,0.030360791064823155,0.7926885107013764,0.1956100678885888,0.3611108368081912,0.09553060665275805,0.09044609746256392,0.045935121838189756,0.2847581185794491,0.019941104146629956,1.9404813861707226,0.9937885489238321,2388.502717250507,1870.2195099736205,1702608.0,0.0,192.27272727272728,99.5255634572574,2.018181818181818,1.5324132085923245
