dataset,kir,method,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,n_seeds,method_label,pareto_frontier,dominated_by
banking77,0.25,fixed_k2,0.8577784166123713,0.03175919520536074,0.7109974813224451,0.022029938729008988,0.8189473684210526,0.019771898690801946,0.20327586206896547,0.05330347459857209,5,Frozen K=2,True,
banking77,0.25,mogb_minilm,0.9029919725157672,0.004345545482740943,0.5587572321670984,0.029774536226248104,0.3997368421052631,0.022626223356528193,0.01499999999999994,0.0064106870491649265,5,MOGB-MiniLM,True,
banking77,0.25,mogb_partition_ours_boundary,0.9205598966754222,0.004509605546132505,0.7114966831111289,0.03032860301737084,0.616842105263158,0.03248961052773283,0.0401724137931034,0.0047354979196455845,5,MOGB part. + S2C bound.,True,
banking77,0.25,ours_partition_mogb_boundary,0.9067732430505278,0.009602934276313787,0.6549065911705718,0.019568953029171277,0.5386842105263158,0.01921683385995492,0.0450862068965517,0.01866085626332246,5,S2C part. + MOGB bound.,False,mogb_partition_ours_boundary
banking77,0.25,random_partition,0.8500483735063608,0.02443395835719756,0.693146655424499,0.027109730408082476,0.8473684210526315,0.008217102629471576,0.2231034482758621,0.04080578657002089,5,Random K=2,True,
banking77,0.25,single_centroid,0.8517237093485583,0.025265382256290114,0.6928544335841691,0.030262672116638623,0.8389473684210526,0.008757663838049344,0.21836206896551724,0.04175209237389305,5,Frozen K=1,True,
banking77,0.25,trainable_k1,0.9165382964914104,0.017976090268549384,0.7851015718978599,0.02562200500192768,0.8184210526315789,0.007784315504078432,0.10327586206896547,0.033607700850852316,5,Trainable K=1,True,
banking77,0.5,fixed_k2,0.7546157036165422,0.02152853677583116,0.7616393362174011,0.010872629981106366,0.8255263157894737,0.007030552635469753,0.2905128205128205,0.03548121800378637,5,Frozen K=2,True,
banking77,0.5,mogb_minilm,0.7499368546965275,0.006406834213942418,0.48600815327809965,0.02507951184173857,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454608,5,MOGB-MiniLM,True,
banking77,0.5,mogb_partition_ours_boundary,0.7939747596576892,0.007797331809627128,0.6480972658162543,0.019765373642870485,0.5218421052631579,0.020199618424305323,0.03499999999999994,0.008702380518741112,5,MOGB part. + S2C bound.,True,
banking77,0.5,ours_partition_mogb_boundary,0.7885946611939285,0.008579758994922679,0.656780700176241,0.008903644780417778,0.5325,0.012154149001478381,0.05243589743589738,0.01632666007056647,5,S2C part. + MOGB bound.,True,
banking77,0.5,random_partition,0.7162208519261768,0.026683360105673216,0.7472005675171391,0.01685606972589213,0.8596052631578948,0.00729047114589217,0.365,0.04076086432457639,5,Random K=2,True,
banking77,0.5,single_centroid,0.7242801509490058,0.027673309741623107,0.7451394438761987,0.01657860767276433,0.8501315789473685,0.01050985555142944,0.34846153846153843,0.04361471758183914,5,Frozen K=1,True,
banking77,0.5,trainable_k1,0.8356406184886493,0.01825114454581141,0.8167355797722488,0.010483055215298541,0.8221052631578948,0.004803082170643177,0.15743589743589742,0.034346055742052295,5,Trainable K=1,True,
banking77,0.75,fixed_k2,0.5931096142882415,0.025728699487870366,0.802629197197889,0.007806121199534476,0.8313793103448276,0.0037502477127855658,0.3607894736842105,0.040205927678622376,5,Frozen K=2,True,
banking77,0.75,mogb_minilm,0.4763444315858617,0.0041037737354307265,0.42392825044969384,0.016952957950860666,0.2876724137931034,0.012201397797159093,0.00763157894736838,0.003767847648230625,5,MOGB-MiniLM,True,
banking77,0.75,mogb_partition_ours_boundary,0.5313316683894659,0.005918725520325323,0.5860713489392462,0.023848313965377746,0.45862068965517244,0.024356308956183872,0.040526315789473646,0.019302232443044447,5,MOGB part. + S2C bound.,True,
banking77,0.75,ours_partition_mogb_boundary,0.5507101160126237,0.004786773839330919,0.6567440305693095,0.005721883039152488,0.535603448275862,0.005566856652056194,0.08131578947368416,0.011635626826018005,5,S2C part. + MOGB bound.,True,
banking77,0.75,random_partition,0.5337882516266328,0.04240542158941037,0.7889339625187208,0.007869675694657068,0.8727586206896552,0.005121879578452791,0.493157894736842,0.05563315986400823,5,Random K=2,True,
banking77,0.75,single_centroid,0.5366071713978288,0.04167218970527395,0.7821185401081376,0.008950034871067915,0.8641379310344828,0.005211775517307497,0.48,0.054517208648106365,5,Frozen K=1,True,
banking77,0.75,trainable_k1,0.6865343253584566,0.02708454008995989,0.8413111725848881,0.0077123704045817245,0.8241379310344827,0.004054932698755789,0.1960526315789473,0.0458076189092874,5,Trainable K=1,True,
clinc150,0.25,fixed_k2,0.9447183904938934,0.00798118696952838,0.7801346791980823,0.019606457333605467,0.7435087719298246,0.006523155243009901,0.04728070175438592,0.014850555949313596,5,Frozen K=2,True,
clinc150,0.25,mogb_minilm,0.9238361040438375,0.0029534277865939165,0.5224035964713533,0.032761230904904334,0.37105263157894736,0.026693200095970083,0.006578947368420999,0.0021764729431227024,5,MOGB-MiniLM,True,
clinc150,0.25,mogb_partition_ours_boundary,0.9413139384002536,0.004982739043635983,0.7016229766010627,0.03478368488471803,0.6017543859649124,0.04404784186583784,0.02236842105263154,0.006138392544858933,5,MOGB part. + S2C bound.,True,
clinc150,0.25,ours_partition_mogb_boundary,0.9263775447547195,0.003487826147523177,0.5666949810733997,0.018075093608092025,0.4189473684210526,0.013195851685011811,0.01179824561403504,0.005792546366957996,5,S2C part. + MOGB bound.,True,
clinc150,0.25,random_partition,0.9423997495237098,0.009448493371717824,0.7878036270153732,0.02544766217689709,0.7884210526315789,0.015769968459118745,0.06171052631578942,0.015022810193180875,5,Random K=2,True,
clinc150,0.25,single_centroid,0.9420722511346671,0.007409448841719788,0.7843899282129962,0.01877813960270395,0.7794736842105263,0.010555515057186928,0.06035087719298242,0.013202956464477715,5,Frozen K=1,True,
clinc150,0.25,trainable_k1,0.9516427437131567,0.006493831244298967,0.7968993956538231,0.019459710746000582,0.7363157894736843,0.008358687192681824,0.03236842105263154,0.011023527540387063,5,Trainable K=1,True,
clinc150,0.5,fixed_k2,0.892005798496586,0.00264522648221667,0.8009431390043901,0.009986593104864919,0.7513777777777777,0.01311901833123612,0.06440579710144924,0.005931060927178789,5,Frozen K=2,True,
clinc150,0.5,mogb_minilm,0.8131951016346013,0.0029937394053626406,0.44953800389890197,0.017795263450771055,0.3157333333333333,0.013693649965685421,0.00904347826086952,0.0015255301295003965,5,MOGB-MiniLM,True,
clinc150,0.5,mogb_partition_ours_boundary,0.8555543863002324,0.004191319483426528,0.645981713026754,0.02172674348257144,0.5334222222222222,0.018977309387922688,0.02498550724637676,0.0032497394592867087,5,MOGB part. + S2C bound.,True,
clinc150,0.5,ours_partition_mogb_boundary,0.8332324302971947,0.002951150958467956,0.5640931010016157,0.01571056844862137,0.42239999999999994,0.015060700228011441,0.01686956521739124,0.0026911291335501852,5,S2C part. + MOGB bound.,True,
clinc150,0.5,random_partition,0.8906911053121688,0.005027811945926702,0.8075070935100765,0.009318873313704169,0.7947555555555555,0.014258287605182454,0.08962318840579706,0.0035464333725641565,5,Random K=2,True,
clinc150,0.5,single_centroid,0.8894333056826393,0.005027522658010518,0.8026933913946113,0.010823184897063309,0.7875555555555556,0.013799266396675567,0.0881739130434782,0.0042173664026357825,5,Frozen K=1,True,
clinc150,0.5,trainable_k1,0.9043941395821135,0.004441963320551506,0.8181661694793956,0.00920341014264694,0.7444444444444445,0.0033847880470506474,0.036927536231884016,0.007571267501376492,5,Trainable K=1,True,
clinc150,0.75,fixed_k2,0.8150384507030115,0.00630494099801557,0.8143458841089413,0.0069015082992210436,0.7580357142857143,0.009493534468890832,0.0732478632478632,0.004952473369510488,5,Frozen K=2,True,
clinc150,0.75,mogb_minilm,0.6593154230507091,0.004187552090302015,0.4179709109786164,0.01552778390349888,0.29196428571428573,0.012156927538988137,0.00829059829059824,0.003359528890091204,5,MOGB-MiniLM,True,
clinc150,0.75,mogb_partition_ours_boundary,0.7197434059711283,0.0059448223178597435,0.5960139307329898,0.023306568462890812,0.4808928571428572,0.020381364384464945,0.018888888888888837,0.004288435454462243,5,MOGB part. + S2C bound.,True,
clinc150,0.75,ours_partition_mogb_boundary,0.7004044722488025,0.003855913011152742,0.5692900146575266,0.012163796573414345,0.4284523809523809,0.012483336398644535,0.018803418803418757,0.0028507829196851367,5,S2C part. + MOGB bound.,True,
clinc150,0.75,random_partition,0.8220513451445486,0.009384997678589673,0.823453472957717,0.008768990439803444,0.8004761904761905,0.00947392067216599,0.10222222222222217,0.00939879519714436,5,Random K=2,True,
clinc150,0.75,single_centroid,0.8174656812211403,0.007954970381519962,0.8174095805265577,0.0073057739131530556,0.7907142857142857,0.010045249099870967,0.101025641025641,0.005658158390654235,5,Frozen K=1,True,
clinc150,0.75,trainable_k1,0.828493223497581,0.005076623944875152,0.8291245798894671,0.007668826723022182,0.7511904761904762,0.008669352180731848,0.040170940170940125,0.003974588726012444,5,Trainable K=1,True,
stackoverflow,0.25,fixed_k2,0.8666146611474034,0.04798142689533388,0.767990693403829,0.0444941057534056,0.8521333333333333,0.015480453625279975,0.19471111111111106,0.0830995832765769,5,Frozen K=2,False,random_partition|single_centroid
stackoverflow,0.25,mogb_minilm,0.8944000569448456,0.005949655171098938,0.540703865522772,0.04633819785305139,0.3261333333333333,0.048486882533091163,0.00937777777777774,0.005384935548750563,5,MOGB-MiniLM,True,
stackoverflow,0.25,mogb_partition_ours_boundary,0.9259960799998362,0.005335538584498705,0.7345093038010513,0.039075792620303265,0.5910666666666666,0.050757812753856456,0.02031111111111104,0.012352437656162561,5,MOGB part. + S2C bound.,True,
stackoverflow,0.25,ours_partition_mogb_boundary,0.9063585472441907,0.015088858282761509,0.6905304844967872,0.035003180897006526,0.5414666666666667,0.02263919904354689,0.04435555555555554,0.02544158159537403,5,S2C part. + MOGB bound.,False,mogb_partition_ours_boundary|trainable_k1
