dataset,representation,effective_rank,relative_separation,collision_rate,k2_minus_k1_oos_f1,k2_minus_k1_id_recall,k2_minus_k1_false_accept_rate,k2_minus_k1_auroc,dataset_label,oos_delta_pp,known_recall_delta_pp,false_accept_delta_pp
banking77,ce,27.312016417361534,0.9141350853977572,,-0.0286761196253135,-0.0186666666666664,-0.045021645021645,-0.0214607142857141,Banking77,-2.86761196253135,-1.86666666666664,-4.5021645021645
banking77,frozen,70.99042100562009,0.5473852680041046,,0.0074900758745375,-0.0273333333333332,0.0182900432900432,-0.00292012987013,Banking77,0.7490075874537501,-2.73333333333332,1.82900432900432
banking77,supcon,40.15220102354394,0.7772437470519241,,-0.025995219757789,-0.039,-0.0344155844155844,-0.0227400432900432,Banking77,-2.5995219757789,-3.9,-3.44155844155844
clinc150,ce,63.06994474636235,0.9693718916121226,,-0.0027505751325905,-0.0174814814814816,0.004410256410256,-0.0061329686609685,CLINC150,-0.27505751325905003,-1.7481481481481602,0.4410256410256
clinc150,frozen,149.76737223022835,0.6611720383281986,,0.0004405160924975,-0.0367407407407407,0.020820512820513,-0.0001498803418806,CLINC150,0.044051609249750004,-3.67407407407407,2.0820512820513
clinc150,supcon,86.56043299957959,0.8318106993599038,,-0.0039194678579427,-0.0282962962962962,0.0082051282051284,-0.0037677948717947,CLINC150,-0.39194678579427,-2.82962962962962,0.8205128205128399
stackoverflow,ce,12.341983803933358,0.9483638294999828,,-0.146941807987217,0.0811526321224487,-0.2431064594820976,-0.0141060199830095,StackOverflow,-14.694180798721701,8.115263212244871,-24.31064594820976
stackoverflow,frozen,148.00977909443554,0.4245644645712796,,-0.0622364210331589,0.0402969226991599,-0.1153801933086359,-0.0134390213663561,StackOverflow,-6.22364210331589,4.02969226991599,-11.53801933086359
stackoverflow,supcon,15.554317173891649,0.9088589585580156,,-0.1773996249721232,0.0972943614805695,-0.3334758728906319,-0.0361274780168915,StackOverflow,-17.739962497212318,9.72943614805695,-33.34758728906319
