dataset,representation,oos_f1,f1_all,known_recall,false_accept_rate,auroc,aupr_oos,score_gap_median_oos_minus_known,known_accepted_rate,oos_accepted_rate,dataset_label,representation_label,score_gap_pp,false_accept_pp
banking77,frozen,0.7884855089381205,,0.8426315789473684,0.2488461538461538,0.8737626518218624,0.8512983050217497,0.2585722360798741,0.8426315789473684,0.2488461538461538,Banking77,Frozen,0.2585722360798741,24.88461538461538
banking77,trainable,0.8356406184886493,0.8167355797722488,0.8221052631578948,0.1574358974358974,0.9014173414304992,0.8863032438146086,0.3337590580002287,0.8221052631578948,0.1574358974358974,Banking77,Trainable,0.3337590580002287,15.74358974358974
clinc150,frozen,0.893220368395799,,0.7581333333333333,0.0656811594202898,0.9278020225442832,0.9397768300972114,0.2580104756313296,0.7581333333333333,0.0656811594202898,CLINC150,Frozen,0.2580104756313296,6.568115942028981
clinc150,trainable,0.9043941395821136,0.8181661694793956,0.7444444444444445,0.036927536231884,0.953267375201288,0.9649131913639692,0.4380667333770196,0.7444444444444445,0.036927536231884,CLINC150,Trainable,0.4380667333770196,3.6927536231884
stackoverflow,frozen,0.7812258420202773,,0.8346666666666668,0.2502666666666666,0.8826348888888889,0.8472932270265027,0.1154631167299891,0.8346666666666666,0.2502666666666666,StackOverflow,Frozen,0.1154631167299891,25.026666666666657
stackoverflow,trainable,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.0933999999999999,0.9235181333333332,0.8935448620562013,0.4337291276940045,0.8389333333333333,0.0933999999999999,StackOverflow,Trainable,0.4337291276940045,9.33999999999999
