dataset,kir,n_known_mean,n_oos_mean,net_known_correct_gain_mean,net_known_correct_gain_std,net_oos_correct_gain_mean,net_oos_correct_gain_std,known_trainable_recovers_mogb_reject_mean,known_trainable_fixes_mogb_wrong_mean,known_mogb_recovers_trainable_reject_mean,known_mogb_fixes_trainable_wrong_mean,trainable_f1_all_mean,mogb_f1_all_mean,f1_all_delta_mean,f1_all_delta_std,n_seeds,net_known_correct_gain_rate,net_oos_correct_gain_rate,kir_label,f1_all_delta_pp,net_known_gain_pp,net_oos_gain_pp,known_recovery_rate_pp,known_wrong_fix_rate_pp
banking77,0.25,760.0,2320.0,312.8,15.006665185843255,-204.8,72.53068316236929,314.8,0.0,2.0,0.0,0.7851015718978599,0.5587572321670984,0.2263443397307614,0.031336586339136,5,0.411578947368421,-0.0882758620689655,0.25,22.634433973076142,41.157894736842096,-8.82758620689655,41.421052631578945,0.0
banking77,0.5,1520.0,1560.0,710.8,24.78305872970486,-228.6,46.48978382397578,713.8,0.4,3.4,0.0,0.8167355797722488,0.4860081532780996,0.3307274264941491,0.0234723961013788,5,0.4676315789473684,-0.1465384615384615,0.50,33.07274264941491,46.76315789473684,-14.65384615384615,46.96052631578947,0.02631578947368421
banking77,0.75,2320.0,760.0,1181.0,26.504716561397142,-143.2,34.33220062856444,1187.6,0.2,6.2,0.6,0.8413111725848881,0.4239282504496938,0.417382922135194,0.0183861447787454,5,0.509051724137931,-0.1884210526315789,0.75,41.7382922135194,50.905172413793096,-18.84210526315789,51.18965517241379,0.008620689655172414
clinc150,0.25,1140.0,4560.0,413.8,26.376125568399925,-117.6,44.92549387597202,417.2,0.0,3.4,0.0,0.7968993956538231,0.5224035964713533,0.2744957991824699,0.0269480885327556,5,0.3629824561403509,-0.0257894736842105,0.25,27.44957991824699,36.29824561403509,-2.57894736842105,36.59649122807018,0.0
clinc150,0.5,2250.0,3450.0,949.0,24.2074368738204,-96.2,26.20496136230695,953.8,1.0,5.4,0.4,0.8181661694793956,0.4495380038989019,0.3686281655804936,0.0114096934691701,5,0.4217777777777777,-0.0278840579710144,0.50,36.86281655804936,42.17777777777777,-2.78840579710144,42.39111111111111,0.044444444444444446
clinc150,0.75,3360.0,2340.0,1513.4,20.767763480933645,-74.6,10.23718711365578,1520.6,2.6,9.2,0.6,0.8291245798894671,0.4179709109786164,0.4111536689108506,0.0107161166332976,5,0.4504166666666667,-0.0318803418803418,0.75,41.11536689108506,45.04166666666667,-3.18803418803418,45.25595238095238,0.07738095238095238
stackoverflow,0.25,1500.0,4500.0,767.8,72.43410798788095,-131.0,87.75819050094412,768.4,0.2,0.6,0.2,0.8763726851882934,0.540703865522772,0.3356688196655213,0.0513545133657352,5,0.5118666666666666,-0.0291111111111111,0.25,33.56688196655213,51.18666666666666,-2.91111111111111,51.22666666666667,0.013333333333333334
stackoverflow,0.5,3000.0,3000.0,1681.8,84.0458208360178,-256.4,90.43671820671072,1681.0,2.2,0.6,0.8,0.8655077750537565,0.4329803937892986,0.4325273812644579,0.0426743467142884,5,0.5606,-0.0854666666666666,0.50,43.25273812644579,56.06,-8.54666666666666,56.03333333333333,0.07333333333333333
stackoverflow,0.75,4500.0,1500.0,2755.2,98.199796333801,-122.0,83.39364484179835,2752.8,5.2,0.8,2.0,0.87280021593395,0.3309323231180784,0.5418678928158714,0.0259189559307067,5,0.6122666666666666,-0.0813333333333333,0.75,54.186789281587146,61.22666666666666,-8.13333333333333,61.17333333333333,0.11555555555555555
