dataset,seed,corrected_count,distance_contribution_mean,radius_contribution_mean,total_delta_score_mean,total_delta_score_median,closure_error
banking77_oos,13,314,0.06871209161355081,0.02879106010649095,0.09750315172004176,0.09633438102860914,0.0
banking77_oos,42,193,0.07290204528347496,0.013681191479944222,0.0865832367634192,0.08705559433725929,1.3877787807814457e-17
banking77_oos,87,299,0.07721391748001624,0.033870473322663325,0.11108439080267958,0.114788517507043,1.3877787807814457e-17
clinc150,13,135,0.12127672124347073,-0.010957261579673857,0.11031945966379687,0.10609420827108151,0.0
clinc150,42,118,0.20145116120391318,-0.036421332838169174,0.16502982836574398,0.1574046135624112,2.7755575615628914e-17
clinc150,87,88,0.10843105951521781,-0.01093981601931638,0.09749124349590144,0.09205192604140444,0.0
stackoverflow,13,712,0.29865485740754766,-0.1295405230288882,0.16911433437865944,0.16638339061500934,2.7755575615628914e-17
stackoverflow,42,390,0.500523617938972,-0.22290914700466596,0.2776144709343061,0.272881130924134,0.0
stackoverflow,87,642,0.47847279021643935,-0.21793535597533786,0.26053743424110143,0.2469851719834908,5.551115123125783e-17
