dataset,seed,method,bin_center,density,n_oos,display_max,overflow_in_last_bin
clinc150,13,frozen_k1,0.011735004427038597,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.03520501328111579,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.05867502213519299,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.08214503098927017,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.10561503984334739,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.12908504869742457,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.15255505755150178,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.17602506640557897,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.19949507525965615,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.22296508411373334,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.24643509296781055,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.26990510182188776,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.2933751106759649,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.31684511953004213,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.34031512838411937,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.3637851372381965,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.38725514609227374,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.41072515494635087,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.4341951638004281,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.45766517265450535,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.4811351815085825,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.5046051903626597,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.528075199216737,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.5515452080708141,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.5750152169248912,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.5984852257789685,0.0,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.6219552346330457,0.001456668994059418,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.6454252434871228,0.004370006982178247,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.6688952523412001,0.008740013964356494,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.6923652611952773,0.010196682958415904,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.7158352700493544,0.010196682958415904,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.7393052789034316,0.008740013964356487,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.7627752877575089,0.017480027928712952,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.786245296611586,0.03641672485148535,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.8097153054656632,0.07137678070891126,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.8331853143197404,0.10779350556039659,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.8566553231738177,0.16314692733465433,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.8801253320278948,0.24617705999604086,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.903595340881972,0.383103945437626,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.9270653497360493,0.5433375347841616,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.9505353585901264,0.7370745109940634,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.9740053674442035,0.9249848112277272,3250,1.572490593223172,0
clinc150,13,frozen_k1,0.9974753762982809,1.1682485332356503,3250,1.572490593223172,0
clinc150,13,frozen_k1,1.020945385152358,1.3925755583207997,3250,1.572490593223172,0
