dataset,kir,seed,frozen_k1,trainable_k1,delta_oos_f1_pp,positive
banking77_oos,0.25,13,0.9249815770081061,0.9271873165002936,0.22057394921874973,True
banking77_oos,0.25,42,0.9113322441705035,0.9359492210040392,2.4616976833535698,True
banking77_oos,0.25,87,0.911025716819391,0.9142099056603774,0.31841888409863683,True
banking77_oos,0.5,13,0.8329039381670961,0.8840529247910863,5.114898662399026,True
banking77_oos,0.5,42,0.8615603341034299,0.8768404642300364,1.528013012660645,True
banking77_oos,0.5,87,0.8502155172413793,0.8932305055698372,4.301498832845785,True
banking77_oos,0.75,13,0.828695652173913,0.8698334361505243,4.113778397661127,True
banking77_oos,0.75,42,0.8597228055438891,0.8681790312691601,0.8456225725270938,True
banking77_oos,0.75,87,0.81808349556565,0.860135551447936,4.2052055882285995,True
clinc150,0.25,13,0.9420421100294317,0.9540011191941802,1.1959009164748458,True
clinc150,0.25,42,0.9468228931951329,0.9520723941459055,0.524950095077259,True
clinc150,0.25,87,0.9399382221713762,0.9468423443889141,0.6904122217537889,True
clinc150,0.5,13,0.8695907290597037,0.8862948551664505,1.6704126106746764,True
clinc150,0.5,42,0.8816362053959965,0.8956248212753789,1.3988615879382382,True
clinc150,0.5,87,0.8895027624309392,0.9030033050725679,1.3500542641628699,True
clinc150,0.75,13,0.7911200807265388,0.8118617439120188,2.0741663185479986,True
clinc150,0.75,42,0.7998397114806652,0.8133123276880662,1.3472616207400923,True
clinc150,0.75,87,0.7776862906545904,0.7987271280827367,2.104083742814633,True
stackoverflow,0.25,13,0.9614035087719298,0.9619975906253423,0.05940818534124759,True
stackoverflow,0.25,42,0.9127318238707475,0.9598596183373547,4.71277944666072,True
stackoverflow,0.25,87,0.9414268115130474,0.9394380387327885,-0.1988772780258885,False
stackoverflow,0.5,13,0.7662360644133782,0.8877534727766246,12.151740836324642,True
stackoverflow,0.5,42,0.8435800230756552,0.9149367878882473,7.135676481259212,True
stackoverflow,0.5,87,0.7608426270136307,0.8608255832925437,9.998295627891295,True
stackoverflow,0.75,13,0.5695280329426671,0.7398554752640356,17.032744232136853,True
stackoverflow,0.75,42,0.6562217535402229,0.784524449220849,12.830269568062603,True
stackoverflow,0.75,87,0.6682677874512158,0.7304643261608154,6.219653870959951,True
