dataset,kir,seed,method,population,bin_center,density,n,display_max,overflow_in_last_bin
stackoverflow,0.5,42,frozen_k1,Known,0.011685188587688349,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.035055565763065046,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.05842594293844174,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.08179632011381843,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.10516669728919514,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.12853707446457183,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.1519074516399485,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.17527782881532522,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.19864820599070193,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.22201858316607864,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.2453889603414553,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.268759337516832,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.2921297146922087,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.31550009186758543,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.3388704690429621,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.3622408462183388,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.3856112233937155,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.4089816005690922,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.4323519777444689,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.4557223549198456,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.4790927320952223,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.502463109270599,0.0,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.5258334864459757,0.0015884920739292069,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.5492038636213523,0.004765476221787621,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.5725742407967291,0.012707936591433655,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.5959446179721057,0.01906190488715049,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.6193149951474826,0.034946825626442565,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.6426853723228592,0.06036269880930989,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.6660557494982358,0.12231388969254894,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.6894261266736126,0.21285793790651378,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.7127965038489892,0.37170714529943444,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.736166881024366,0.6036269880930987,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.7595372581997426,1.0007500065754005,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.7829076353751194,1.558310724524552,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.806278012550496,2.285840094384131,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.8296483897258728,3.0387853374265767,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.8530187669012494,3.6725936749243324,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.876389144076626,4.039535344001977,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.8997595212520029,4.1666147099163116,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.9231298984273795,4.076070661702345,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.9465002756027563,3.8949825652744154,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.9698706527781329,3.5423373248621326,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,0.9932410299535097,3.1849266082280616,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,1.0166114071288863,2.684551604940362,2993,1.6592967794517455,0
stackoverflow,0.5,42,frozen_k1,Known,1.039981784304263,2.085690093069049,2993,1.6592967794517455,0
