dataset,method,oos_f1_mean,false_accept_rate_mean,known_recall_mean
banking77_oos,frozen_k1,84.82265965039684,23.658008658008658,88.83333333333333
banking77_oos,trainable_k1,88.47079648636532,16.926406926406926,85.46666666666667
clinc150,frozen_k1,88.02432322955465,7.056410256410256,73.67407407407406
clinc150,trainable_k1,89.49743271714658,4.112820512820512,73.43703703703704
stackoverflow,frozen_k1,79.0219571500888,23.524784468946937,83.22375535749171
stackoverflow,trainable_k1,88.78386146524718,7.09969882676667,83.71372072092457
