dataset,k,radius_lambda,test_oos_f1_mean,test_oos_f1_std,test_f1_all_mean,test_f1_all_std,test_f1_k_mean,test_f1_k_std,test_accuracy_mean,test_accuracy_std,test_known_recall_mean,test_known_recall_std,test_false_accept_rate_mean,test_false_accept_rate_std,test_false_reject_rate_mean,test_false_reject_rate_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std
banking77,1,0.5,0.8420222229467537,0.0044496377208420495,0.7797149240951561,0.003375505562979107,0.7780752583359035,0.003371504937854537,0.8138528138528138,0.004033472976966295,0.6984649122807017,0.008039606482378664,0.059188034188034144,0.010617314742568268,0.3015350877192982,0.008039606482378659,0.906246063877643,0.006617121372456366,0.8896215359472599,0.006845863056631668
banking77,1,0.75,0.8515984617752054,0.00422001392554098,0.8108398201883178,0.004181131742358922,0.8097672243570839,0.004180431637395399,0.8308441558441558,0.004870129870129872,0.7653508771929824,0.0024907492744738343,0.08888888888888884,0.007727838170950916,0.23464912280701747,0.0024907492744738343,0.9074045490328385,0.006512939932155339,0.8912385758954467,0.006966015624885171
banking77,1,1.0,0.8476968183476892,0.007122469721089224,0.8230769867738129,0.008265884758620284,0.8224290964692372,0.008298290363772063,0.8318181818181819,0.007959513423461868,0.8190789473684211,0.0017406258625424784,0.13461538461538455,0.012229989761755738,0.1809210526315789,0.0017406258625424808,0.9080357343679712,0.006431324491320066,0.8922386315593206,0.007273137783153509
banking77,1,1.25,0.8325977838710076,0.01113600852156719,0.8262036597717303,0.009399071674795773,0.826035393348065,0.009362638360980972,0.822943722943723,0.01121109741435513,0.86140350877193,0.007793577036805592,0.19038461538461535,0.017948717948717937,0.13859649122807013,0.007793577036805631,0.9082905982905983,0.00630830597304606,0.8928741328484163,0.007439053118233083
banking77,1,1.5,0.8020079977349678,0.010998866459342957,0.8192342542564784,0.00794617351518959,0.8196875767965182,0.007902826693175337,0.8010822510822511,0.009411851775431555,0.8940789473684211,0.007326005740565883,0.2613247863247863,0.018824046571997467,0.1059210526315789,0.00732600574056586,0.9082669815564554,0.006220866663931843,0.893200452080254,0.007641018011219264
banking77,1,2.0,0.6971206894145651,0.02376982908099643,0.787654932539812,0.00859023778868767,0.7900374126220555,0.008405043000840723,0.7316017316017316,0.01666420682359129,0.9383771929824561,0.003376053578583514,0.43247863247863244,0.02875579389731598,0.06162280701754383,0.003376053578583505,0.9075105431848852,0.005971611729926699,0.8931132889653944,0.007868042564915767
banking77,2,0.5,0.842354292321167,0.003179974121864193,0.7767433483732522,0.0014817047171670971,0.7750167445851494,0.0014705415427073427,0.8135281385281385,0.0021124698372232886,0.6896929824561404,0.005969586661761485,0.0523504273504273,0.005375959668978262,0.31030701754385964,0.005969586661761523,0.9042694275753487,0.0011575771976175778,0.8857333191861468,0.01098761461491768
banking77,2,0.75,0.849918913013679,0.005616925009013493,0.8027266673878116,0.0035625072412585356,0.8014847661871309,0.0035308376948631846,0.8272727272727273,0.004782766189174067,0.7482456140350878,0.0038549113665015604,0.07970085470085465,0.007833462726420255,0.25175438596491223,0.0038549113665015526,0.905938062303194,0.001381805841076082,0.8879163608092074,0.011381115627634287
banking77,2,1.0,0.8489621749536508,0.0038054340391326406,0.8176077918859431,0.0017544134237010153,0.816782676542056,0.0017503518495050145,0.8314935064935064,0.0022727272727272874,0.7995614035087719,0.0003798357034142447,0.11837606837606833,0.00709002565087059,0.20043859649122808,0.00037983570341421465,0.9070514226270805,0.0016795468292462913,0.8893010813966186,0.011766316850290837
banking77,2,1.25,0.8373936883801955,0.0020781093795108735,0.8215187449822278,0.002395224198045716,0.8211009833138602,0.0024073559129774934,0.8251082251082251,0.0021617948436621183,0.8385964912280702,0.004280530985952414,0.1664529914529914,0.0035304939405679837,0.1614035087719298,0.004280530985952447,0.9077261864597391,0.0020268483773560673,0.8901794747618621,0.012272477859570837
banking77,2,1.5,0.8150928861174841,0.004712128876538221,0.8196711117525207,0.004304532569697533,0.8197915913744955,0.004294387884200779,0.80995670995671,0.00337932792121122,0.8774122807017544,0.004759327722414595,0.22991452991452987,0.008750254371556954,0.12258771929824559,0.004759327722414657,0.9081234536662168,0.002345934113910107,0.8906994363480693,0.01266698968889397
banking77,2,2.0,0.7179429783931995,0.004263779980789392,0.788400405611315,0.0041818651965459955,0.7902545484328444,0.004201854642689944,0.741991341991342,0.002946029781129009,0.9263157894736841,0.0077564645543102256,0.3997863247863247,0.007429631902014447,0.07368421052631573,0.007756464554310245,0.9081881185335132,0.002899340428361042,0.8909086046466616,0.013160639644646536
