dataset,k,test_oos_f1_mean,test_oos_f1_std,test_f1_all_mean,test_f1_all_std,test_f1_k_mean,test_f1_k_std,test_accuracy_mean,test_accuracy_std,test_known_recall_mean,test_known_recall_std,test_false_accept_rate_mean,test_false_accept_rate_std,test_false_reject_rate_mean,test_false_reject_rate_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,selected_lambda_mean,selected_lambda_values
banking77,1,0.6971206894145651,0.02376982908099643,0.787654932539812,0.00859023778868767,0.7900374126220555,0.008405043000840723,0.7316017316017316,0.01666420682359129,0.9383771929824561,0.003376053578583514,0.43247863247863244,0.02875579389731598,0.06162280701754383,0.003376053578583505,0.9075105431848852,0.005971611729926699,0.8931132889653944,0.007868042564915767,2.0,"2.00,2.00,2.00"
banking77,2,0.7179429783931995,0.004263779980789392,0.788400405611315,0.0041818651965459955,0.7902545484328444,0.004201854642689944,0.741991341991342,0.002946029781129009,0.9263157894736841,0.0077564645543102256,0.3997863247863247,0.007429631902014447,0.07368421052631573,0.007756464554310245,0.9081881185335132,0.002899340428361042,0.8909086046466616,0.013160639644646536,2.0,"2.00,2.00,2.00"
clinc150,1,0.9081615216902903,0.009176020098111767,0.868168412686369,0.013676057134569371,0.8676351712329834,0.013745511885079269,0.8852631578947369,0.012410343286896493,0.9081481481481483,0.010273622783754481,0.11835748792270527,0.013067074737829401,0.09185185185185184,0.010273622783754535,0.9544278260869564,0.00527507892726613,0.9642748917682796,0.0064674763616058605,2.0,"2.00,2.00,2.00"
clinc150,2,0.916036092934489,0.004567635701113632,0.8688808540069818,0.009253909131570528,0.8682521174879483,0.009328513009117285,0.8928070175438596,0.006561966389215789,0.8893333333333334,0.006547075494513909,0.09391304347826084,0.007619385175707185,0.11066666666666664,0.006547075494513894,0.9569309286097692,0.001919068689405335,0.9662658138164448,0.0026396059298782687,2.0,"2.00,2.00,2.00"
stackoverflow,1,0.68675085329841,0.05326178826297203,0.7881927460283907,0.012050928014246091,0.7983369353013887,0.009648570485653728,0.7250555555555556,0.030452756367369604,0.9343333333333333,0.007211102550928062,0.441,0.06446963109351055,0.0656666666666666,0.007211102550927978,0.9208462222222221,0.009296785112056298,0.8921201969155342,0.022670856417492415,2.0,"2.00,2.00,2.00"
stackoverflow,2,0.5916510769502629,0.07440511000747844,0.7421298421052326,0.012606038921237924,0.7571777186207296,0.00911773000111752,0.6665555555555556,0.03444655011484919,0.957,0.007753135566408714,0.5593333333333333,0.0771499261899265,0.04299999999999996,0.007753135566408704,0.8970304074074075,0.016213326358936932,0.8775362573202296,0.029816754744089485,1.3333333333333333,"1.25,1.50,1.25"
