dataset,metric,trainable_mean,frozen_mean,delta_pp,trainable_scope,frozen_scope
clinc150,oos_f1,0.9043025833372952,0.893139542167335,1.1163041169960142,minilm_trainable_control_v1,e2_exact_seed_control
clinc150,known_recall,0.7426666666666666,0.7559999999999999,-1.3333333333333308,minilm_trainable_control_v1,e2_exact_seed_control
clinc150,auroc,0.9513123778851315,0.9251476972624798,2.616468062265165,minilm_trainable_control_v1,e2_exact_seed_control
clinc150,aupr_oos,0.9618995379320204,0.9361726238533733,2.5726914078647134,minilm_trainable_control_v1,e2_exact_seed_control
banking77,oos_f1,0.8476968183476892,0.7958478878437001,5.184893050398909,minilm_trainable_control_v1,e2_exact_seed_control
banking77,known_recall,0.8190789473684211,0.8385964912280701,-1.951754385964899,minilm_trainable_control_v1,e2_exact_seed_control
banking77,auroc,0.9080357343679712,0.877094017094017,3.094171727395423,minilm_trainable_control_v1,e2_exact_seed_control
banking77,aupr_oos,0.8922386315593206,0.8527567420486092,3.948188951071141,minilm_trainable_control_v1,e2_exact_seed_control
stackoverflow,oos_f1,0.8670909818700716,0.7728960941964712,9.41948876736004,racal_v1_existing,e2_exact_seed_control
stackoverflow,known_recall,0.8392222222222222,0.8371111111111111,0.21111111111110636,racal_v1_existing,e2_exact_seed_control
stackoverflow,auroc,0.9175097777777778,0.8819071851851851,3.5602592592592686,racal_v1_existing,e2_exact_seed_control
stackoverflow,aupr_oos,0.8877702922396726,0.8468439295787179,4.092636266095473,racal_v1_existing,e2_exact_seed_control
