dataset,kir,distance,intent,seed,best_k,best_k_intent_oos_f1,delta_oos_f1_vs_k1,delta_intent_class_f1_vs_k1,delta_known_recall_vs_k1,best_k_intent_known_recall,best_k_false_reject_rate,best_k_false_accept_count,best_k_false_accept_rate,selection_metric_definition
banking77,0.10,euclidean,Refund_not_showing_up,42,5,0.888888888888889,0.10165484633569744,0.10165484633569744,-0.025000000000000022,0.9,0.05,5,0.0018115942028985507,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,Refund_not_showing_up,87,5,0.8837209302325583,0.09648688767936675,0.09648688767936675,0.02499999999999991,0.95,0.05,8,0.002898550724637681,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,atm_support,42,3,0.9333333333333333,0.37192982456140355,0.37192982456140355,0.07499999999999996,0.875,0.125,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,atm_support,123,3,0.9333333333333333,0.34617737003058113,0.34617737003058113,0.07499999999999996,0.875,0.125,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,automatic_top_up,100,2,0.8285714285714285,0.18151260504201672,0.18151260504201672,-0.09999999999999998,0.725,0.275,1,0.00036231884057971015,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,card_about_to_expire,42,4,0.9473684210526316,0.11220358588779644,0.11220358588779644,-0.04999999999999993,0.9,0.1,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,card_acceptance,100,5,0.7272727272727274,0.22377622377622386,0.22377622377622386,-0.30000000000000004,0.6,0.4,2,0.0007246376811594203,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,card_linking,13,5,0.8571428571428571,0.3087557603686636,0.3087557603686636,-0.09999999999999998,0.75,0.25,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,compromised_card,13,3,0.5238095238095238,0.06363253265908136,0.06363253265908136,-0.09999999999999998,0.55,0.45,22,0.007971014492753623,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,compromised_card,100,3,0.5238095238095238,0.10364145658263307,0.10364145658263307,-0.07499999999999996,0.55,0.45,22,0.007971014492753623,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,compromised_card,123,3,0.5301204819277109,0.07794656888423257,0.07794656888423257,-0.09999999999999998,0.55,0.45,21,0.007608695652173913,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,direct_debit_payment_not_recognised,13,1,0.5346534653465346,0.0,0.0,0.0,0.675,0.325,34,0.012318840579710146,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
banking77,0.10,euclidean,direct_debit_payment_not_recognised,123,1,0.6842105263157895,0.0,0.0,0.0,0.65,0.325,9,0.003260869565217391,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level
