dataset,kir,distance,oos_view,best_k,best_k_mean_oos_f1,delta_oos_f1_vs_k1,best_k_mean_f1_all,delta_f1_all_vs_k1,best_k_mean_known_recall,delta_known_recall_vs_k1,cross_seed_best_k_consistency,number_of_intents_benefiting_from_k_gt_1,number_of_intents_with_k_gt_1_in_at_least_3_seeds,selection_note
banking77,0.10,euclidean,combined,5,0.9550752739887958,0.018355282344420742,0.7306256417995294,0.06365042731135684,0.7625,-0.05312500000000009,0.6,23,3,oracle test sensitivity only; not a validation-selected K
banking77,0.10,mahalanobis_diag,combined,5,0.9681669030164077,0.013189483421535253,0.7516847529912715,0.016702967875237285,0.70125,-0.11249999999999993,1.0,22,3,oracle test sensitivity only; not a validation-selected K
banking77,0.20,euclidean,combined,5,0.9240615004922261,0.0396642968126425,0.7416150925213676,0.058886285207848665,0.7776666666666666,-0.06233333333333346,0.6,44,4,oracle test sensitivity only; not a validation-selected K
banking77,0.20,mahalanobis_diag,combined,5,0.9399403817349457,0.024303601340016412,0.7495551887857557,0.01049757462151557,0.7166666666666667,-0.11466666666666658,1.0,39,3,oracle test sensitivity only; not a validation-selected K
banking77,0.25,euclidean,combined,5,0.9052663645958665,0.05354265524730817,0.7487552652200671,0.055900831635897985,0.7760526315789473,-0.06289473684210534,1.0,46,7,oracle test sensitivity only; not a validation-selected K
banking77,0.25,mahalanobis_diag,combined,5,0.9207944460834081,0.02897509908448148,0.7471225384668563,-0.00023755151141202635,0.7121052631578948,-0.11842105263157898,1.0,41,6,oracle test sensitivity only; not a validation-selected K
banking77,0.30,euclidean,combined,5,0.8880572434971615,0.06186951153318432,0.7591779940214993,0.04918552413917132,0.7776086956521739,-0.06543478260869562,0.8,54,10,oracle test sensitivity only; not a validation-selected K
banking77,0.30,mahalanobis_diag,combined,5,0.9037310920098116,0.0305893894858984,0.7541144636942905,-0.007595718769722759,0.7132608695652174,-0.12043478260869567,0.8,46,7,oracle test sensitivity only; not a validation-selected K
banking77,0.40,euclidean,combined,5,0.8432456461131774,0.07892914514031368,0.7697895347650211,0.041459336987559325,0.7753225806451614,-0.0732258064516127,0.8,60,18,oracle test sensitivity only; not a validation-selected K
banking77,0.40,mahalanobis_diag,combined,4,0.8610491140867941,0.03741862352616088,0.7682535997231278,-0.0033903760438241948,0.757258064516129,-0.0830645161290322,0.6,48,12,oracle test sensitivity only; not a validation-selected K
banking77,0.50,euclidean,combined,5,0.8082681815099017,0.08398803056089588,0.779401671964964,0.034262228088765334,0.7726315789473684,-0.07750000000000001,0.8,59,24,oracle test sensitivity only; not a validation-selected K
banking77,0.50,mahalanobis_diag,combined,4,0.8269629474942592,0.03847743855613872,0.7698845233806886,-0.009893978104521084,0.7547368421052632,-0.08789473684210525,0.8,52,16,oracle test sensitivity only; not a validation-selected K
banking77,0.60,euclidean,combined,5,0.7559184758640454,0.09992100578113816,0.7925178940418534,0.029365842000217413,0.7752173913043479,-0.08141304347826084,0.6,62,35,oracle test sensitivity only; not a validation-selected K
banking77,0.60,mahalanobis_diag,combined,4,0.7716258583776671,0.040699601471275826,0.7772356047992538,-0.016980482469107216,0.7601086956521739,-0.08695652173913049,0.8,54,24,oracle test sensitivity only; not a validation-selected K
banking77,0.70,euclidean,combined,5,0.6910688164536947,0.10922644359701605,0.8021027417124046,0.028487000395105655,0.7806481481481482,-0.08240740740740748,0.8,60,47,oracle test sensitivity only; not a validation-selected K
banking77,0.70,mahalanobis_diag,combined,4,0.6968318123530101,0.0354746379292632,0.7814453796804847,-0.021470028555120257,0.7647222222222222,-0.08824074074074084,0.8,54,34,oracle test sensitivity only; not a validation-selected K
banking77,0.75,euclidean,combined,5,0.6368159820237997,0.10020881062597087,0.8045681846073304,0.022449644499192734,0.7802586206896551,-0.08387931034482765,0.8,60,49,oracle test sensitivity only; not a validation-selected K
banking77,0.75,mahalanobis_diag,combined,4,0.6471382558483876,0.030020782733591656,0.7824186091994545,-0.02674543185509959,0.7643965517241379,-0.08870689655172415,0.8,53,35,oracle test sensitivity only; not a validation-selected K
banking77,0.80,euclidean,combined,4,0.5699264763626846,0.07784172358016644,0.8103662958095341,0.020103977097336134,0.7976612903225806,-0.0693548387096774,0.6,61,50,oracle test sensitivity only; not a validation-selected K
banking77,0.80,mahalanobis_diag,combined,4,0.5774028415603478,0.007102667824749331,0.7818258436309999,-0.03382543731663257,0.7640322580645161,-0.09088709677419349,0.4,51,32,oracle test sensitivity only; not a validation-selected K
banking77,0.90,euclidean,combined,4,0.4119163280608301,0.043795907929023103,0.8155064056346977,0.01648090757695142,0.7968115942028986,-0.07181159420289851,0.4,61,54,oracle test sensitivity only; not a validation-selected K
banking77,0.90,mahalanobis_diag,combined,1,0.42782459703289855,0.0,0.8224315641785666,0.0,0.8560869565217392,0.0,0.8,46,36,oracle test sensitivity only; not a validation-selected K
clinc150,0.10,euclidean,combined,2,0.9797262361939737,0.00012028157552868013,0.7785126994048327,-0.009343315562004517,0.7297777777777779,-0.03466666666666662,0.4,30,1,oracle test sensitivity only; not a validation-selected K
clinc150,0.10,mahalanobis_diag,combined,1,0.9812125324189583,0.0,0.7872761837267385,0.0,0.731111111111111,0.0,0.6,18,1,oracle test sensitivity only; not a validation-selected K
clinc150,0.20,euclidean,combined,2,0.956031286935664,0.0018546704140195436,0.774290848237121,-0.003440200115598535,0.7415555555555555,-0.03222222222222226,0.6,54,8,oracle test sensitivity only; not a validation-selected K
clinc150,0.20,mahalanobis_diag,combined,1,0.9581722809071863,0.0,0.7768052806540712,0.0,0.7451111111111111,0.0,0.6,41,5,oracle test sensitivity only; not a validation-selected K
