ball_id,majority_label,purity,sample_count,radius,center_l2
0,0,1.0,453,3.1541972160339355,14.766797996689252
1,1,1.0,464,3.2208516597747803,13.655700032696487
2,3,1.0,564,2.8191964626312256,13.328787491772852
3,4,1.0,529,2.223741054534912,14.418950364210087
4,5,1.0,432,3.1624011993408203,13.393109275227458
5,6,1.0,515,3.1129353046417236,13.741898251358101
6,7,1.0,568,3.1538898944854736,12.932472966186317
7,8,1.0,563,3.1863465309143066,14.07020285338958
8,9,1.0,511,3.5195159912109375,13.18239915016836
9,9,1.0,19,4.391032695770264,11.302033655849039
10,9,1.0,14,4.646101474761963,10.479254502093845
11,0,1.0,44,4.362567901611328,13.197062777875665
12,0,1.0,16,4.513014316558838,11.585750312857853
13,1,1.0,36,4.997949600219727,10.815202030176485
14,1,1.0,12,4.309913635253906,12.038419301813397
15,2,1.0,549,2.725804567337036,13.551229959436466
16,2,1.0,13,4.0778727531433105,11.858561293931901
17,4,1.0,15,4.402721881866455,10.370512452031319
18,5,1.0,15,4.644498348236084,11.011171138086645
19,5,1.0,36,2.8223493099212646,13.388523125073466
20,6,1.0,24,4.435035705566406,11.991672445074318
21,6,1.0,14,4.714873790740967,10.00656943294513
22,6,1.0,19,4.4998931884765625,11.61223909294128
23,7,1.0,13,5.390681743621826,9.706394244646443
24,8,1.0,13,5.347944259643555,10.821049090185056
25,1,1.0,17,3.876145362854004,12.737965637154845
26,3,1.0,14,4.003050327301025,12.900633944141662
27,5,1.0,18,2.3761515617370605,13.80292932591885
28,0,1.0,12,4.800384044647217,12.653028171074453
29,4,1.0,13,4.282347202301025,11.504872032134616
30,1,1.0,11,3.6614394187927246,12.686614463625602
31,5,1.0,23,2.1003103256225586,13.74910602542875
32,5,1.0,11,2.427377700805664,13.38670903377264
