workpoint,target_dev_known_coverage,radius_multiplier,achieved_dev_known_coverage,selected_ball_count,best_epoch,Accuracy,F1-All,F1-K,F1-U,OOS Precision,OOS Recall,Known Recall,Known->OOS,OOS->Known
default_mean,,1.0,0.586,33,51,76.0333,71.4203,70.5868,79.7553,69.5706,93.4333,58.6333,1226,197
dev_known_coverage_0.80,0.8,1.242013692855835,0.8,33,51,73.3167,73.9708,74.0226,73.4529,77.7158,69.6333,77.0,599,911
dev_known_coverage_0.85,0.85,1.3222260475158691,0.85,33,51,68.8167,71.6502,72.191,66.2415,78.8046,57.1333,80.5,461,1286
dev_known_coverage_0.90,0.9,1.4351272583007812,0.9,33,51,62.7167,68.2563,69.6378,54.4413,80.3513,41.1667,84.2667,302,1765
dev_known_coverage_0.95,0.95,1.5836788415908813,0.95,33,51,55.0667,63.8002,66.6121,35.681,79.9304,22.9667,87.1667,173,2311
