dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
banking77_oos,87,val,verify_my_identity,False,21,9,12,8,1.029729457084295
banking77_oos,87,val,verify_source_of_funds,False,23,1,22,2,1.2599435256697569
banking77_oos,87,val,verify_top_up,True,26,19,7,3,0.889452705416738
banking77_oos,87,val,virtual_card_not_working,False,9,2,7,0,1.334579876409308
banking77_oos,87,val,visa_or_mastercard,True,27,18,9,1,0.8968529054028095
banking77_oos,87,val,why_verify_identity,True,25,18,7,4,0.9093914793019505
banking77_oos,87,val,wrong_amount_of_cash_received,False,36,0,36,3,1.2038291887455694
banking77_oos,87,val,wrong_exchange_rate_for_cash_withdrawal,False,33,0,33,0,1.259036045731734
banking77_oos,87,test,Refund_not_showing_up,True,40,30,10,8,0.8923649611689172
banking77_oos,87,test,activate_my_card,False,40,0,40,2,1.1770823741074454
banking77_oos,87,test,age_limit,False,40,0,40,0,1.462258008966952
banking77_oos,87,test,apple_pay_or_google_pay,False,40,3,37,0,1.3315388798530214
banking77_oos,87,test,atm_support,False,40,1,39,4,1.1319103595934916
banking77_oos,87,test,automatic_top_up,False,40,0,40,0,1.406795069552838
banking77_oos,87,test,balance_not_updated_after_bank_transfer,True,40,35,5,7,0.9099956011966617
banking77_oos,87,test,balance_not_updated_after_cheque_or_cash_deposit,True,40,25,15,11,0.9668001872629355
banking77_oos,87,test,beneficiary_not_allowed,True,40,23,17,9,0.9527529883685809
banking77_oos,87,test,cancel_transfer,True,40,28,12,8,0.8596413316805822
banking77_oos,87,test,card_about_to_expire,True,40,27,13,11,0.9543517908263695
banking77_oos,87,test,card_acceptance,False,40,2,38,9,1.195370491375682
banking77_oos,87,test,card_arrival,True,40,23,17,11,0.9649680028202361
banking77_oos,87,test,card_delivery_estimate,False,40,6,34,4,1.2071213548347441
banking77_oos,87,test,card_linking,False,40,0,40,0,1.2502710040398912
banking77_oos,87,test,card_not_working,False,40,0,40,0,1.2655688212074472
banking77_oos,87,test,card_payment_fee_charged,False,40,3,37,11,1.1028746426202751
banking77_oos,87,test,card_payment_not_recognised,True,40,25,15,12,0.9739546293588577
banking77_oos,87,test,card_payment_wrong_exchange_rate,False,40,0,40,0,1.280412374027267
banking77_oos,87,test,card_swallowed,False,40,1,39,9,1.1135845560282487
banking77_oos,87,test,cash_withdrawal_charge,False,40,1,39,4,1.1612978618876248
banking77_oos,87,test,cash_withdrawal_not_recognised,False,40,6,34,13,1.0942741684530684
banking77_oos,87,test,change_pin,False,40,0,40,1,1.1736620958396544
banking77_oos,87,test,compromised_card,False,40,5,35,10,1.1302903606837187
banking77_oos,87,test,contactless_not_working,False,40,0,40,0,1.3575472939078663
banking77_oos,87,test,country_support,True,40,27,13,7,0.9224929912757192
banking77_oos,87,test,declined_card_payment,False,40,4,36,14,1.078828368728019
banking77_oos,87,test,declined_cash_withdrawal,False,40,1,39,3,1.1663949014079573
banking77_oos,87,test,declined_transfer,True,40,26,14,4,0.8775372255753078
banking77_oos,87,test,direct_debit_payment_not_recognised,True,40,26,14,11,0.9615549273778912
banking77_oos,87,test,disposable_card_limits,True,40,26,14,7,0.9316288653328395
banking77_oos,87,test,edit_personal_details,True,40,25,15,13,0.9844345424306953
banking77_oos,87,test,exchange_charge,True,40,25,15,7,0.957831885539359
banking77_oos,87,test,exchange_rate,False,40,0,40,0,1.34279566453608
banking77_oos,87,test,exchange_via_app,False,40,0,40,0,1.3059581687289414
banking77_oos,87,test,extra_charge_on_statement,False,40,0,40,3,1.1958970329980811
banking77_oos,87,test,failed_transfer,False,40,20,20,9,1.006099821696783
banking77_oos,87,test,fiat_currency_support,False,40,0,40,0,1.3873804713516575
banking77_oos,87,test,get_disposable_virtual_card,False,40,1,39,4,1.257118977648814
banking77_oos,87,test,get_physical_card,False,40,3,37,1,1.249244681519054
banking77_oos,87,test,getting_spare_card,False,40,5,35,3,1.2010447610531148
banking77_oos,87,test,getting_virtual_card,False,40,0,40,0,1.3210317402969276
banking77_oos,87,test,lost_or_stolen_card,False,40,0,40,0,1.2193381374819214
banking77_oos,87,test,lost_or_stolen_phone,False,40,3,37,0,1.3985850363396999
banking77_oos,87,test,oos,False,1000,1,999,0,1.6275262940003368
banking77_oos,87,test,order_physical_card,True,40,22,18,12,0.9801839562618261
banking77_oos,87,test,passcode_forgotten,False,40,3,37,2,1.3950080088131709
banking77_oos,87,test,pending_card_payment,True,40,21,19,5,0.9791354448743386
banking77_oos,87,test,pending_cash_withdrawal,False,40,2,38,3,1.1999035627753267
banking77_oos,87,test,pending_top_up,True,40,26,14,6,0.8608025266432442
banking77_oos,87,test,pending_transfer,True,40,29,11,8,0.9032978611301508
banking77_oos,87,test,pin_blocked,False,40,0,40,0,1.255157279497957
banking77_oos,87,test,receiving_money,False,40,2,38,1,1.3715218874318031
banking77_oos,87,test,request_refund,False,40,4,36,7,1.108240530129005
banking77_oos,87,test,reverted_card_payment?,False,40,9,31,17,1.074305388255414
banking77_oos,87,test,supported_cards_and_currencies,False,40,0,40,1,1.2891949775938718
banking77_oos,87,test,terminate_account,False,40,4,36,1,1.2808163799578192
banking77_oos,87,test,top_up_by_bank_transfer_charge,False,40,0,40,1,1.219669501234283
banking77_oos,87,test,top_up_by_card_charge,False,40,4,36,4,1.198741480115661
banking77_oos,87,test,top_up_by_cash_or_cheque,False,40,0,40,6,1.1654860735730201
banking77_oos,87,test,top_up_failed,False,40,16,24,8,1.0802169502909036
banking77_oos,87,test,top_up_limits,False,40,1,39,0,1.3437133539967379
banking77_oos,87,test,top_up_reverted,False,40,6,34,12,1.103501165621434
banking77_oos,87,test,topping_up_by_card,False,40,3,37,9,1.174369246540802
banking77_oos,87,test,transaction_charged_twice,True,40,26,14,6,0.9554521025433402
banking77_oos,87,test,transfer_fee_charged,True,40,27,13,5,0.9150893142359112
banking77_oos,87,test,transfer_into_account,False,40,4,36,2,1.2444107378091136
banking77_oos,87,test,transfer_not_received_by_recipient,True,40,31,9,16,0.9767564686279842
banking77_oos,87,test,transfer_timing,True,40,22,18,9,0.9876953064335134
banking77_oos,87,test,unable_to_verify_identity,False,40,17,23,7,1.080344419979781
banking77_oos,87,test,verify_my_identity,False,40,21,19,10,0.9689017514096525
banking77_oos,87,test,verify_source_of_funds,False,40,4,36,1,1.2587477379290761
banking77_oos,87,test,verify_top_up,True,40,30,10,5,0.8812714185329104
banking77_oos,87,test,virtual_card_not_working,False,40,3,37,1,1.352806250066224
banking77_oos,87,test,visa_or_mastercard,True,40,25,15,5,0.8668423743951907
banking77_oos,87,test,why_verify_identity,True,40,36,4,3,0.8319417678613708
banking77_oos,87,test,wrong_amount_of_cash_received,False,40,1,39,1,1.1899624640639197
banking77_oos,87,test,wrong_exchange_rate_for_cash_withdrawal,False,40,0,40,2,1.2880193276732865
