dataset,kir,data_seed,probe,split,known_count,known_macro_f1,known_accuracy,threshold_from_val,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
clinc150,50,13,linear_probe,val,1500,0.9671323518125322,0.9673333333333334,0.478478569606565,0.8673158855751674,0.890625,0.8788159111933395,0.8546666666666667,0.890625,0.9431320833333333,0.9415651313249938,0.25066666666666665
clinc150,50,13,linear_probe,test,2250,0.9680944817680862,0.968,0.478478569606565,0.8809238152369526,0.9036923076923077,0.8921628189550426,0.8235555555555556,0.9036923076923077,0.9438181196581197,0.9574791541771068,0.2777777777777778
clinc150,50,13,knn,val,1500,0.9396988348492675,0.9406666666666667,0.09980198940408144,0.8031599736668861,0.7625,0.782302019878166,0.8006666666666666,0.7625,0.8316887500000001,0.8290074934031346,1.0
clinc150,50,13,knn,test,2250,0.9406388646080657,0.9408888888888889,0.09980198940408144,0.8492063492063492,0.7901538461538462,0.818616512591648,0.7973333333333333,0.7901538461538462,0.8441033162393161,0.8684162757025085,1.0
clinc150,50,42,linear_probe,val,1500,0.9636720450935456,0.964,0.4857364718561351,0.8596176821983273,0.899375,0.8790470372632865,0.8433333333333334,0.899375,0.9330733333333333,0.9294109265735001,0.286
clinc150,50,42,linear_probe,test,2250,0.962922670374116,0.9631111111111111,0.4857364718561351,0.8953662182361734,0.9215384615384615,0.9082638362395754,0.8444444444444444,0.9215384615384615,0.9471543247863248,0.9579594658180195,0.22444444444444445
clinc150,50,42,knn,val,1500,0.9357313063010957,0.9366666666666666,0.10961585628346147,0.7989018531228552,0.7275,0.76153091265947,0.8046666666666666,0.7275,0.8157062500000001,0.8090862099266958,1.0
clinc150,50,42,knn,test,2250,0.9350326213696815,0.936,0.10961585628346147,0.8542101600556715,0.7553846153846154,0.8017635532331809,0.8137777777777778,0.7553846153846154,0.8373181538461538,0.8636180443564296,1.0
clinc150,50,87,linear_probe,val,1500,0.9805186899357122,0.9806666666666667,0.481294365047405,0.8580645161290322,0.914375,0.8853252647503782,0.8386666666666667,0.914375,0.9450941666666666,0.9411855706118866,0.23733333333333334
clinc150,50,87,linear_probe,test,2250,0.9712858445269547,0.9715555555555555,0.481294365047405,0.8930163447251115,0.9246153846153846,0.90854119425548,0.84,0.9246153846153846,0.9529703931623932,0.9640656111042842,0.23333333333333334
clinc150,50,87,knn,val,1500,0.9537319488438764,0.9546666666666667,0.11018923125064069,0.8009608785175018,0.729375,0.7634936211972522,0.8066666666666666,0.729375,0.821268125,0.8207085457365768,1.0
clinc150,50,87,knn,test,2250,0.944357876367809,0.9448888888888889,0.11018923125064069,0.8486317977138899,0.7538461538461538,0.7984357177774156,0.8057777777777778,0.7538461538461538,0.8353527521367522,0.8670836700239504,1.0
banking77_oos,50,13,linear_probe,val,787,0.9193137193378143,0.9161372299872935,0.5104645171835733,0.8804934464148034,0.7881297446514838,0.831755280407866,0.8030495552731893,0.7881297446514838,0.865574382893868,0.9172025292148303,0.6099110546378653
banking77_oos,50,13,linear_probe,test,1000,0.8912708180743705,0.891,0.5104645171835733,0.9351784413692644,0.8337662337662337,0.8815653964984552,0.822,0.8337662337662337,0.8901925324675324,0.9582104764225918,0.524
banking77_oos,50,13,knn,val,787,0.9214081259400276,0.9186785260482846,0.19039632513013888,0.8707539353769677,0.7253278122843341,0.7914156626506024,0.8017789072426937,0.7253278122843341,0.8110562163100697,0.8740258602955354,1.0
banking77_oos,50,13,knn,test,1000,0.9060210981491983,0.906,0.19039632513013888,0.9299687010954617,0.7717532467532467,0.8435060326472675,0.821,0.7717532467532467,0.8444376623376624,0.9356141532299486,1.0
banking77_oos,50,42,linear_probe,val,749,0.9239129905099693,0.9238985313751669,0.4537932415009184,0.9017615176151762,0.8950907868190988,0.8984137698278771,0.8064085447263017,0.8950907868190988,0.9233409621256945,0.9528138926483912,0.3177570093457944
banking77_oos,50,42,linear_probe,test,1000,0.8928806726609376,0.893,0.4537932415009184,0.9312977099236641,0.9110389610389611,0.9210569505990481,0.793,0.9110389610389611,0.9267646103896103,0.9717826214937378,0.308
