dataset,kir,data_seed,representation,k_variant,delta_oos_f1,delta_id_recall
clinc150,50,13,ce,k1,0.02429442058944431,-0.0040000000000000036
clinc150,50,42,ce,k1,0.012873711246716879,0.0040000000000000036
clinc150,50,87,ce,k1,0.01409803144487598,-0.021333333333333315
clinc150,50,13,supcon,k1,0.017967682155249687,0.019555555555555548
clinc150,50,42,supcon,k1,0.01912715338262927,0.01733333333333331
clinc150,50,87,supcon,k1,0.018043320518369543,0.011555555555555652
clinc150,50,13,ce,k2,0.020793710155917466,0.029777777777777792
clinc150,50,42,ce,k2,0.01692007814177998,0.016888888888888953
clinc150,50,87,ce,k2,0.003979101308074884,-0.010222222222222244
clinc150,50,13,supcon,k2,0.014406120344430562,0.016888888888888953
clinc150,50,42,supcon,k2,0.017343202567077665,0.029333333333333322
clinc150,50,87,supcon,k2,0.010308881293419225,0.027555555555555555
clinc150,50,13,ce,frozen_selected_k,0.02429442058944431,-0.0040000000000000036
clinc150,50,42,ce,frozen_selected_k,0.012873711246716879,0.0040000000000000036
clinc150,50,87,ce,frozen_selected_k,0.01409803144487598,-0.021333333333333315
clinc150,50,13,supcon,frozen_selected_k,0.017967682155249687,0.019555555555555548
clinc150,50,42,supcon,frozen_selected_k,0.01912715338262927,0.01733333333333331
clinc150,50,87,supcon,frozen_selected_k,0.018043320518369543,0.011555555555555652
banking77_oos,50,13,ce,k1,0.07099742984506408,-0.07400000000000007
banking77_oos,50,42,ce,k1,0.06126288489393161,-0.06300000000000006
banking77_oos,50,87,ce,k1,0.05750765226714627,-0.06600000000000006
banking77_oos,50,13,supcon,k1,0.07707748388998903,-0.05600000000000005
banking77_oos,50,42,supcon,k1,0.03693590649807388,-0.020000000000000018
banking77_oos,50,87,supcon,k1,0.05360127665175041,-0.030000000000000027
banking77_oos,50,13,ce,k2,0.04734092329387585,-0.07399999999999995
banking77_oos,50,42,ce,k2,0.039339238520061826,-0.03599999999999992
banking77_oos,50,87,ce,k2,-0.005410781307348955,-0.06699999999999995
banking77_oos,50,13,supcon,k2,0.033000749049997835,-0.05400000000000005
banking77_oos,50,42,supcon,k2,0.024065568184673536,-0.03799999999999992
banking77_oos,50,87,supcon,k2,0.010092462908162014,-0.049000000000000044
banking77_oos,50,13,ce,frozen_selected_k,0.004588954582922522,-0.02300000000000002
banking77_oos,50,42,ce,frozen_selected_k,0.003715772827360686,0.013000000000000012
banking77_oos,50,87,ce,frozen_selected_k,0.05750765226714627,-0.06600000000000006
banking77_oos,50,13,supcon,frozen_selected_k,0.0014234351668109824,-0.028000000000000025
banking77_oos,50,42,supcon,frozen_selected_k,-0.0008332232600894995,-0.0020000000000000018
banking77_oos,50,87,supcon,frozen_selected_k,0.05360127665175041,-0.030000000000000027
stackoverflow,50,13,ce,k1,0.12917564576737273,-0.02970627503337786
stackoverflow,50,42,ce,k1,0.06251961994778121,-0.005345806882726345
stackoverflow,50,87,ce,k1,0.08154324436257732,0.00868403473613888
stackoverflow,50,13,supcon,k1,0.14299686794094157,-0.0016688918558077637
stackoverflow,50,42,supcon,k1,0.07116076393246473,0.011025726695623184
stackoverflow,50,87,supcon,k1,0.10423287225573119,0.0016700066800267033
stackoverflow,50,13,ce,k2,0.15090473736210408,0.0010013351134846582
stackoverflow,50,42,ce,k2,0.07802600005452387,0.022051453391246145
stackoverflow,50,87,ce,k2,-0.20980838820107062,0.07314629258517036
stackoverflow,50,13,supcon,k2,0.06004598167667263,0.05307076101468622
stackoverflow,50,42,supcon,k2,0.015886335892448922,0.071500167056465
stackoverflow,50,87,supcon,k2,-0.10303142525687692,0.05744822979291919
stackoverflow,50,13,ce,frozen_selected_k,0.15090473736210408,0.0010013351134846582
stackoverflow,50,42,ce,frozen_selected_k,0.06251961994778121,-0.005345806882726345
stackoverflow,50,87,ce,frozen_selected_k,0.08154324436257732,0.00868403473613888
stackoverflow,50,13,supcon,frozen_selected_k,0.06004598167667263,0.05307076101468622
stackoverflow,50,42,supcon,frozen_selected_k,0.07116076393246473,0.011025726695623184
stackoverflow,50,87,supcon,frozen_selected_k,0.10423287225573119,0.0016700066800267033
