dataset,representation,kir,seed,distance,metric,k1,k2,k2_minus_k1
banking77,ce_recon,0.25,13,mahalanobis_diag,oos_f1,0.8885350318471338,0.8937993235625704,0.005264291715436631
banking77,ce_recon,0.25,13,mahalanobis_diag,near_oos_f1,0.5251256281407035,0.5802615933412604,0.05513596520055686
banking77,ce_recon,0.25,13,mahalanobis_diag,id_recall,0.8381578947368421,0.825,-0.013157894736842146
banking77,ce_recon,0.25,13,mahalanobis_diag,false_accept_rate,0.1581896551724138,0.1456896551724138,-0.012499999999999983
banking77,ce_recon,0.25,13,mahalanobis_diag,false_reject_rate,0.1618421052631579,0.175,0.01315789473684209
banking77,ce_recon,0.25,13,mahalanobis_diag,auroc,0.9116430353901998,0.912818171506352,0.0011751361161522755
banking77,ce_recon,0.25,13,mahalanobis_diag,aupr_oos,0.9638548533726778,0.9627173147340556,-0.0011375386386222042
banking77,ce_recon,0.25,42,mahalanobis_diag,oos_f1,0.871264367816092,0.9030669353033356,0.03180256748724364
banking77,ce_recon,0.25,42,mahalanobis_diag,near_oos_f1,0.4236842105263158,0.5806451612903226,0.15696095076400685
banking77,ce_recon,0.25,42,mahalanobis_diag,id_recall,0.8223684210526316,0.8289473684210527,0.006578947368421018
banking77,ce_recon,0.25,42,mahalanobis_diag,false_accept_rate,0.1831896551724137,0.130603448275862,-0.05258620689655169
banking77,ce_recon,0.25,42,mahalanobis_diag,false_reject_rate,0.1776315789473684,0.1710526315789473,-0.006578947368421101
banking77,ce_recon,0.25,42,mahalanobis_diag,auroc,0.8968449410163339,0.914739110707804,0.017894169691470063
banking77,ce_recon,0.25,42,mahalanobis_diag,aupr_oos,0.9539832981497188,0.9632406909095425,0.009257392759823624
banking77,ce_recon,0.25,87,mahalanobis_diag,oos_f1,0.8888387824126268,0.8911245249273418,0.002285742514715028
banking77,ce_recon,0.25,87,mahalanobis_diag,near_oos_f1,0.4685138539042821,0.5655172413793104,0.09700338747502829
banking77,ce_recon,0.25,87,mahalanobis_diag,id_recall,0.8105263157894737,0.7894736842105263,-0.021052631578947323
banking77,ce_recon,0.25,87,mahalanobis_diag,false_accept_rate,0.1504310344827586,0.1409482758620689,-0.009482758620689702
banking77,ce_recon,0.25,87,mahalanobis_diag,false_reject_rate,0.1894736842105263,0.2105263157894736,0.021052631578947295
banking77,ce_recon,0.25,87,mahalanobis_diag,auroc,0.9030166742286752,0.9069827586206896,0.003966084392014402
banking77,ce_recon,0.25,87,mahalanobis_diag,aupr_oos,0.958240898227595,0.960773310157168,0.0025324119295730974
banking77,ce_recon,0.25,100,mahalanobis_diag,oos_f1,0.8930590097219082,0.9118165784832452,0.01875756876133694
banking77,ce_recon,0.25,100,mahalanobis_diag,near_oos_f1,0.5236907730673317,0.6153846153846154,0.09169384231728372
banking77,ce_recon,0.25,100,mahalanobis_diag,id_recall,0.8315789473684211,0.8052631578947369,-0.02631578947368418
banking77,ce_recon,0.25,100,mahalanobis_diag,false_accept_rate,0.1487068965517241,0.1086206896551724,-0.04008620689655169
banking77,ce_recon,0.25,100,mahalanobis_diag,false_reject_rate,0.1684210526315789,0.1947368421052631,0.02631578947368421
banking77,ce_recon,0.25,100,mahalanobis_diag,auroc,0.9112085980036296,0.9150618194192376,0.0038532214156079547
banking77,ce_recon,0.25,100,mahalanobis_diag,aupr_oos,0.9605403106243624,0.9641029407534016,0.003562630129039235
