dataset,kir,data_seed,split,known_sample_count,nearest_center_accuracy,margin_mean,margin_median,margin_bottom10
clinc150,50,13,val,1500,0.9526666666666667,0.24200880902493213,0.2397284456961909,0.05290713666353768
clinc150,50,13,test,2250,0.9542222222222222,0.23884828904754465,0.23443957038594498,0.054719332050406425
clinc150,50,42,val,1500,0.9506666666666667,0.24119314326050872,0.2424953255416022,0.051470148927145576
clinc150,50,42,test,2250,0.9466666666666667,0.24140282352782955,0.2424223953460285,0.05740615576692228
clinc150,50,87,val,1500,0.9593333333333334,0.24989728872305386,0.24083228280051355,0.05662439541935565
clinc150,50,87,test,2250,0.948,0.24686534820471226,0.2366279949333312,0.04934148339794499
banking77_oos,50,13,val,787,0.8767471410419314,0.139231747570245,0.14495999910514534,-0.017324424384536637
banking77_oos,50,13,test,1000,0.864,0.1339643397197679,0.1459322495854543,-0.05338131025515201
banking77_oos,50,42,val,749,0.8851802403204272,0.15505720812772816,0.16309227737259935,-0.013504165695343805
banking77_oos,50,42,test,1000,0.85,0.13768724849074818,0.1516321765133135,-0.0786376438822739
banking77_oos,50,87,val,750,0.86,0.15997464075689136,0.17488477759066756,-0.0482881368027765
banking77_oos,50,87,test,1000,0.836,0.14205866036858342,0.16481563794606985,-0.08193612165140764
stackoverflow,50,13,val,998,0.8847695390781564,0.2454320191953966,0.2748266726431232,-0.015767645970082914
stackoverflow,50,13,test,2996,0.8751668891855807,0.24314427601612065,0.2823621568362248,-0.03783842261492171
stackoverflow,50,42,val,998,0.8907815631262525,0.23626376057169426,0.2457473452150189,-0.011093566495847588
stackoverflow,50,42,test,2993,0.8703641830938857,0.2298136557057589,0.24144858597652996,-0.02754534772775118
stackoverflow,50,87,val,998,0.9098196392785571,0.3025224719973471,0.33003706831757773,0.015369415700012413
stackoverflow,50,87,test,2994,0.9048096192384769,0.3037212422674078,0.3434678571253057,0.009656404599789004
