dataset,kir,data_seed,representation,representation_dim,train_known_count,val_known_count,linear_probe_val_macro_f1,purity_at_10,relative_separation,effective_rank,uniformity,same_intent_alignment,status
clinc150,50,42,ce,384,7500,1500,0.97563590316607,0.9704666666666668,0.9697209374499,62.9137666452435,-3.50652910166001,0.9404469225825004,complete
clinc150,50,42,supcon,384,7500,1500,0.9704428662088752,0.9581333333333332,0.8330035957406784,86.1154384913249,-3.5299358505343026,0.713173177651739,complete
clinc150,50,42,frozen,384,7500,1500,0.9636720450935456,0.8956666666666667,0.658103384591011,149.39417380808987,-3.5040241462582262,0.5194934575074621,complete
clinc150,50,13,ce,384,7500,1500,0.9644347691118448,0.9611333333333332,0.9630419279512004,61.11209475340192,-3.5269316333128,0.927296436217599,complete
clinc150,50,13,supcon,384,7500,1500,0.9718839414499844,0.9530666666666666,0.7918295512200445,96.87041713914977,-3.529502213624205,0.6535169553089101,complete
clinc150,50,87,ce,384,7500,1500,0.9737416213049852,0.9736,0.9753528094352674,65.18397284044164,-3.5305570198851246,0.95068867002014,complete
clinc150,50,87,supcon,384,7500,1500,0.9845848847823948,0.9678666666666668,0.8705989511189887,76.69544336826414,-3.552236745190718,0.7651564264795583,complete
banking77_oos,50,42,ce,384,2933,749,0.9269745441173696,0.90173564753004,0.9176067042738943,27.07826485738702,-3.088282248738857,0.840339724888461,complete
banking77_oos,50,42,supcon,384,2933,749,0.9236335830135072,0.8778371161548731,0.7539710425325481,42.7819577866402,-2.432800693413675,0.7357507825986164,complete
banking77_oos,50,13,ce,384,3090,787,0.9255884840325797,0.9064803049555272,0.9109061696919412,27.76784922701519,-3.108119999158137,0.8271454064834546,complete
banking77_oos,50,13,supcon,384,3090,787,0.937338550445842,0.8994917407878018,0.8025869815013185,37.81477772944648,-2.641613116641539,0.7453221524335457,complete
banking77_oos,50,87,ce,384,2938,750,0.9192159393186408,0.8992,0.9138923822274364,27.08993516768239,-3.0830142696051848,0.8411588960400102,complete
banking77_oos,50,87,supcon,384,2938,750,0.922445047030835,0.8938666666666667,0.7751732171219055,39.85986755454513,-2.4678188522610376,0.7450559559943736,complete
stackoverflow,50,42,ce,384,5995,998,0.9300124282024662,0.9186372745490982,0.9544789363787914,11.694317953540862,-2.4060016256735,0.9073024615400858,complete
stackoverflow,50,42,supcon,384,5995,998,0.92814829114278,0.911623246492986,0.9206847014841067,14.0273037926616,-1.875000297802484,0.9093074617963346,complete
stackoverflow,50,13,ce,384,5997,998,0.9219115578766056,0.9138276553106212,0.9482896385787242,12.08622470711808,-2.4330877526852257,0.8913530760507268,complete
stackoverflow,50,13,supcon,384,5997,998,0.925073037818532,0.9123246492985972,0.9122646635025512,14.547117483033874,-1.880371392274976,0.8982268291732731,complete
stackoverflow,50,87,ce,384,5997,998,0.9569111422190486,0.950501002004008,0.9423229135424328,13.245408751141133,-2.454700386377504,0.8918227367522219,complete
stackoverflow,50,87,supcon,384,5997,998,0.9588807180011546,0.9476953907815632,0.8936275106873887,18.08853024597947,-1.9385705221075744,0.8833090896091089,complete
clinc150,50,13,frozen,384,7500,1500,0.9671323518125322,0.9043333333333333,0.6633184493170403,148.5533630503203,-3.493353542715478,0.5283525364914233,complete
clinc150,50,87,frozen,384,7500,1500,0.9805186899357122,0.9102,0.6620942810765443,151.35457983227488,-3.5261544103698585,0.5180428492936462,complete
banking77_oos,50,13,frozen,384,3090,787,0.9193137193378143,0.8616264294790343,0.5255877286387307,71.27726906940029,-2.6713707459924385,0.5535858315401854,complete
banking77_oos,50,42,frozen,384,2933,749,0.9239129905099693,0.8700934579439252,0.5759512765899081,70.23585272782381,-2.840191251558901,0.5439763300055659,complete
banking77_oos,50,87,frozen,384,2938,750,0.9080420468730109,0.8713333333333333,0.5406167987836749,71.45814121963618,-2.768388008038308,0.5421860803312787,complete
stackoverflow,50,13,frozen,384,5997,998,0.9067574666300384,0.8218436873747496,0.420756677330125,149.73300648029416,-3.702835175898335,0.2296833224315015,complete
stackoverflow,50,42,frozen,384,5995,998,0.902224200578118,0.8039078156312626,0.4033695968816392,148.04749159657732,-3.6908741296452647,0.237193629767421,complete
stackoverflow,50,87,frozen,384,5997,998,0.9423443935949101,0.8658316633266533,0.44956711950207473,146.24883920643515,-3.712605671587135,0.24734116230205805,complete
