dataset,kir,data_seed,k_gate,bucket,oos_count,representation_collision_rate,boundary_overcoverage_rate,false_accept_rate,false_accept_count,false_accept_representation_collision_rate,false_accept_boundary_overcoverage_rate,correct_rejection_rate,mean_nearest_cosine,validation_q20,validation_q80
clinc150,50,13,1,near,536,0.7164179104477612,0.026119402985074626,0.4552238805970149,244,0.9426229508196722,0.05737704918032787,0.5447761194029851,0.6486858720007954,0.43854425167063577,0.6857473545917059
clinc150,50,13,1,medium,1851,0.22312263641274988,0.002701242571582928,0.022690437601296597,42,0.8809523809523809,0.11904761904761904,0.9773095623987034,0.426954630009016,0.43854425167063577,0.6857473545917059
clinc150,50,13,1,far,863,0.04287369640787949,0.0,0.0,0,,,1.0,0.24147305682540146,0.43854425167063577,0.6857473545917059
clinc150,50,13,1,all,3250,0.25661538461538463,0.005846153846153846,0.088,286,0.9335664335664335,0.06643356643356643,0.912,0.414270737101365,0.43854425167063577,0.6857473545917059
clinc150,50,13,2,near,536,0.7164179104477612,0.027985074626865673,0.3246268656716418,174,0.9137931034482759,0.08620689655172414,0.6753731343283582,0.6486858720007954,0.43854425167063577,0.6857473545917059
clinc150,50,13,2,medium,1851,0.22312263641274988,0.008103727714748784,0.019448946515397084,36,0.5833333333333334,0.4166666666666667,0.9805510534846029,0.426954630009016,0.43854425167063577,0.6857473545917059
clinc150,50,13,2,far,863,0.04287369640787949,0.0,0.0,0,,,1.0,0.24147305682540146,0.43854425167063577,0.6857473545917059
clinc150,50,13,2,all,3250,0.25661538461538463,0.009230769230769232,0.06461538461538462,210,0.8571428571428571,0.14285714285714285,0.9353846153846154,0.414270737101365,0.43854425167063577,0.6857473545917059
clinc150,50,42,1,near,510,0.6843137254901961,0.0058823529411764705,0.3215686274509804,164,0.9817073170731707,0.018292682926829267,0.6784313725490196,0.6429161972869604,0.4340781280666274,0.6877058361176551
clinc150,50,42,1,medium,1879,0.26237360298030865,0.0,0.025013304949441192,47,1.0,0.0,0.9749866950505588,0.43194152998869295,0.4340781280666274,0.6877058361176551
clinc150,50,42,1,far,861,0.04529616724738676,0.0,0.0,0,,,1.0,0.2437309207875368,0.4340781280666274,0.6877058361176551
clinc150,50,42,1,all,3250,0.2710769230769231,0.0009230769230769231,0.06492307692307692,211,0.985781990521327,0.014218009478672985,0.935076923076923,0.4151869902348225,0.4340781280666274,0.6877058361176551
clinc150,50,42,2,near,510,0.6843137254901961,0.00392156862745098,0.24705882352941178,126,0.9841269841269841,0.015873015873015872,0.7529411764705882,0.6429161972869604,0.4340781280666274,0.6877058361176551
clinc150,50,42,2,medium,1879,0.26237360298030865,0.004257583821181479,0.017562533262373604,33,0.7575757575757576,0.24242424242424243,0.9824374667376264,0.43194152998869295,0.4340781280666274,0.6877058361176551
clinc150,50,42,2,far,861,0.04529616724738676,0.0,0.0,0,,,1.0,0.2437309207875368,0.4340781280666274,0.6877058361176551
clinc150,50,42,2,all,3250,0.2710769230769231,0.003076923076923077,0.04892307692307692,159,0.9371069182389937,0.06289308176100629,0.951076923076923,0.4151869902348225,0.4340781280666274,0.6877058361176551
clinc150,50,87,1,near,496,0.6451612903225806,0.006048387096774193,0.3064516129032258,152,0.9802631578947368,0.019736842105263157,0.6935483870967742,0.6329699447096266,0.43513185641017976,0.6714788132837478
clinc150,50,87,1,medium,1791,0.17699609156895588,0.0027917364600781687,0.021775544388609715,39,0.8717948717948718,0.1282051282051282,0.9782244556113903,0.44417505837947785,0.43513185641017976,0.6714788132837478
clinc150,50,87,1,far,963,0.033229491173416406,0.0,0.0,0,,,1.0,0.2539887297120941,0.43513185641017976,0.6714788132837478
clinc150,50,87,1,all,3250,0.20584615384615385,0.0024615384615384616,0.05876923076923077,191,0.9581151832460733,0.041884816753926704,0.9412307692307692,0.41663439041426653,0.43513185641017976,0.6714788132837478
clinc150,50,87,2,near,496,0.6451612903225806,0.010080645161290322,0.2056451612903226,102,0.9509803921568627,0.049019607843137254,0.7943548387096774,0.6329699447096266,0.43513185641017976,0.6714788132837478
clinc150,50,87,2,medium,1791,0.17699609156895588,0.0016750418760469012,0.007816862088218872,14,0.7857142857142857,0.21428571428571427,0.9921831379117811,0.44417505837947785,0.43513185641017976,0.6714788132837478
