dataset,representation,k_name,group,mean_false_accept_rate,mean_representation_collision_rate,mean_boundary_overcoverage_rate,unit_count
banking77_oos,ce,1,all,0.1137445887445887,0.4640692640692641,0.001948051948051933,3
banking77_oos,ce,1,far,0.0,0.1509238784735459,0.0,3
banking77_oos,ce,1,medium,0.013312790763568866,0.4955015423719902,0.0,3
banking77_oos,ce,1,near,0.6645749430086105,0.945861143535562,0.011595482525715033,3
banking77_oos,ce,2,all,0.15876623376623375,0.4640692640692641,0.029112554112554073,3
banking77_oos,ce,2,far,0.004107105486673433,0.1509238784735459,0.0034330239228042,3
banking77_oos,ce,2,medium,0.12313343910032393,0.4955015423719902,0.04772450602606676,3
banking77_oos,ce,2,near,0.5692001094779578,0.945861143535562,0.0167883830674528,3
banking77_oos,ce,frozen_selected_k,all,0.11742424242424239,0.4640692640692641,0.007142857142857099,3
banking77_oos,ce,frozen_selected_k,far,0.0017226129185537332,0.1509238784735459,0.0007114905727499,3
banking77_oos,ce,frozen_selected_k,medium,0.04848181671227777,0.4955015423719902,0.009604669747018466,3
banking77_oos,ce,frozen_selected_k,near,0.5638368182004637,0.945861143535562,0.010951981882214398,3
banking77_oos,frozen,1,all,0.23658008658008653,0.49956709956709955,0.005519480519480434,3
banking77_oos,frozen,1,far,0.0,0.04961667256746216,0.0,3
banking77_oos,frozen,1,medium,0.19367024550073997,0.6994401120836208,0.007209627290545366,3
banking77_oos,frozen,1,near,0.9270488018668012,0.9750867684115437,0.013161856764766467,3
banking77_oos,frozen,2,all,0.21829004329004323,0.49956709956709955,0.020454545454545402,3
banking77_oos,frozen,2,far,0.0034759849790850002,0.04961667256746216,0.0011599783565633666,3
banking77_oos,frozen,2,medium,0.2231897710730939,0.6994401120836208,0.0404385942796997,3
banking77_oos,frozen,2,near,0.7141012349720812,0.9750867684115437,0.0065809283823832,3
banking77_oos,frozen,frozen_selected_k,all,0.16082251082251078,0.49956709956709955,0.013311688311688266,3
banking77_oos,frozen,frozen_selected_k,far,0.0026179607977152,0.04961667256746216,0.0020402600467042,3
banking77_oos,frozen,frozen_selected_k,medium,0.1298478988552327,0.6994401120836208,0.022819347952819966,3
banking77_oos,frozen,frozen_selected_k,near,0.6200973095330858,0.9750867684115437,0.010451829664495467,3
banking77_oos,frozen,tuned_selected_k,all,0.2399350649350649,0.49956709956709955,0.025216450216450168,3
banking77_oos,frozen,tuned_selected_k,far,0.0072670279330517675,0.04961667256746216,0.005524771970935934,3
banking77_oos,frozen,tuned_selected_k,medium,0.22641703852782066,0.6994401120836208,0.04458550668191433,3
banking77_oos,frozen,tuned_selected_k,near,0.826600465168669,0.9750867684115437,0.011806843214630968,3
banking77_oos,supcon,1,all,0.1356060606060606,0.45086580086580086,0.0010822510822510666,3
banking77_oos,supcon,1,far,0.0,0.0538346762007868,0.0,3
banking77_oos,supcon,1,medium,0.0269430915558181,0.5929887025010202,0.00023691068467186665,3
banking77_oos,supcon,1,near,0.8084797727765833,0.9844716726825644,0.005999999999999999,3
banking77_oos,supcon,2,all,0.17002164502164496,0.45086580086580086,0.024891774891774864,3
banking77_oos,supcon,2,far,0.003184796333821,0.0538346762007868,0.002317874111400033,3
banking77_oos,supcon,2,medium,0.1808920777008899,0.5929887025010202,0.0502628590438852,3
banking77_oos,supcon,2,near,0.5500310459772383,0.9844716726825644,0.0020220385674931,3
banking77_oos,supcon,frozen_selected_k,all,0.12575757575757573,0.45086580086580086,0.013419913419913367,3
banking77_oos,supcon,frozen_selected_k,far,0.0014581555406840332,0.0538346762007868,0.0014581555406840332,3
banking77_oos,supcon,frozen_selected_k,medium,0.08281207888460713,0.5929887025010202,0.0243756822251875,3
banking77_oos,supcon,frozen_selected_k,near,0.5563577716851745,0.9844716726825644,0.006688705234159767,3
banking77_oos,unsupervised_simcse,1,all,0.2551948051948052,0.6483766233766234,0.0025974025974025,1
banking77_oos,unsupervised_simcse,1,far,0.0,0.2631578947368421,0.0,1
banking77_oos,unsupervised_simcse,1,medium,0.2284139620330679,0.7875076546233926,0.0048989589712186,1
banking77_oos,unsupervised_simcse,1,near,0.8997821350762527,0.982570806100218,0.0,1
banking77_oos,unsupervised_simcse,2,all,0.2168831168831168,0.6483766233766234,0.0136363636363636,1
banking77_oos,unsupervised_simcse,2,far,0.0080971659919028,0.2631578947368421,0.0020242914979757,1
banking77_oos,unsupervised_simcse,2,medium,0.2063686466625842,0.7875076546233926,0.0214329454990814,1
banking77_oos,unsupervised_simcse,2,near,0.7037037037037037,0.982570806100218,0.0108932461873638,1
banking77_oos,unsupervised_simcse,frozen_selected_k,all,0.1068181818181818,0.6483766233766234,0.0116883116883116,1
banking77_oos,unsupervised_simcse,frozen_selected_k,far,0.0111336032388663,0.2631578947368421,0.0050607287449392,1
banking77_oos,unsupervised_simcse,frozen_selected_k,medium,0.0998162890385793,0.7875076546233926,0.0177587262706674,1
banking77_oos,unsupervised_simcse,frozen_selected_k,near,0.3376906318082788,0.982570806100218,0.0043572984749455,1
clinc150,ce,1,all,0.03384615384615377,0.23856410256410254,0.0011282051282051,3
clinc150,ce,1,far,0.0,0.058319604568615534,0.0,3
clinc150,ce,1,medium,0.0,0.1867623139153697,0.0,3
