dataset,kir,data_seed,known_train_count,intra_pair_count,inter_pair_count,intra_distance,inter_distance,relative_separation
clinc150,50,13,7500,98960,98588,0.47995186120324096,0.912209633982391,0.4738579342689711
clinc150,50,42,7500,98960,98674,0.4884161155297647,0.9170817481346221,0.4674235786251105
clinc150,50,87,7500,99024,98679,0.4854605741436731,0.9184596530532363,0.47144050091927714
banking77_oos,50,13,3090,99115,95855,0.44900974959981654,0.7386261672028753,0.39210148578923965
banking77_oos,50,42,2933,99128,95917,0.4581384342028338,0.781277758842958,0.4136036396565045
banking77_oos,50,87,2938,99113,95948,0.46962611877293536,0.7704295236195408,0.3904359784051453
stackoverflow,50,13,5997,99814,89769,0.7696422032806325,0.9839581679082562,0.217810036663679
stackoverflow,50,42,5995,99838,89964,0.7686191254208526,0.9775183774100219,0.2137036569508361
stackoverflow,50,87,5997,99849,90051,0.7533490402627823,0.9868765900827191,0.23663298143526007
