dataset,representation,k,oos_f1,near_oos_f1,id_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
banking77,ce_recon,1,0.7087963924812298,0.24491087483553048,0.8426542649727768,0.3359912435819877,0.1573457350272232,0.8485321870104083,0.7669047726459595
banking77,ce_recon,2,0.7218829446572833,0.3186604558927349,0.8291651542649727,0.30842089751345647,0.17083484573502716,0.8542504042766067,0.7669310957313396
banking77,ce_recon_geometry,1,0.7281404257057351,0.22315199575541703,0.8411494252873564,0.30793425318379947,0.15885057471264366,0.8591760018691733,0.7809640834430766
banking77,ce_recon_geometry,2,0.7346419011545098,0.29221245610272817,0.8284875983061101,0.28930530348860656,0.17151240169388987,0.8628838640312096,0.7821050846337368
banking77,frozen_minilm,1,0.765807443017281,0.22054248782318295,0.8420871143375681,0.25069675182651585,0.15791288566243192,0.876067586904928,0.8042883499153338
banking77,frozen_minilm,2,0.7677489086184334,0.3002585375649475,0.8138505747126437,0.2266630989498503,0.18614942528735626,0.8757074850311012,0.8026699991495266
clinc150,ce_recon,1,0.8893567555001093,0.6003280024668953,0.7827212475633528,0.07291317386740723,0.21727875243664713,0.9278281967585454,0.9208420175058148
clinc150,ce_recon,2,0.8878430094215829,0.6133364363547179,0.7549906989696463,0.0609606876723581,0.24500930103035362,0.9287381987870036,0.9221181743965191
clinc150,ce_recon_geometry,1,0.8933209485797878,0.6036022992909624,0.7739291562238931,0.059983176540384736,0.2260708437761069,0.9321161762262418,0.9249456508087194
clinc150,ce_recon_geometry,2,0.8899686381211349,0.6124611798868455,0.747764216095795,0.05206554336417031,0.2522357839042049,0.9330131622362461,0.9268004759320718
clinc150,frozen_minilm,1,0.8850312839930946,0.5660970535275752,0.7553322472848788,0.061259066935268267,0.2446677527151211,0.9285492024408979,0.9268246940601902
clinc150,frozen_minilm,2,0.8793024978619163,0.575488224180777,0.7079708159287107,0.045557896040733535,0.2920291840712893,0.9267380023992583,0.9287719630114419
stackoverflow,ce_recon,1,0.8619043210168443,0.5844204484754673,0.8462962962962963,0.0856296296296296,0.15370370370370365,0.9293176567901235,0.8658448687822679
stackoverflow,ce_recon,2,0.344462787259731,0.1378944302570616,0.9728740740740741,0.7691333333333333,0.027125925925925887,0.8826942864197531,0.7906599852349186
stackoverflow,ce_recon_geometry,1,0.8664256816395742,0.5807330496485924,0.8395851851851852,0.069637037037037,0.16041481481481476,0.9252614567901234,0.8560987340331512
stackoverflow,ce_recon_geometry,2,0.3811882321019643,0.13741088827914846,0.9710444444444445,0.7394666666666667,0.02895555555555552,0.8936112666666667,0.8089621113267288
stackoverflow,frozen_minilm,1,0.7811489352002534,0.4127727545067337,0.836562962962963,0.21666666666666665,0.163437037037037,0.8946742370370371,0.8322167088679393
stackoverflow,frozen_minilm,2,0.689658519372588,0.2843126290082811,0.8754518518518518,0.3796,0.1245481481481481,0.8634819481481482,0.7875711476814804
