dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,1,0.25,1.05,nearest_sphere,3,0.8856335515043599,0.004771003050700195,0.7047396798720008,0.010478229115654304,0.7538120911577448,0.011710645528260677,0.8178921568627451,0.006242386109442157,0.755701754385965,0.010503447381428109,0.08997395833333333,0.006554537994090216,0.2442982456140351,0.01050344738142812,0.0,0.0,0.12311558446180439,0.006825668251432203,86.49,2.0733551504359866,True
banking77_oos,all_test_candidates,1,0.25,1.05,normalized_union,3,0.8856335515043599,0.004771003050700195,0.7047396798720008,0.010478229115654304,0.7538120911577448,0.011710645528260677,0.8178921568627451,0.006242386109442157,0.755701754385965,0.010503447381428109,0.08997395833333333,0.006554537994090216,0.2442982456140351,0.01050344738142812,0.0,0.0,0.12311558446180439,0.006825668251432203,86.49,2.0733551504359866,True
banking77_oos,all_test_candidates,1,0.5,1.0,normalized_union,3,0.8839876116371094,0.0045215897562598415,0.6999818489929738,0.009605256608855554,0.7459408888094292,0.010748407825382363,0.81609477124183,0.006051269342202987,0.7390350877192983,0.0083965744381915,0.08515625,0.0072098271874516265,0.2609649122807018,0.008396574438191506,0.0,0.0,0.12084195475417565,0.006639521578476221,86.49,1.908761163710949,True
banking77_oos,all_test_candidates,1,1.0,0.95,nearest_sphere,3,0.8839563546550563,0.006065099161321745,0.7071383836601077,0.0063476826121332125,0.7656071074037278,0.008335346860177905,0.8156045751633987,0.006332621691201318,0.7846491228070175,0.008222953183882756,0.10664062499999999,0.01004040502534219,0.21535087719298243,0.008222953183882751,0.0,0.0,0.12747473801588965,0.005113449719827201,86.49,1.9056354655056396,True
banking77_oos,all_test_candidates,1,0.5,1.0,nearest_sphere,3,0.8839322691863831,0.004512807813186433,0.700038196983863,0.009551227554229874,0.7460244309982347,0.010641881316323211,0.81609477124183,0.006051269342202987,0.7388157894736841,0.008644913747555693,0.08515625,0.0072098271874516265,0.2611842105263158,0.008644913747555716,0.0,0.0,0.12058017578568787,0.006285363380464216,86.49,1.9032269186383104,True
banking77_oos,all_test_candidates,1,1.0,0.95,normalized_union,3,0.8833523034688566,0.005731373397470092,0.7062686489161444,0.006318508260145126,0.7656951123370989,0.008221476285111112,0.8147058823529413,0.006093040634635298,0.7861842105263158,0.009036577972823022,0.10846354166666666,0.009333312988259073,0.2138157894736842,0.00903657797282304,0.0,0.0,0.1283405895751545,0.004413832810199358,86.49,1.8452303468856712,True
banking77_oos,all_test_candidates,1,0.75,1.0,nearest_sphere,3,0.8831754867640716,0.005300554027566855,0.7106257375991868,0.005115123636178148,0.7772995192539264,0.005614387193987105,0.8143790849673204,0.005679133070909381,0.811842105263158,0.00560820695287038,0.12083333333333333,0.008233039041425643,0.18815789473684208,0.005608206952870357,0.0,0.0,0.13129253578125133,0.0034128942392577946,86.49,1.8275486764071758,True
banking77_oos,all_test_candidates,1,0.75,1.0,normalized_union,3,0.8825486587304963,0.005024709889559998,0.7098478009098198,0.004745240121224083,0.7772480694913085,0.0055564811726754315,0.8135620915032679,0.0052656480536999875,0.8125,0.00653494053761022,0.122265625,0.007540850122692841,0.1875,0.006534940537610236,0.0,0.0,0.13172284257350161,0.0031982673463207467,86.49,1.7648658730496294,True
banking77_oos,all_test_candidates,1,1.25,0.9,nearest_sphere,3,0.8821658909925784,0.0073584656807822195,0.6989648813244393,0.009788933013143422,0.7498560830871163,0.008867168558264152,0.8137254901960785,0.008581932058829183,0.7513157894736842,0.012563320690703983,0.09427083333333335,0.010370993620697853,0.2486842105263158,0.012563320690703957,0.0,0.0,0.12319533515783292,0.0024504369794495955,86.49,1.7265890992578363,True
banking77_oos,all_test_candidates,1,1.25,0.9,normalized_union,3,0.881678619938107,0.007043852517002018,0.698118546605898,0.009972153495475398,0.7499973748840665,0.0091543379144655,0.812908496732026,0.008429694062039262,0.7532894736842106,0.012563320690703931,0.09609375000000002,0.009887263284671686,0.24671052631578946,0.012563320690703957,0.0,0.0,0.12433650614835744,0.002216626086741617,86.49,1.6778619938107084,True
