dataset,seed,k,radius_lambda,threshold,acceptance_mode,split,full_pipeline_evaluation_mode,direct_pipeline_verified,oos_f1,f1_all,known_macro_f1,overall_accuracy,known_recall,false_accept_rate,false_reject_rate,router_error_rate,expert_error_rate,stage_count_correct_oos_rejection,stage_count_oos_accepted_by_gate,stage_count_known_rejected_by_gate,stage_count_known_wrong_domain,stage_count_known_wrong_expert,stage_count_correct_known_prediction,selected_by_validation,paper_known_f1,paper_accuracy
clinc150,13,2,2.0,0.95,normalized_union,test,direct_pipeline,True,0.8994853163790494,0.7928635777723336,0.8381051585670344,0.8550909090909091,0.8288888888888889,0.08584615384615385,0.1711111111111111,0.029490616621983913,0.0418230563002681,2971,279,385,55,78,1732,True,79.95,86.78
clinc150,42,2,2.0,0.95,normalized_union,test,direct_pipeline,True,0.9132120489114226,0.8092732628725368,0.8415899135527372,0.8723636363636363,0.8248888888888889,0.057846153846153846,0.1751111111111111,0.029094827586206896,0.03556034482758621,3062,188,394,54,66,1736,True,79.95,86.78
clinc150,87,2,2.0,0.95,normalized_union,test,direct_pipeline,True,0.9186445738169876,0.810225394211769,0.8385699614743402,0.8758181818181818,0.8346666666666667,0.05323076923076923,0.16533333333333333,0.028221512247071354,0.045260915867944625,3077,173,372,53,85,1740,True,79.95,86.78
stackoverflow,13,1,1.0,0.95,nearest_sphere,test,direct_pipeline,True,0.8925111487005998,0.8132361394680537,0.8188307911456917,0.8530884808013356,0.7973965287049399,0.03072812291249165,0.20260347129506007,0.0,0.0757639179573043,2902,92,607,0,181,2208,True,75.48,85.54
stackoverflow,42,1,1.0,0.95,nearest_sphere,test,direct_pipeline,True,0.9098196392785571,0.8479581953329111,0.8484349295158271,0.8789649415692822,0.8199131306381557,0.015348682015348681,0.18008686936184432,0.0,0.05704971475142624,2951,46,539,0,140,2314,True,75.48,85.54
stackoverflow,87,1,1.0,0.95,nearest_sphere,test,direct_pipeline,True,0.8720228644013973,0.8360764772318402,0.8671388630013585,0.8520868113522537,0.8142952571810287,0.08344459279038718,0.18570474281897129,0.0,0.03281378178835111,2746,250,556,0,80,2358,True,75.48,85.54
banking77_oos,13,1,0.75,0.95,normalized_union,test,direct_pipeline,True,0.9157175398633257,0.7048526683893329,0.7871549866161923,0.8588235294117647,0.748,0.08636363636363636,0.252,0.0,0.07754010695187166,2814,266,252,0,58,690,True,74.9,78.98
banking77_oos,42,1,0.75,0.95,normalized_union,test,direct_pipeline,True,0.9146341463414634,0.6766622442851803,0.748049542669147,0.8551470588235294,0.698,0.07467532467532467,0.302,0.0,0.08452722063037249,2850,230,302,0,59,639,True,74.9,78.98
banking77_oos,87,1,0.75,0.95,normalized_union,test,direct_pipeline,True,0.9155427103403982,0.6697175592033457,0.7399101369455029,0.8536764705882353,0.703,0.07435064935064935,0.297,0.0,0.10099573257467995,2851,229,297,0,71,632,True,74.9,78.98
