protocol_version,experiment,dataset,kir,seed,method,representation,threshold_selection,embedding_reused_within_matrix,run_id,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,fpr95,known_macro_f1,f1_all,accuracy,combined_oos_f1,combined_auroc,combined_false_accept_rate,heldout_intent_oos_f1,heldout_intent_auroc,heldout_intent_false_accept_rate,native_oos_f1,native_auroc,native_false_accept_rate
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,13,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_energy,0.6112094395280236,0.9682242990654205,0.44655172413793104,0.9552631578947368,0.553448275862069,0.04473684210526316,0.8970746370235935,0.9562515203931787,0.3631578947368421,0.5438728569226031,0.5472396860528741,0.5642857142857143,0.6112094395280236,0.8970746370235935,0.553448275862069,0.6112094395280236,0.8970746370235935,0.553448275862069,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,13,knn,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_knn,0.6847856542448866,0.978382706164932,0.5267241379310345,0.9644736842105264,0.4732758620689655,0.035526315789473684,0.9256249999999999,0.9689528213649714,0.2789473684210526,0.5709513774842536,0.5766430913222853,0.6253246753246753,0.6847856542448866,0.9256249999999999,0.4732758620689655,0.6847856542448866,0.9256249999999999,0.4732758620689655,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,13,lof,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_lof,0.504169339320077,0.9849624060150376,0.33879310344827585,0.9842105263157894,0.6612068965517242,0.015789473684210527,0.9058152790381127,0.9616765438664999,0.375,0.5027725614808035,0.5028424003727672,0.4876623376623377,0.504169339320077,0.9058152790381127,0.6612068965517242,0.504169339320077,0.9058152790381127,0.6612068965517242,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,13,msp,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_msp,0.6890616324264298,0.96801872074883,0.5349137931034482,0.9460526315789474,0.4650862068965517,0.05394736842105263,0.8963798774954629,0.9563635132038328,0.4118421052631579,0.5895431277491902,0.5945190529830522,0.6298701298701299,0.6890616324264298,0.8963798774954629,0.4650862068965517,0.6890616324264298,0.8963798774954629,0.4650862068965517,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,42,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_energy,0.7435082140964494,0.9649243466299863,0.6047413793103448,0.9328947368421052,0.39525862068965517,0.06710526315789474,0.9110248411978221,0.9637862178419587,0.34868421052631576,0.6255172235387277,0.6314167730666138,0.6827922077922078,0.7435082140964494,0.9110248411978221,0.39525862068965517,0.7435082140964494,0.9110248411978221,0.39525862068965517,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,42,knn,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_knn,0.7572406529752501,0.972936400541272,0.6198275862068966,0.9473684210526316,0.38017241379310346,0.05263157894736842,0.9304565562613432,0.9713921067374771,0.25263157894736843,0.6467834765547708,0.6523063353757947,0.698051948051948,0.7572406529752501,0.9304565562613432,0.38017241379310346,0.7572406529752501,0.9304565562613432,0.38017241379310346,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,42,lof,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_lof,0.5916167664670658,0.9686274509803922,0.42586206896551726,0.9578947368421052,0.5741379310344827,0.042105263157894736,0.8912477313974592,0.9547478087977062,0.41710526315789476,0.5556161232622895,0.5574161554225283,0.5548701298701298,0.5916167664670658,0.8912477313974592,0.5741379310344827,0.5916167664670658,0.8912477313974592,0.5741379310344827,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,42,msp,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_msp,0.7920590481038432,0.9670602858918583,0.6706896551724137,0.9302631578947369,0.3293103448275862,0.06973684210526315,0.9224166288566242,0.96670030995283,0.30394736842105263,0.6704509694101111,0.6765313733447977,0.7334415584415584,0.7920590481038432,0.9224166288566242,0.3293103448275862,0.7920590481038432,0.9224166288566242,0.3293103448275862,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,87,energy,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_energy,0.7139377537212449,0.9592727272727273,0.5685344827586207,0.9263157894736842,0.4314655172413793,0.07368421052631578,0.8961734346642467,0.9557169140369512,0.41710526315789476,0.6201876667259585,0.6248751710757228,0.6535714285714286,0.7139377537212449,0.8961734346642467,0.4314655172413793,0.7139377537212449,0.8961734346642467,0.4314655172413793,,,
protocol_v2_textoir_v1,native_baselines_v1,banking77,0.25,87,knn,frozen_minilm,known_only_conformal_alpha_0.05,True,protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_knn,0.7705470572984184,0.966818477553676,0.6405172413793103,0.9328947368421052,0.3594827586206897,0.06710526315789474,0.9288004764065336,0.9715212655882979,0.2736842105263158,0.6446941175043246,0.6509867644940293,0.7097402597402598,0.7705470572984184,0.9288004764065336,0.3594827586206897,0.7705470572984184,0.9288004764065336,0.3594827586206897,,,
