index,dataset,kir,method,oos_f1_mean,oos_f1_std,oos_f1_count,oos_precision_mean,oos_precision_std,oos_precision_count,oos_recall_mean,oos_recall_std,oos_recall_count,known_macro_f1_mean,known_macro_f1_std,known_macro_f1_count,f1_all_mean,f1_all_std,f1_all_count,accuracy_mean,accuracy_std,accuracy_count,known_recall_mean,known_recall_std,known_recall_count,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_count,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_count,auroc_mean,auroc_std,auroc_count,aupr_oos_mean,aupr_oos_std,aupr_oos_count,fpr95_mean,fpr95_std,fpr95_count,heldout_intent_oos_f1_mean,heldout_intent_oos_f1_std,heldout_intent_oos_f1_count,native_oos_f1_mean,native_oos_f1_std,native_oos_f1_count
0,banking77,0.25,energy,0.6801394389722091,0.07430153973114954,5,0.9650787721029621,0.004300337258473188,5,0.5292241379310345,0.08702275574719472,5,0.5995137753910357,0.03256015927361907,5,0.6035450585700943,0.033421067634245794,5,0.6255844155844156,0.06315097817820584,5,0.9415789473684211,0.011936756242149195,5,0.47077586206896554,0.08702275574719473,5,0.05842105263157895,0.011936756242149182,5,0.895912999092559,0.012951935396491766,5,0.956283693061402,0.006776928075703968,5,0.40815789473684216,0.05432633261607547,5,0.6801394389722091,0.07430153973114954,5,,,0
1,banking77,0.25,knn,0.7236135565596766,0.07436290148565415,5,0.9682661534821175,0.007401710448304286,5,0.5823275862068965,0.09285367197652646,5,0.6156167866738012,0.03551857424673776,5,0.6210166251680949,0.036879506651970415,5,0.6657792207792208,0.0670026356144909,5,0.9413157894736843,0.01871476375142015,5,0.4176724137931035,0.09285367197652646,5,0.05868421052631578,0.018714763751420112,5,0.9174242286751362,0.016162011299529818,5,0.9657240289708284,0.007110700198820014,5,0.3063157894736842,0.055407080759934904,5,0.7236135565596766,0.07436290148565415,5,,,0
2,banking77,0.25,lof,0.5860274951995814,0.10324815310802306,5,0.9755919888534927,0.007034197210978947,5,0.4253448275862069,0.10706605026849139,5,0.5493392330294122,0.0386522347472524,5,0.5511736461379206,0.04117593427665493,5,0.5533116883116883,0.07922523672790559,5,0.9671052631578947,0.013025651232383797,5,0.5746551724137932,0.1070660502684914,5,0.03289473684210527,0.01302565123238377,5,0.8985009641560799,0.012710382862907967,5,0.9571083119452325,0.008644811938536123,5,0.38578947368421057,0.025554786076442577,5,0.5860274951995814,0.10324815310802306,5,,,0
3,banking77,0.25,msp,0.724094001566754,0.05069342578889896,5,0.9652054234757964,0.0032820784677009525,5,0.581551724137931,0.06561528508013546,5,0.6274841918667952,0.050372292875084074,5,0.6323146823517931,0.050084515727627094,5,0.6650649350649351,0.05040556967112666,5,0.9360526315789475,0.008658254671769523,5,0.418448275862069,0.06561528508013542,5,0.06394736842105263,0.008658254671769526,5,0.9028337114337568,0.01302097289308862,5,0.9590935961029754,0.005295158143418519,5,0.38552631578947366,0.056571296912383315,5,0.724094001566754,0.05069342578889896,5,,,0
4,banking77,0.5,energy,0.6111386387885241,0.06249372920628936,5,0.8765638219019655,0.016249727315634944,5,0.47192307692307695,0.071193393952935,5,0.748701795197897,0.015493960367017114,5,0.7451745347771439,0.01667141984520296,5,0.6774025974025975,0.03309507175799581,5,0.9321052631578948,0.010874186058628636,5,0.5280769230769231,0.07119339395293504,5,0.06789473684210526,0.010874186058628625,5,0.8605619095816465,0.016933755377274366,5,0.8485549539397382,0.020351428994461036,5,0.5251315789473684,0.06394351027997455,5,0.6111386387885241,0.06249372920628936,5,,,0
5,banking77,0.5,knn,0.6085371774552581,0.023528662815640686,5,0.8884165270566043,0.010335940136766265,5,0.46307692307692305,0.025771303654349886,5,0.7489532648755265,0.0041010520292722496,5,0.7453528523775709,0.00458502588886273,5,0.6795454545454545,0.011600045509707712,5,0.9403947368421053,0.005192786121229147,5,0.5369230769230768,0.02577130365434989,5,0.05960526315789474,0.005192786121229241,5,0.8911925607287449,0.009830208550696896,5,0.8739353770805935,0.008948951961527472,5,0.3593421052631579,0.03174094959018126,5,0.6085371774552581,0.023528662815640686,5,,,0
6,banking77,0.5,lof,0.441080267698801,0.051080236080076356,5,0.8975738033960244,0.016573392073144535,5,0.29346153846153844,0.043585972687570355,5,0.7161944483281234,0.008479423560018597,5,0.7091402385683971,0.009251594388399202,5,0.6036363636363636,0.019440434950056904,5,0.9660526315789474,0.00440347382386351,5,0.7065384615384616,0.043585972687570376,5,0.03394736842105263,0.004403473823863556,5,0.8619310053981106,0.014894855628079845,5,0.8392979625889012,0.01873211812980234,5,0.4610526315789474,0.03161456324889344,5,0.441080267698801,0.051080236080076356,5,,,0
7,banking77,0.5,msp,0.6543774918214617,0.02160212418845876,5,0.8937762153012386,0.009079958399585893,5,0.5164102564102564,0.025092694689066615,5,0.7712512491037397,0.005655794822348616,5,0.7682544860965018,0.005866723575615496,5,0.707012987012987,0.013055016761431377,5,0.9371052631578948,0.004712106468281579,5,0.48358974358974366,0.025092694689066573,5,0.06289473684210527,0.004712106468281574,5,0.8851917172739542,0.012144644046962066,5,0.8708518156322078,0.010317791139245509,5,0.4425,0.10337596948267039,5,0.6543774918214617,0.02160212418845876,5,,,0
8,banking77,0.75,energy,0.483938793823421,0.04868536816309759,5,0.6528905991994062,0.029278399458264156,5,0.3863157894736842,0.05634590930888308,5,0.8322404048579403,0.009566299598517677,5,0.8263369877217619,0.009933213235868942,5,0.7558441558441558,0.013732653235426365,5,0.9329310344827586,0.009044537376863162,5,0.6136842105263158,0.05634590930888308,5,0.06706896551724137,0.009044537376863143,5,0.8299745916515426,0.015041736696205649,5,0.610374204496978,0.025285083415742166,5,0.5920689655172413,0.05203980543376223,5,0.483938793823421,0.04868536816309759,5,,,0
9,banking77,0.75,knn,0.4918018430804819,0.03348804561802088,5,0.6693727113574863,0.020863826886828765,5,0.38921052631578945,0.03606319476447559,5,0.8352412175830395,0.005650456535742345,5,0.8294202112355386,0.005758889173255809,5,0.7621428571428571,0.008154458481013309,5,0.9372413793103448,0.0032485247726580712,5,0.6107894736842105,0.03606319476447557,5,0.06275862068965518,0.003248524772658064,5,0.8702055353901997,0.008479569971078283,5,0.6467273465274715,0.025175635542529728,5,0.40629310344827585,0.02252046895598808,5,0.4918018430804819,0.03348804561802088,5,,,0
