dataset,representation,k_variant,n_seeds,oos_f1_mean,oos_f1_std,near_oos_f1_mean,near_oos_f1_std,medium_oos_f1_mean,far_oos_f1_mean,id_recall_mean,id_recall_std,false_accept_mean,false_accept_std,auroc_mean,aupr_oos_mean
banking77,ce,k1,3,0.9114825855060157,0.010005449398112135,0.3900456327164287,0.11459359811510943,0.9416438018125834,0.9121949985672075,0.8206666666666665,0.012423096769056155,0.8862554112554113,0.02022999120100659,0.920414935064935,0.9680704705471873
banking77,ce,k2,3,0.882806465880702,0.015565078096385764,0.4702288314753,0.047434802516217345,0.8778562730207794,0.9018751875130601,0.802,0.0020000000000000018,0.8412337662337662,0.025949663899594907,0.8989542207792208,0.9595367410114607
banking77,frozen,k1,3,0.8482265965039684,0.014431358608591193,0.11138770212388137,0.01730254293672569,0.8556091302895426,0.9539087213934595,0.8883333333333333,0.017925772879665014,0.7634199134199134,0.02650498965978161,0.9113760822510822,0.9679501153977045
banking77,frozen,k2,3,0.8557166723785059,0.013712417801630437,0.36200212209194405,0.05153116219861381,0.8292006988494075,0.9414879820126658,0.8610000000000001,0.020663978319771844,0.7817099567099567,0.020744525959476897,0.9084559523809522,0.9669932115736998
banking77,supcon,k1,3,0.9040981521839061,0.0057477578352561134,0.25414771148683174,0.009536827416743835,0.9383716643991091,0.9400284489355691,0.8530000000000001,0.0040000000000000036,0.8643939393939394,0.010562349186116423,0.9263959956709957,0.9738333552955868
banking77,supcon,k2,3,0.8781029324261169,0.00674777835307773,0.4863438827859792,0.041763461297076664,0.8414974736513005,0.9237140103683995,0.8140000000000001,0.012489995996796706,0.8299783549783549,0.008247860988423221,0.9036559523809524,0.9658793944849223
clinc150,ce,k1,3,0.8973319533892256,0.005437954967981234,0.5345837078806153,0.02021641459463015,0.8620921464704662,0.7285604675007967,0.7296296296296297,0.004875402273156852,0.9661538461538463,0.012600366295042072,0.9492488205128206,0.9576579348450419
clinc150,ce,k2,3,0.894581378256635,0.002089709268756055,0.5375999547197418,0.013087853331689124,0.853728472540826,0.7157812628227086,0.7121481481481481,0.010706714942313858,0.9705641025641025,0.010066445913694341,0.9431158518518519,0.9477703267906351
clinc150,frozen,k1,3,0.8802432322955465,0.0100288358640588,0.45668132422322355,0.04269950951829546,0.8499241253608091,0.75101435978514,0.7367407407407408,0.008991994610662819,0.9294358974358974,0.015410235078273531,0.9044940398860399,0.9046398779868293
clinc150,frozen,k2,3,0.880683748388044,0.010594104572417154,0.48473129491366,0.029009557781539776,0.8377350218315721,0.7258162480180577,0.7000000000000001,0.013273941798282788,0.9502564102564103,0.014478985656496364,0.9043441595441594,0.9082832717749706
clinc150,supcon,k1,3,0.8986226176476294,0.010164341335401155,0.5238786974343695,0.039190846914051655,0.8685743603718694,0.758348563436584,0.7528888888888888,0.005239922721134045,0.9555897435897435,0.018144282574355686,0.9515828148148149,0.9612193633019657
clinc150,supcon,k2,3,0.8947031497896867,0.008401095372527253,0.531883290018118,0.017363418878020717,0.854730335444677,0.73798010183561,0.7245925925925926,0.01615562178395924,0.9637948717948719,0.008617215922582458,0.94781501994302,0.955973749965966
stackoverflow,ce,k1,3,0.8812990748601317,0.034120903140866375,0.46339516207430315,0.2353016229087376,0.8722168894704069,0.7024851885860081,0.8234482045149288,0.01714121931630134,0.928567189337952,0.07347975591087669,0.9265168377933936,0.8881841509226153
stackoverflow,ce,k2,3,0.7343572668729147,0.25107854161119436,0.356471974386911,0.3147211464133981,0.688216278490581,0.7888628089599404,0.9046008366373776,0.04244237810054082,0.6854607298558544,0.33492622872249883,0.9124108178103841,0.8728857288570561
stackoverflow,frozen,k1,3,0.790219571500888,0.04629012460496893,0.39504798593858204,0.050480048504594935,0.7645907938834604,0.7015766440126373,0.8322375535749171,0.0032941275542504585,0.7647521553105306,0.07721924532082368,0.8874807075983998,0.8432654185602594
stackoverflow,frozen,k2,3,0.727983150467729,0.07015783670381653,0.2970256048992261,0.16215672790705107,0.7188355758269709,0.7122556818872455,0.8725344762740771,0.011234286831731862,0.6493719620018947,0.10322622250288581,0.8740416862320437,0.8340180271394653
stackoverflow,supcon,k1,3,0.8963497395439338,0.027223936054244422,0.555461372271182,0.14714874504467274,0.880462906463984,0.7049573415049507,0.8359131674148644,0.003813861116230909,0.9461467041757426,0.04940270946408132,0.9346241748954679,0.9086324583595861
stackoverflow,supcon,k2,3,0.7189501145718106,0.14534018359155926,0.23276665476835934,0.19134100044493205,0.7118648489470473,0.8304777918297456,0.9332075288954339,0.004053864634565115,0.6126708312851107,0.18084071778631,0.8984966968785765,0.8877096717147502
