dataset,kir,seed,representation,n_centers_or_unique_radii,radius_mean,radius_std,radius_cv,radius_min,radius_max,assigned_radius_mean,assigned_radius_std,assigned_radius_cv
clinc150,0.25,13,trainable,38,22.802544282278095,0.719180635068953,0.03153949077638204,21.740903200991315,24.54048275435468,22.327320612726982,0.55374464224926,0.024801213358920254
clinc150,0.25,13,frozen,38,21.363983763384745,0.5363835779305846,0.02510690814368996,21.09571201437238,24.253768561379594,21.363983763384745,0.5363835779305846,0.02510690814368996
clinc150,0.25,42,trainable,38,22.36038285156108,0.8087761200734865,0.0361700479568051,21.033817541063037,24.623825718504143,21.57670254626912,0.630709923250551,0.02923106169249242
clinc150,0.25,42,frozen,38,21.211460001032133,0.6709901315485745,0.03163337797190408,20.627813982113658,24.35309456388414,21.211460001032133,0.6709901315485745,0.03163337797190408
clinc150,0.25,87,trainable,38,22.59174145101299,0.6777586388074966,0.03000028308030706,21.684459744646592,23.903190619438988,22.10366901173746,0.4618586669581249,0.02089511323721276
clinc150,0.25,87,frozen,38,21.69742425627819,0.5542211437351912,0.025543176793200523,21.28987242076978,24.296615190366545,21.69742425627819,0.5542211437351912,0.025543176793200523
clinc150,0.25,100,trainable,38,22.780071201317654,0.6213940840220087,0.027277969350072345,21.687730110544358,24.28703478609685,22.249847871815387,0.5423321239725163,0.024374644136758626
clinc150,0.25,100,frozen,38,21.21664468401436,0.6862483895076834,0.03234481227961252,20.627813982113658,24.253768561379594,21.21664468401436,0.6862483895076834,0.03234481227961252
clinc150,0.25,123,trainable,38,22.730859352818573,0.66365091594845,0.02919603283129544,21.557307758582443,24.203014364580298,22.27769148817841,0.4879242287469175,0.021901920538123665
clinc150,0.25,123,frozen,38,21.485216598373835,0.5380512852187253,0.025042860645838175,21.143139491316713,23.661276616577748,21.485216598373835,0.5380512852187253,0.025042860645838175
clinc150,0.5,13,trainable,75,22.878703675254627,0.7322594529969554,0.032006160112513705,21.698412528086674,24.707741431853503,22.501548475345153,0.6361249122597711,0.028270272730642084
clinc150,0.5,13,frozen,75,21.63215520651391,0.7339041306033878,0.03392653776736926,21.09571201437238,24.6528965959537,21.63215520651391,0.7339041306033878,0.03392653776736926
clinc150,0.5,42,trainable,75,22.607248304482333,0.7619229789385699,0.03370259700237395,21.3672953023736,24.680251646139208,21.955318676609902,0.7272755052368416,0.03312525388263412
clinc150,0.5,42,frozen,75,21.405476188024775,0.7942234054908951,0.0371037485227832,20.627813982113658,24.35309456388414,21.405476188024775,0.7942234054908951,0.0371037485227832
clinc150,0.5,87,trainable,75,22.790230071881545,0.7130877555358519,0.03128918634374189,21.136667136371972,24.663750578499915,21.985054064503828,0.8749911895547067,0.039799364922528516
clinc150,0.5,87,frozen,75,21.485046882696697,0.8278869813497306,0.038533170808041466,20.627813982113658,24.35309456388414,21.485046882696697,0.8278869813497306,0.038533170808041466
clinc150,0.5,100,trainable,75,22.60726486450938,0.66239023493716,0.02929988386065362,21.2559331103838,24.427202623990638,22.116885236249125,0.7123036093334588,0.03220632569752669
clinc150,0.5,100,frozen,75,21.50190594687898,0.7693949861451084,0.0357826412247323,20.627813982113658,24.6528965959537,21.50190594687898,0.7693949861451084,0.0357826412247323
clinc150,0.5,123,trainable,75,22.35890098846429,0.7170378930062498,0.03206946054174102,21.034085376868987,24.4886935160496,21.732499822515344,0.7272092791119404,0.033461832971397786
clinc150,0.5,123,frozen,75,21.46521477766177,0.7409741382385839,0.034519763529675666,20.627813982113658,24.6528965959537,21.46521477766177,0.7409741382385839,0.034519763529675666
clinc150,0.75,13,trainable,112,22.487857271071984,0.7310674469197579,0.032509431116862844,21.247286320282672,24.47309415707764,22.15130105699469,0.6958695179852277,0.03141438582748591
clinc150,0.75,13,frozen,112,21.770034061095828,0.7844972084322459,0.03603564451165388,20.950782441721973,24.6528965959537,21.770034061095828,0.7844972084322459,0.03603564451165388
clinc150,0.75,42,trainable,112,22.79509896524687,0.7191725404439436,0.031549437075942745,21.396408729778216,24.768956451072697,22.364323646008792,0.790608249144117,0.035351314962981745
clinc150,0.75,42,frozen,112,21.402252316456092,0.9999521355494704,0.04672181790795036,20.37097120076558,24.6528965959537,21.402252316456092,0.9999521355494704,0.04672181790795036
clinc150,0.75,87,trainable,112,22.594280859558527,0.7365121095788564,0.03259728044264239,20.91199827918654,24.433678315031127,22.033204820208287,0.866705561712733,0.03933633662397642
clinc150,0.75,87,frozen,112,21.427567508721616,1.0119682568946198,0.04722739790611886,20.37097120076558,24.6528965959537,21.427567508721616,1.0119682568946198,0.04722739790611886
clinc150,0.75,100,trainable,112,22.88268184054329,0.6929960012901204,0.030284736995393496,21.57685809683643,24.886342082103294,22.50809597550865,0.7596945619961591,0.03375205805159142
clinc150,0.75,100,frozen,112,21.690042049868957,0.8744333686207122,0.04031496880505103,20.627813982113658,24.6528965959537,21.690042049868957,0.8744333686207122,0.04031496880505103
clinc150,0.75,123,trainable,112,22.630275932818538,0.7122123736249866,0.031471661049971233,21.190724430294132,24.60288382740186,22.191274057945947,0.7808820135667708,0.035188696761066014
clinc150,0.75,123,frozen,112,21.42754229408588,1.0170062360948275,0.047462570468267226,20.37097120076558,24.6528965959537,21.42754229408588,1.0170062360948275,0.047462570468267226
banking77,0.25,13,trainable,19,22.72789661922251,0.6455089885135008,0.028401615834856907,21.423932489520148,23.769220239289865,22.341700979276716,0.6811793740889824,0.03048914559911162
banking77,0.25,13,frozen,19,22.38371778376474,0.709993085501537,0.03171917607076453,21.323579928891412,23.83996279070628,22.38371778376474,0.709993085501537,0.03171917607076453
banking77,0.25,42,trainable,19,23.231978742844724,0.6045307763018144,0.02602149317513496,22.134179994049433,24.275218829582123,22.928463898353126,0.6011798776835605,0.026219806104269428
banking77,0.25,42,frozen,19,22.51466101101757,0.5869315079737044,0.026068858317986176,21.799594634542334,23.95467224072983,22.51466101101757,0.5869315079737044,0.026068858317986176
banking77,0.25,87,trainable,19,23.357490835078572,0.5446658163281001,0.0233186783706285,22.379342999735982,24.47987672919138,23.198568172959696,0.5293253763250076,0.022817157178777546
banking77,0.25,87,frozen,19,23.01081912370838,0.41247825869923727,0.017925405283563112,22.207100239765683,24.162828639128193,23.01081912370838,0.41247825869923727,0.017925405283563112
