kir,seed,checkpoint,epoch,validation_known_f1,f1_u,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
0.5,13,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir50_seed13/checkpoint.pt,3,0.9739628296056035,0.8876420658898,0.7976939396855519,0.854909090909091,0.7262222222222222,0.05076923076923077,0.2737777777777778,0.9388246153846154,0.9520338165975618
0.5,42,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir50_seed42/checkpoint.pt,9,0.9690365935519154,0.8950573573148279,0.8051040037961401,0.8645454545454545,0.7106666666666667,0.027692307692307693,0.28933333333333333,0.9541976068376068,0.9643034734299565
0.5,87,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir50_seed87/checkpoint.pt,9,0.9846265682799701,0.9063521386954668,0.8278153839185758,0.8798181818181818,0.7342222222222222,0.01876923076923077,0.2657777777777778,0.9658963418803418,0.9724199711715066
0.75,13,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir75_seed13/checkpoint.pt,7,0.9766518893791619,0.817526777020448,0.8287641505659045,0.8267272727272728,0.7333333333333333,0.019158878504672898,0.26666666666666666,0.957855891188251,0.9257418252930544
0.75,42,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir75_seed42/checkpoint.pt,9,0.9700302669749827,0.8174927113702624,0.8278619524264889,0.826,0.731547619047619,0.017289719626168223,0.26845238095238094,0.9634514074321318,0.9403451686061557
0.75,87,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_representation/kir75_seed87/checkpoint.pt,8,0.9711005733909703,0.806068858198794,0.8191202130281834,0.816,0.7235119047619047,0.03177570093457944,0.27648809523809526,0.9511889463729417,0.9200815920791254
