dataset,kir,seed,method,state,count,n_test,n_known,n_oos,rate_all,rate_known,rate_oos
clinc150,0.25,13,Trainable-K1,known_correct,839,5700,1140,4560,0.14719298245614035,0.7359649122807017,
clinc150,0.25,13,Trainable-K1,known_wrong,1,5700,1140,4560,0.00017543859649122806,0.0008771929824561404,
clinc150,0.25,13,Trainable-K1,known_rejected,300,5700,1140,4560,0.05263157894736842,0.2631578947368421,
clinc150,0.25,13,Trainable-K1,oos_correct_rejected,4422,5700,1140,4560,0.7757894736842105,,0.9697368421052631
clinc150,0.25,13,Trainable-K1,oos_false_accept,138,5700,1140,4560,0.024210526315789474,,0.030263157894736843
clinc150,0.25,13,ADB,known_correct,1039,5700,1140,4560,0.18228070175438596,0.9114035087719298,
clinc150,0.25,13,ADB,known_wrong,10,5700,1140,4560,0.0017543859649122807,0.008771929824561403,
clinc150,0.25,13,ADB,known_rejected,91,5700,1140,4560,0.015964912280701755,0.07982456140350877,
clinc150,0.25,13,ADB,oos_correct_rejected,3890,5700,1140,4560,0.6824561403508772,,0.8530701754385965
clinc150,0.25,13,ADB,oos_false_accept,670,5700,1140,4560,0.11754385964912281,,0.14692982456140352
clinc150,0.25,42,Trainable-K1,known_correct,826,5700,1140,4560,0.14491228070175438,0.724561403508772,
clinc150,0.25,42,Trainable-K1,known_wrong,2,5700,1140,4560,0.0003508771929824561,0.0017543859649122807,
clinc150,0.25,42,Trainable-K1,known_rejected,312,5700,1140,4560,0.05473684210526316,0.2736842105263158,
clinc150,0.25,42,Trainable-K1,oos_correct_rejected,4390,5700,1140,4560,0.7701754385964912,,0.9627192982456141
clinc150,0.25,42,Trainable-K1,oos_false_accept,170,5700,1140,4560,0.02982456140350877,,0.03728070175438596
clinc150,0.25,42,ADB,known_correct,1043,5700,1140,4560,0.18298245614035089,0.9149122807017543,
clinc150,0.25,42,ADB,known_wrong,5,5700,1140,4560,0.0008771929824561404,0.0043859649122807015,
clinc150,0.25,42,ADB,known_rejected,92,5700,1140,4560,0.016140350877192983,0.08070175438596491,
clinc150,0.25,42,ADB,oos_correct_rejected,3891,5700,1140,4560,0.6826315789473684,,0.8532894736842105
clinc150,0.25,42,ADB,oos_false_accept,669,5700,1140,4560,0.11736842105263158,,0.14671052631578949
clinc150,0.25,87,Trainable-K1,known_correct,836,5700,1140,4560,0.14666666666666667,0.7333333333333333,
clinc150,0.25,87,Trainable-K1,known_wrong,4,5700,1140,4560,0.0007017543859649122,0.0035087719298245615,
clinc150,0.25,87,Trainable-K1,known_rejected,300,5700,1140,4560,0.05263157894736842,0.2631578947368421,
clinc150,0.25,87,Trainable-K1,oos_correct_rejected,4374,5700,1140,4560,0.7673684210526316,,0.9592105263157895
clinc150,0.25,87,Trainable-K1,oos_false_accept,186,5700,1140,4560,0.03263157894736842,,0.04078947368421053
clinc150,0.25,87,ADB,known_correct,1024,5700,1140,4560,0.17964912280701753,0.8982456140350877,
clinc150,0.25,87,ADB,known_wrong,7,5700,1140,4560,0.0012280701754385965,0.0061403508771929825,
clinc150,0.25,87,ADB,known_rejected,109,5700,1140,4560,0.01912280701754386,0.0956140350877193,
clinc150,0.25,87,ADB,oos_correct_rejected,3877,5700,1140,4560,0.6801754385964912,,0.850219298245614
