dataset,kir,method,state,count_mean,count_std,rate_all_mean,rate_all_std,rate_known_mean,rate_oos_mean,n_seeds
banking77,0.25,ADB,known_correct,654.2,6.610597552415367,0.21240259740259743,0.0021462979066283684,0.8607894736842105,,5
banking77,0.25,ADB,known_rejected,95.2,10.009995004993758,0.030909090909090907,0.0032499983782447264,0.12526315789473683,,5
banking77,0.25,ADB,known_wrong,10.6,6.6558245169174945,0.0034415584415584412,0.002160981986012173,0.01394736842105263,,5
banking77,0.25,ADB,oos_correct_rejected,1707.4,76.67659356022541,0.5543506493506494,0.024894997909164097,,0.735948275862069,5
banking77,0.25,ADB,oos_false_accept,612.6,76.6765935602254,0.1988961038961039,0.024894997909164086,,0.26405172413793104,5
banking77,0.25,Trainable-K1,known_correct,615.4,8.706319543871578,0.19980519480519482,0.00282672712463363,0.8097368421052632,,5
banking77,0.25,Trainable-K1,known_rejected,138.0,5.9160797830996135,0.044805194805194806,0.0019208051243829937,0.18157894736842106,,5
banking77,0.25,Trainable-K1,known_wrong,6.6,6.348228099241551,0.002142857142857143,0.00206111301923427,0.008684210526315789,,5
banking77,0.25,Trainable-K1,oos_correct_rejected,2080.4,77.96986597397746,0.6754545454545455,0.025314891549992655,,0.8967241379310344,5
banking77,0.25,Trainable-K1,oos_false_accept,239.6,77.9698659739774,0.07779220779220779,0.025314891549992665,,0.10327586206896551,5
banking77,0.5,ADB,known_correct,1303.6,16.69730517179342,0.4232467532467533,0.005421202977855008,0.8576315789473684,,5
banking77,0.5,ADB,known_rejected,165.0,10.173494974687905,0.05357142857142857,0.0033030827839895774,0.10855263157894737,,5
banking77,0.5,ADB,known_wrong,51.4,13.722244714331545,0.01668831168831169,0.004455274257899852,0.03381578947368421,,5
banking77,0.5,ADB,oos_correct_rejected,1034.8,42.23387266164447,0.335974025974026,0.01371229631871572,,0.6633333333333333,5
banking77,0.5,ADB,oos_false_accept,525.2,42.23387266164447,0.17051948051948052,0.01371229631871574,,0.33666666666666667,5
banking77,0.5,Trainable-K1,known_correct,1216.4,11.126544836560875,0.3949350649350649,0.00361251455732498,0.8002631578947369,,5
banking77,0.5,Trainable-K1,known_rejected,270.4,7.300684899377586,0.0877922077922078,0.002370352240057662,0.17789473684210527,,5
banking77,0.5,Trainable-K1,known_wrong,33.2,6.833739825307955,0.010779220779220779,0.002218746696528557,0.021842105263157895,,5
banking77,0.5,Trainable-K1,oos_correct_rejected,1314.4,53.57984695760153,0.4267532467532467,0.017396054207013477,,0.8425641025641026,5
banking77,0.5,Trainable-K1,oos_false_accept,245.6,53.57984695760151,0.07974025974025974,0.017396054207013477,,0.15743589743589742,5
banking77,0.75,ADB,known_correct,2006.2,9.808159868191405,0.6513636363636364,0.0031844674896725125,0.8647413793103448,,5
banking77,0.75,ADB,known_rejected,223.8,6.379655163094631,0.07266233766233766,0.002071316611394365,0.09646551724137932,,5
banking77,0.75,ADB,known_wrong,90.0,11.916375287812983,0.02922077922077922,0.003868953015523695,0.03879310344827586,,5
banking77,0.75,ADB,oos_correct_rejected,487.8,24.427443582986733,0.15837662337662337,0.007930988176294392,,0.6418421052631579,5
banking77,0.75,ADB,oos_false_accept,272.2,24.427443582986733,0.08837662337662337,0.007930988176294397,,0.3581578947368421,5
banking77,0.75,Trainable-K1,known_correct,1843.4,5.272570530585607,0.5985064935064935,0.0017118735488914722,0.7945689655172414,,5
banking77,0.75,Trainable-K1,known_rejected,408.0,9.407443861113396,0.13246753246753246,0.0030543648899718613,0.17586206896551723,,5
banking77,0.75,Trainable-K1,known_wrong,68.6,13.145341380123986,0.02227272727272727,0.004267967980559734,0.02956896551724138,,5
