dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,trainable_known_fr,trainable_oos_fa,delta_known_fr_vs_trainable,delta_oos_fa_vs_trainable
banking77,0.25,fixed_k2,Frozen K=2,Refund_not_showing_up,40.0,0.0625,0.0079741379310344,0.1375,0.0032327586206896,-0.07500000000000001,0.0047413793103448
banking77,0.25,fixed_k2,Frozen K=2,activate_my_card,40.0,0.125,0.0008620689655172,0.15,0.0,-0.024999999999999994,0.0008620689655172
banking77,0.25,fixed_k2,Frozen K=2,apple_pay_or_google_pay,40.0,0.1,0.0,0.125,0.0,-0.024999999999999994,0.0
banking77,0.25,fixed_k2,Frozen K=2,atm_support,40.0,0.1166666666666666,0.0010057471264367,0.15,0.0007183908045977,-0.033333333333333395,0.0002873563218390001
banking77,0.25,fixed_k2,Frozen K=2,automatic_top_up,40.0,0.2666666666666666,0.0004310344827586,0.15,0.0,0.11666666666666661,0.0004310344827586
banking77,0.25,fixed_k2,Frozen K=2,balance_not_updated_after_bank_transfer,40.0,0.05,0.0129310344827586,0.025,0.0133620689655172,0.025,-0.00043103448275860073
banking77,0.25,fixed_k2,Frozen K=2,balance_not_updated_after_cheque_or_cash_deposit,40.0,0.15,0.0008620689655172,0.2,0.0,-0.05000000000000002,0.0008620689655172
banking77,0.25,fixed_k2,Frozen K=2,beneficiary_not_allowed,40.0,0.225,0.0396551724137931,0.275,0.0193965517241379,-0.05000000000000002,0.0202586206896552
banking77,0.25,fixed_k2,Frozen K=2,cancel_transfer,40.0,0.1875,0.0006465517241379,0.2125,0.0,-0.024999999999999994,0.0006465517241379
banking77,0.25,fixed_k2,Frozen K=2,card_about_to_expire,40.0,0.175,0.0,0.05,0.0,0.12499999999999999,0.0
banking77,0.25,fixed_k2,Frozen K=2,card_acceptance,40.0,0.25,0.0068965517241379,0.275,0.0025862068965517,-0.025000000000000022,0.0043103448275862
banking77,0.25,fixed_k2,Frozen K=2,card_arrival,40.0,0.0916666666666666,0.0129310344827586,0.125,0.0084770114942528,-0.033333333333333395,0.0044540229885058
banking77,0.25,fixed_k2,Frozen K=2,card_linking,40.0,0.125,0.0267241379310344,0.15,0.0086206896551724,-0.024999999999999994,0.018103448275862
banking77,0.25,fixed_k2,Frozen K=2,card_payment_fee_charged,40.0,0.225,0.0112068965517241,0.175,0.0021551724137931,0.05000000000000002,0.009051724137931
banking77,0.25,fixed_k2,Frozen K=2,card_payment_wrong_exchange_rate,40.0,0.125,0.0038793103448275,0.075,0.0034482758620689,0.05,0.00043103448275859987
banking77,0.25,fixed_k2,Frozen K=2,cash_withdrawal_charge,40.0,0.2,0.0021551724137931,0.125,0.0017241379310344,0.07500000000000001,0.00043103448275870005
banking77,0.25,fixed_k2,Frozen K=2,compromised_card,40.0,0.45,0.0079022988505747,0.4083333333333334,0.0066091954022988,0.04166666666666663,0.0012931034482758993
banking77,0.25,fixed_k2,Frozen K=2,contactless_not_working,40.0,0.375,0.0540948275862069,0.2,0.0008620689655172,0.175,0.0532327586206897
banking77,0.25,fixed_k2,Frozen K=2,country_support,40.0,0.2,0.0008620689655172,0.225,0.0,-0.024999999999999994,0.0008620689655172
banking77,0.25,fixed_k2,Frozen K=2,declined_cash_withdrawal,40.0,0.175,0.0112068965517241,0.1,0.0047413793103448,0.07499999999999998,0.0064655172413793
banking77,0.25,fixed_k2,Frozen K=2,declined_transfer,40.0,0.15,0.0159482758620689,0.3125,0.0053879310344827,-0.1625,0.0105603448275862
banking77,0.25,fixed_k2,Frozen K=2,direct_debit_payment_not_recognised,40.0,0.2166666666666666,0.0429597701149425,0.3083333333333333,0.0060344827586206,-0.0916666666666667,0.036925287356321904
banking77,0.25,fixed_k2,Frozen K=2,exchange_charge,40.0,0.175,0.0,0.2,0.0012931034482758,-0.025000000000000022,-0.0012931034482758
banking77,0.25,fixed_k2,Frozen K=2,exchange_rate,40.0,0.075,0.0017241379310344,0.1,0.0019396551724137,-0.02500000000000001,-0.00021551724137930015
banking77,0.25,fixed_k2,Frozen K=2,exchange_via_app,40.0,0.175,0.0030172413793103,0.2875,0.0045258620689655,-0.11249999999999999,-0.0015086206896552001
banking77,0.25,fixed_k2,Frozen K=2,extra_charge_on_statement,40.0,0.225,0.0206896551724137,0.275,0.0077586206896551,-0.05000000000000002,0.012931034482758598
banking77,0.25,fixed_k2,Frozen K=2,failed_transfer,40.0,0.125,0.0086206896551724,0.175,0.0112068965517241,-0.04999999999999999,-0.0025862068965517
banking77,0.25,fixed_k2,Frozen K=2,getting_spare_card,40.0,0.25,0.0017241379310344,0.25,0.0004310344827586,0.0,0.0012931034482758
banking77,0.25,fixed_k2,Frozen K=2,getting_virtual_card,40.0,0.2,0.0025862068965517,0.1375,0.0006465517241379,0.0625,0.0019396551724137998
banking77,0.25,fixed_k2,Frozen K=2,lost_or_stolen_card,40.0,0.225,0.0133620689655172,0.175,0.0012931034482758,0.05000000000000002,0.0120689655172414
banking77,0.25,fixed_k2,Frozen K=2,lost_or_stolen_phone,40.0,0.225,0.0017241379310344,0.3,0.0004310344827586,-0.07499999999999998,0.0012931034482758
banking77,0.25,fixed_k2,Frozen K=2,order_physical_card,40.0,0.15,0.0288793103448275,0.125,0.0103448275862068,0.024999999999999994,0.018534482758620702
banking77,0.25,fixed_k2,Frozen K=2,passcode_forgotten,40.0,0.15,0.0,0.125,0.0,0.024999999999999994,0.0
banking77,0.25,fixed_k2,Frozen K=2,pending_card_payment,40.0,0.275,0.0,0.3125,0.0002155172413793,-0.03749999999999998,-0.0002155172413793
banking77,0.25,fixed_k2,Frozen K=2,pending_cash_withdrawal,40.0,0.1999999999999999,0.0160919540229885,0.2416666666666667,0.0024425287356321,-0.041666666666666796,0.013649425287356399
banking77,0.25,fixed_k2,Frozen K=2,pending_transfer,40.0,0.0666666666666666,0.014367816091954,0.1083333333333333,0.0086206896551724,-0.0416666666666667,0.0057471264367816004
banking77,0.25,fixed_k2,Frozen K=2,pin_blocked,40.0,0.325,0.0068965517241379,0.275,0.0012931034482758,0.04999999999999999,0.005603448275862099
banking77,0.25,fixed_k2,Frozen K=2,receiving_money,40.0,0.15,0.0032327586206896,0.1624999999999999,0.0053879310344827,-0.0124999999999999,-0.0021551724137931
banking77,0.25,fixed_k2,Frozen K=2,reverted_card_payment?,40.0,0.125,0.0183189655172413,0.1624999999999999,0.0107758620689655,-0.037499999999999895,0.007543103448275801
banking77,0.25,fixed_k2,Frozen K=2,terminate_account,40.0,0.3,0.0,0.1624999999999999,0.0,0.1375000000000001,0.0
banking77,0.25,fixed_k2,Frozen K=2,top_up_by_bank_transfer_charge,40.0,0.075,0.0146551724137931,0.2,0.0068965517241379,-0.125,0.0077586206896552
banking77,0.25,fixed_k2,Frozen K=2,top_up_by_card_charge,40.0,0.1,0.0021551724137931,0.075,0.0025862068965517,0.02500000000000001,-0.00043103448275859987
banking77,0.25,fixed_k2,Frozen K=2,top_up_by_cash_or_cheque,40.0,0.125,0.0137931034482758,0.2,0.0021551724137931,-0.07500000000000001,0.011637931034482699
banking77,0.25,fixed_k2,Frozen K=2,top_up_failed,40.0,0.2,0.0267241379310344,0.125,0.0142241379310344,0.07500000000000001,0.0125
banking77,0.25,fixed_k2,Frozen K=2,top_up_limits,40.0,0.1,0.0021551724137931,0.1,0.0017241379310344,0.0,0.00043103448275870005
banking77,0.25,fixed_k2,Frozen K=2,top_up_reverted,40.0,0.275,0.01875,0.1624999999999999,0.0224137931034482,0.11250000000000013,-0.0036637931034482
banking77,0.25,fixed_k2,Frozen K=2,transaction_charged_twice,40.0,0.1624999999999999,0.0002155172413793,0.1125,0.0,0.04999999999999989,0.0002155172413793
banking77,0.25,fixed_k2,Frozen K=2,transfer_fee_charged,40.0,0.125,0.0061781609195402,0.125,0.0040229885057471,0.0,0.0021551724137931
banking77,0.25,fixed_k2,Frozen K=2,transfer_into_account,40.0,0.2375,0.0032327586206896,0.275,0.0015086206896551,-0.03750000000000003,0.0017241379310345
banking77,0.25,fixed_k2,Frozen K=2,transfer_not_received_by_recipient,40.0,0.225,0.0379310344827586,0.325,0.0288793103448275,-0.1,0.009051724137931098
banking77,0.25,fixed_k2,Frozen K=2,transfer_timing,40.0,0.225,0.0043103448275862,0.2,0.0043103448275862,0.024999999999999994,0.0
banking77,0.25,fixed_k2,Frozen K=2,unable_to_verify_identity,40.0,0.1749999999999999,0.0163793103448275,0.2166666666666666,0.0136494252873563,-0.041666666666666685,0.002729885057471201
banking77,0.25,fixed_k2,Frozen K=2,verify_my_identity,40.0,0.15,0.0172413793103448,0.15,0.0137931034482758,0.0,0.003448275862069
banking77,0.25,fixed_k2,Frozen K=2,verify_source_of_funds,40.0,0.125,0.0,0.05,0.0,0.075,0.0
banking77,0.25,fixed_k2,Frozen K=2,verify_top_up,40.0,0.15,0.0,0.05,0.0,0.09999999999999999,0.0
banking77,0.25,fixed_k2,Frozen K=2,why_verify_identity,40.0,0.05,0.0165948275862068,0.025,0.0183189655172413,0.025,-0.0017241379310345
banking77,0.25,fixed_k2,Frozen K=2,wrong_amount_of_cash_received,40.0,0.1,0.0129310344827586,0.15,0.0178879310344827,-0.04999999999999999,-0.004956896551724101
banking77,0.25,fixed_k2,Frozen K=2,wrong_exchange_rate_for_cash_withdrawal,40.0,0.275,0.0125,0.25,0.0068965517241379,0.025000000000000022,0.005603448275862101
banking77,0.25,mogb_minilm,MOGB-MiniLM,Refund_not_showing_up,40.0,0.3874999999999999,0.0015086206896551,0.1375,0.0032327586206896,0.2499999999999999,-0.0017241379310345
banking77,0.25,mogb_minilm,MOGB-MiniLM,activate_my_card,40.0,0.35,0.0,0.15,0.0,0.19999999999999998,0.0
banking77,0.25,mogb_minilm,MOGB-MiniLM,apple_pay_or_google_pay,40.0,0.525,0.0,0.125,0.0,0.4,0.0
banking77,0.25,mogb_minilm,MOGB-MiniLM,atm_support,40.0,0.5,0.0,0.15,0.0007183908045977,0.35,-0.0007183908045977
banking77,0.25,mogb_minilm,MOGB-MiniLM,automatic_top_up,40.0,0.7000000000000001,0.0,0.15,0.0,0.55,0.0
banking77,0.25,mogb_minilm,MOGB-MiniLM,balance_not_updated_after_bank_transfer,40.0,0.725,0.0004310344827586,0.025,0.0133620689655172,0.7,-0.0129310344827586
banking77,0.25,mogb_minilm,MOGB-MiniLM,balance_not_updated_after_cheque_or_cash_deposit,40.0,0.75,0.0,0.2,0.0,0.55,0.0
banking77,0.25,mogb_minilm,MOGB-MiniLM,beneficiary_not_allowed,40.0,0.6,0.0008620689655172,0.275,0.0193965517241379,0.32499999999999996,-0.0185344827586207
banking77,0.25,mogb_minilm,MOGB-MiniLM,cancel_transfer,40.0,0.5125,0.0,0.2125,0.0,0.29999999999999993,0.0
