dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
banking77,0.75,trainable_k1,Trainable K=1,wrong_amount_of_cash_received,40.0,0.15,0.0098684210526315,10,0.2874780701754363,0.03432756121748417
clinc150,0.25,fixed_k2,Frozen K=2,change_user_name,30.0,0.3666666666666666,0.0114035087719298,1,0.14036915204678102,0.08123942195026822
clinc150,0.25,fixed_k2,Frozen K=2,change_ai_name,30.0,0.3,0.0097587719298245,2,0.14036915204678102,0.06952219763051772
clinc150,0.25,fixed_k2,Frozen K=2,what_is_your_name,30.0,0.2,0.0072368421052631,3,0.14036915204678102,0.05155578700690069
clinc150,0.25,fixed_k2,Frozen K=2,ingredients_list,30.0,0.2,0.006578947368421,4,0.14036915204678102,0.04686889727900063
clinc150,0.25,fixed_k2,Frozen K=2,calendar_update,30.0,0.1666666666666666,0.0059210526315789,5,0.14036915204678102,0.04218200755110056
clinc150,0.25,fixed_k2,Frozen K=2,todo_list_update,30.0,0.1777777777777777,0.0056286549707602,6,0.14036915204678102,0.040098945449811726
clinc150,0.25,fixed_k2,Frozen K=2,shopping_list_update,30.0,0.3555555555555555,0.0055555555555555,7,0.14036915204678102,0.03957817992448934
clinc150,0.25,fixed_k2,Frozen K=2,make_call,30.0,0.3,0.0050438596491228,8,0.14036915204678102,0.03593282124723405
clinc150,0.25,fixed_k2,Frozen K=2,no,30.0,0.2,0.0050438596491228,9,0.14036915204678102,0.03593282124723405
clinc150,0.25,fixed_k2,Frozen K=2,time,30.0,0.1666666666666666,0.0048245614035087,10,0.14036915204678102,0.03437052467126689
clinc150,0.25,mogb_minilm,MOGB-MiniLM,what_is_your_name,30.0,0.7,0.0030701754385964,1,0.020010964912279657,0.15342465753425003
clinc150,0.25,mogb_minilm,MOGB-MiniLM,change_ai_name,30.0,0.8166666666666667,0.0027412280701754,2,0.020010964912279657,0.13698630136986822
clinc150,0.25,mogb_minilm,MOGB-MiniLM,change_user_name,30.0,0.7333333333333333,0.0026315789473684,3,0.020010964912279657,0.1315068493150743
clinc150,0.25,mogb_minilm,MOGB-MiniLM,todo_list_update,30.0,0.5666666666666667,0.0021929824561403,4,0.020010964912279657,0.10958904109589358
clinc150,0.25,mogb_minilm,MOGB-MiniLM,pto_used,30.0,0.4,0.0017543859649122,5,0.020010964912279657,0.08767123287671287
clinc150,0.25,mogb_minilm,MOGB-MiniLM,todo_list,30.0,0.6,0.0010964912280701,6,0.020010964912279657,0.05479452054794429
clinc150,0.25,mogb_minilm,MOGB-MiniLM,shopping_list_update,30.0,0.7555555555555555,0.0008771929824561,7,0.020010964912279657,0.043835616438356435
clinc150,0.25,mogb_minilm,MOGB-MiniLM,timezone,30.0,0.5333333333333333,0.0008771929824561,8,0.020010964912279657,0.043835616438356435
clinc150,0.25,mogb_minilm,MOGB-MiniLM,make_call,30.0,0.5666666666666667,0.0006578947368421,9,0.020010964912279657,0.03287671232876858
clinc150,0.25,mogb_minilm,MOGB-MiniLM,accept_reservations,30.0,0.4,0.0006578947368421,10,0.020010964912279657,0.03287671232876858
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,change_user_name,30.0,0.3666666666666666,0.0059210526315789,1,0.06407163742689846,0.09241300627495953
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,change_ai_name,30.0,0.6333333333333333,0.0058114035087719,2,0.06407163742689846,0.090701654306905
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,what_is_your_name,30.0,0.5,0.0054824561403508,3,0.06407163742689846,0.0855675984027398
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,todo_list_update,30.0,0.3555555555555555,0.0046783625730994,4,0.06407163742689846,0.07301768397033874
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,pto_used,30.0,0.1666666666666666,0.0043859649122807,5,0.06407163742689846,0.06845407872219277
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,todo_list,30.0,0.2333333333333333,0.0037280701754385,6,0.06407163742689846,0.05818596691386237
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,shopping_list_update,30.0,0.5666666666666667,0.0035087719298245,7,0.06407163742689846,0.05476326297775328
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,pto_request_status,30.0,0.3,0.0026315789473684,8,0.06407163742689846,0.04107244723331535
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,accept_reservations,30.0,0.2,0.0024122807017543,9,0.06407163742689846,0.0376497432972047
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,time,30.0,0.2666666666666666,0.0019736842105263,10,0.06407163742689846,0.03080433542498651
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,change_user_name,30.0,0.6,0.006798245614035,1,0.03718932748537878,0.18280098280098703
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,change_ai_name,30.0,0.6333333333333333,0.0058114035087719,2,0.03718932748537878,0.1562653562653611
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,todo_list,30.0,0.3333333333333333,0.0021929824561403,3,0.03718932748537878,0.05896805896805972
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,what_is_your_name,30.0,0.5666666666666667,0.0019736842105263,4,0.03718932748537878,0.05307125307125455
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,calendar_update,30.0,0.5333333333333333,0.0017543859649122,5,0.03718932748537878,0.0471744471744467
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,user_name,30.0,0.4333333333333333,0.0017543859649122,6,0.03718932748537878,0.0471744471744467
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,make_call,30.0,0.5,0.0015350877192982,7,0.03718932748537878,0.04127764127764154
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,pto_used,30.0,0.3333333333333333,0.0015350877192982,8,0.03718932748537878,0.04127764127764154
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,damaged_card,30.0,0.5666666666666667,0.0014619883040935,9,0.03718932748537878,0.039312039312038916
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,shopping_list_update,30.0,0.7777777777777778,0.0013888888888888,10,0.03718932748537878,0.0373464373464363
clinc150,0.25,random_partition,Random K=2,change_user_name,30.0,0.2666666666666666,0.012938596491228,1,0.1807748538011663,0.07157298827335311
clinc150,0.25,random_partition,Random K=2,change_ai_name,30.0,0.4,0.0109649122807017,2,0.1807748538011663,0.060655074807926396
clinc150,0.25,random_partition,Random K=2,what_is_your_name,30.0,0.2,0.0081140350877192,3,0.1807748538011663,0.044884755357865215
clinc150,0.25,random_partition,Random K=2,todo_list,30.0,0.0666666666666666,0.0070175438596491,4,0.1807748538011663,0.038819247877072964
clinc150,0.25,random_partition,Random K=2,shopping_list_update,30.0,0.3,0.0069444444444444,5,0.1807748538011663,0.03841488071168666
clinc150,0.25,random_partition,Random K=2,todo_list_update,30.0,0.1444444444444444,0.0067251461988304,6,0.1807748538011663,0.03720177921552832
clinc150,0.25,random_partition,Random K=2,pto_used,30.0,0.2,0.006578947368421,7,0.1807748538011663,0.036393044884755726
clinc150,0.25,random_partition,Random K=2,make_call,30.0,0.2333333333333333,0.0061403508771929,8,0.1807748538011663,0.033966841892438496
