dataset,kir,method,method_label,oos_fa_total,top1_share,top3_share,top5_share,top10_share,top_intent,top_intent_fa_rate
banking77,0.75,random_partition,Random K=2,0.6998245614035061,0.07426673351717247,0.20164828277763916,0.31132489345700753,0.4738656304838316,pending_top_up,0.0519736842105263
banking77,0.75,trainable_k1,Trainable K=1,0.2874780701754363,0.08696315508429393,0.2448699366847218,0.35471813258067186,0.5452742390723956,pending_top_up,0.025
clinc150,0.25,fixed_k2,Frozen K=2,0.14036915204678102,0.08123942195026822,0.20231740658768663,0.2913683114177878,0.4772816039578239,change_user_name,0.0114035087719298
clinc150,0.25,mogb_minilm,MOGB-MiniLM,0.020010964912279657,0.15342465753425003,0.42191780821919256,0.619178082191799,0.8273972602739934,what_is_your_name,0.0030701754385964
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.06407163742689845,0.09241300627495956,0.2686822589846044,0.41015402167713594,0.6326297775242581,change_user_name,0.0059210526315789
clinc150,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.03718932748537878,0.18280098280098703,0.3980343980344078,0.49828009828010905,0.7046683046683142,change_user_name,0.006798245614035
clinc150,0.25,random_partition,Random K=2,0.1807748538011663,0.07157298827335311,0.1771128184391447,0.25434694702790434,0.42741609381318724,change_user_name,0.012938596491228
clinc150,0.25,trainable_k1,Trainable K=1,0.1029057017543833,0.11720831113479231,0.2642514651038946,0.3686734150239814,0.5700586041555775,change_user_name,0.0120614035087719
clinc150,0.5,fixed_k2,Frozen K=2,0.12107729468598691,0.08498583569405284,0.1879264254079756,0.27610421737222773,0.44906834776364335,change_ai_name,0.0102898550724637
clinc150,0.5,mogb_minilm,MOGB-MiniLM,0.014879227053139094,0.185064935064941,0.41396103896105524,0.5698051948052117,0.813311688311715,change_ai_name,0.0027536231884057
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.043323671497582,0.14217216770741078,0.30274308652989934,0.4148082069580924,0.6210972346119791,change_ai_name,0.006159420289855
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.028888888888887222,0.22575250836121416,0.37123745819399373,0.49414715719065433,0.6948160535117304,change_ai_name,0.0065217391304347
clinc150,0.5,random_partition,Random K=2,0.17618357487922315,0.06210584041678203,0.1583493282149737,0.2471894707979201,0.40622429394023135,change_ai_name,0.0109420289855072
clinc150,0.5,trainable_k1,Trainable K=1,0.0721352657004799,0.08639164211090639,0.22401553710153585,0.33719528529334275,0.5340878649879638,change_ai_name,0.006231884057971
clinc150,0.75,fixed_k2,Frozen K=2,0.10072649572649207,0.050912176495546746,0.13718003111300053,0.21284118229388171,0.3773157969169945,change_ai_name,0.0051282051282051
clinc150,0.75,mogb_minilm,MOGB-MiniLM,0.010683760683759657,0.13600000000000811,0.38600000000001616,0.5460000000000212,0.7960000000000292,reminder_update,0.0014529914529914
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.02475783475783328,0.09062140391254679,0.2546029919447751,0.39528193325663286,0.6271576524741284,todo_list_update,0.0022435897435897
clinc150,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.024821937321935786,0.1377331420373105,0.275466284074621,0.3890961262553979,0.6100430416069026,change_ai_name,0.0034188034188034
clinc150,0.75,random_partition,Random K=2,0.14205128205127787,0.04813477737665579,0.12510028078620383,0.19865623746490602,0.33729442438829355,goodbye,0.0068376068376068
clinc150,0.75,trainable_k1,Trainable K=1,0.056103988603985896,0.06284118319157297,0.18217595531294303,0.2837374635013428,0.47518090643647537,change_ai_name,0.003525641025641
stackoverflow,0.25,fixed_k2,Frozen K=2,0.7416481481481477,0.2690703887737523,0.627131763589603,0.8662388573996856,0.9921346350720369,sharepoint,0.1995555555555555
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,0.0358148148148144,0.35367114788004367,0.8531540847983511,0.9276111685625693,1.0,wordpress,0.0126666666666666
stackoverflow,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.0782037037037032,0.4091877811982029,0.8652616623253645,0.922093298602892,0.9886336727444955,wordpress,0.032
stackoverflow,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.171166666666666,0.27134047387212024,0.6952288218111019,0.9107432651736468,0.9918857513794234,sharepoint,0.0464444444444444
stackoverflow,0.25,random_partition,Random K=2,0.5776111111111104,0.4078099451764936,0.815042800807926,0.9458497643551032,0.9904780225064928,sharepoint,0.2355555555555555
stackoverflow,0.25,trainable_k1,Trainable K=1,0.13783333333333264,0.37565497783152085,0.7110036275695306,0.8367593712212836,0.97783151954857,osx,0.0517777777777777
stackoverflow,0.5,fixed_k2,Frozen K=2,1.0528333333333324,0.1697008073452589,0.43375019787874014,0.6488839639069182,0.9568360508680285,cocoa,0.1786666666666666
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,0.015999999999999435,0.25694444444445286,0.6388888888889038,0.8368055555555733,0.9670138888888966,osx,0.0041111111111111
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.036222222222221837,0.32822085889570657,0.6656441717791451,0.8496932515337465,0.9838957055214721,osx,0.0118888888888888
stackoverflow,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.3338333333333328,0.20469296055916147,0.5205525045764692,0.7641870527542026,0.9662173406556835,spring,0.0683333333333333
stackoverflow,0.5,random_partition,Random K=2,0.6801111111111106,0.3037085443554976,0.6311060284267279,0.8168599901976805,0.966672112399935,sharepoint,0.2065555555555555
stackoverflow,0.5,trainable_k1,Trainable K=1,0.18755555555555486,0.3844786729857833,0.6928317535545047,0.8107227488151679,0.9524585308056892,osx,0.0721111111111111
stackoverflow,0.75,fixed_k2,Frozen K=2,0.8295666666666661,0.21135532607385393,0.5254416629833516,0.7205904019501481,0.9304724019233606,scala,0.1753333333333333
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,0.009377777777777499,0.28436018957346104,0.7109004739336634,0.8708530805687285,1.0,osx,0.0026666666666666
stackoverflow,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.0252666666666662,0.2550571679859308,0.6420404573438944,0.7937554969217324,0.9656992084432778,hibernate,0.0064444444444444
stackoverflow,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.3222333333333329,0.28550739629667976,0.6573911244439854,0.8120409641046868,0.9541739940002075,spring,0.092
stackoverflow,0.75,random_partition,Random K=2,0.45975555555555475,0.32432693701967286,0.5772149451399303,0.7530330127120702,0.9357387983952835,sharepoint,0.1491111111111111
stackoverflow,0.75,trainable_k1,Trainable K=1,0.12217777777777729,0.28101127682793825,0.6420516551473285,0.8039287013459462,0.9517097126227734,osx,0.0343333333333333
