dataset,kir,method,method_label,oos_fa_total,top1_share,top3_share,top5_share,top10_share,top_intent,top_intent_fa_rate
banking77,0.25,fixed_k2,Frozen K=2,0.608117816091952,0.0889545186060251,0.22480803307737815,0.33467217956290696,0.5175428233904321,contactless_not_working,0.0540948275862069
banking77,0.25,mogb_minilm,MOGB-MiniLM,0.0416666666666658,0.1965517241379329,0.5068965517241458,0.6620689655172498,0.8379310344827625,unable_to_verify_identity,0.0081896551724137
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + ours,0.11867816091953902,0.12711864406779771,0.3395883777239741,0.5399515738498832,0.7360774818401981,transfer_not_received_by_recipient,0.0150862068965517
banking77,0.25,ours_partition_mogb_boundary,Ours partition + MOGB,0.1218390804597686,0.11556603773585016,0.30660377358490815,0.47936320754717404,0.6975235849056646,direct_debit_payment_not_recognised,0.0140804597701149
banking77,0.25,random_partition,Random K=2,0.6681034482758594,0.06322580645161312,0.1677419354838715,0.2604301075268824,0.44236559139785053,transfer_not_received_by_recipient,0.0422413793103448
banking77,0.25,trainable_k1,Trainable K=1,0.31522988505746913,0.09161349134001859,0.22424794895168734,0.33910665451230754,0.5492251595259818,transfer_not_received_by_recipient,0.0288793103448275
banking77,0.5,fixed_k2,Frozen K=2,0.5956196581196549,0.049506726457399224,0.14179372197309456,0.22484304932735483,0.40367713004484423,top_up_failed,0.0294871794871794
banking77,0.5,mogb_minilm,MOGB-MiniLM,0.022617521367520398,0.21256495040152035,0.4109589041096025,0.5172413793103561,0.6976854038734123,top_up_reverted,0.0048076923076923
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + ours,0.0684829059829047,0.24804992199688325,0.42121684867395276,0.5569422776911145,0.7254290171606945,top_up_reverted,0.0169871794871794
banking77,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,0.1079059829059812,0.08613861386138662,0.24653465346534856,0.3668316831683195,0.5787128712871324,beneficiary_not_allowed,0.0092948717948717
banking77,0.5,random_partition,Random K=2,0.7509188034188005,0.05548757931878339,0.15323108442648647,0.2339014882053331,0.4044902256494902,top_up_reverted,0.0416666666666666
banking77,0.5,trainable_k1,Trainable K=1,0.3328846153846128,0.08087810514153725,0.21663778162911745,0.3138840747159657,0.5205725656332268,transfer_not_received_by_recipient,0.0269230769230769
banking77,0.75,fixed_k2,Frozen K=2,0.5100219298245582,0.08126585544137294,0.1889753622565259,0.27282108612460887,0.4445973255363995,pending_top_up,0.0414473684210526
banking77,0.75,mogb_minilm,MOGB-MiniLM,0.009100877192981801,0.18072289156627114,0.49879518072291357,0.6433734939759349,0.8698795180723006,top_up_by_bank_transfer_charge,0.0016447368421052
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + ours,0.0633114035087708,0.3325251125736106,0.5846899896085986,0.705230342916531,0.9189470038101918,pending_top_up,0.0210526315789473
banking77,0.75,ours_partition_mogb_boundary,Ours partition + MOGB,0.12620614035087552,0.15117289313640472,0.314509122502175,0.4430929626411855,0.6646394439617771,pending_top_up,0.019078947368421
